Title,Authors,Platform,Cited_url,Cited_count,Year
Cenozoic tectonics of Asia: effects of a continental collision,"P Molnar, P Tapponnier","science 189 (4201), 419-426",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1170787963241657948,4525,1975
Oblique stepwise rise and growth of the Tibet Plateau,"P Tapponnier, X Zhiqin, F Roger, B Meyer, N Arnaud, G Wittlinger, ...","science 294 (5547), 1671-1677",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2606363462325131660,2802,2001
Propagating extrusion tectonics in Asia: New insights from simple experiments with plasticine,"P Tapponnier, G Peltzer, AY Le Dain, R Armijo, P Cobbold","Geology 10 (12), 611-616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6945150892518898438,2791,1982
Updated interpretation of magnetic anomalies and seafloor spreading stages in the South China Sea: Implications for the Tertiary tectonics of Southeast Asia,"A Briais, P Patriat, P Tapponnier","Journal of Geophysical Research: Solid Earth 98 (B4), 6299-6328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17731665590185867283,1253,1993
Active faulting and tectonics in China,"P Tapponnier, P Molnar","Journal of Geophysical Research 82 (20), 2905-2930",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1827321206501100141,1187,1977
Structure and evolution of the Himalaya–Tibet orogenic belt,"CJ Allegre, V Courtillot, P Tapponnier, A Hirn, M Mattauer, C Coulon, ...","Nature 307 (5946), 17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5525447652169470025,1097,1984
Kinematic model of active deformation in central Asia,"JP Avouac, P Tapponnier","Geophysical Research Letters 20 (10), 895-898",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2287764186158300468,1038,1993
"The Ailao Shan-Red River shear zone (Yunnan, China), Tertiary transform boundary of Indochina","PH Leloup, R Lacassin, P Tapponnier, U Schärer, D Zhong, X Liu, ...","Tectonophysics 251 (1-4), 3-84",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9060846835738366043,1036,1995
Quaternary extension in southern Tibet: Field observations and tectonic implications,"R Armijo, P Tapponnier, JL Mercier, TL Han","Journal of Geophysical Research: Solid Earth 91 (B14), 13803-13872",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1130107105125071588,1014,1986
Slip-line field theory and large-scale continental tectonics,"P Tapponnier, P Molnar","Nature 264 (5584), 319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16832695281063171192,1008,1976
The Ailao Shan/Red River metamorphic belt: tertiary left-lateral shear between Indochina and South China,"P Tapponnier, R Lacassin, PH Leloup, U Schärer, Z Dalai, W Haiwei, ...","Nature 343 (6257), 431",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5959099523600229992,945,1990
"Formation and evolution of strike‐slip faults, rifts, and basins during the India‐Asia collision: An experimental approach","G Peltzer, P Tapponnier","Journal of Geophysical Research: Solid Earth 93 (B12), 15085-15117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1634243397609193333,945,1988
"Active faulting and Cenozoic tectonics of the Tien Shan, Mongolia, and Baykal regions","P Tapponnier, P Molnar","Journal of Geophysical Research: Solid Earth 84 (B7), 3425-3459",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2687426293216029683,934,1979
Active tectonics of Tibet,"P Molnar, P Tapponnier","Journal of Geophysical Research: Solid Earth 83 (B11), 5361-5375",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17118482673636232615,862,1978
"Crustal thickening in Gansu-Qinghai, lithospheric mantle subduction, and oblique, strike-slip controlled growth of the Tibet plateau","B Meyer, P Tapponnier, L Bourjot, F Metivier, Y Gaudemer, G Peltzer, ...","Geophysical Journal International 135 (1), 1-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8517695594429851388,857,1998
Development of stress-induced microcracks in Westerly granite,"P Tapponnier, WF Brace",International Journal of Rock Mechanics and Mining Sciences & Geomechanics …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13315915290382084856,762,1976
Active thrusting and folding along the northern Tien Shan and late Cenozoic rotation of the Tarim relative to Dzungaria and Kazakhstan,"JP Avouac, P Tapponnier, M Bai, H You, G Wang","Journal of Geophysical Research: Solid Earth 98 (B4), 6755-6804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13893084882605506101,735,1993
On causal links between flood basalts and continental breakup,"V Courtillot, C Jaupart, I Manighetti, P Tapponnier, J Besse","Earth and Planetary Science Letters 166 (3-4), 177-195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4015449841900008180,732,1999
Tectonics of the Qinling belt: build-up and evolution of eastern Asia,"M Mattauer, P Matte, J Malavieille, P Tapponnier, H Maluski, XZ Qin, ...","Nature 317 (6037), 496",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6866915927691676658,678,1985
