Title,Authors,Platform,Cited_url,Cited_count,Year
Workload characterization and prediction in the cloud: A multiple time series approach,"A Khan, X Yan, S Tao, N Anerousis","Network Operations and Management Symposium (NOMS), 2012 IEEE, 1287-1294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11141711104206849110,234,2012
Towards effective partition management for large graphs,"S Yang, X Yan, B Zong, A Khan",Proceedings of the 2012 ACM SIGMOD International Conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11581738025145833899,170,2012
Neighborhood based fast graph search in large networks,"A Khan, N Li, X Yan, Z Guan, S Chakraborty, S Tao",Proceedings of the 2011 ACM SIGMOD International Conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=441837883274074565,137,2011
Nema: Fast graph search with label similarity,"A Khan, Y Wu, CC Aggarwal, X Yan","Proceedings of the VLDB Endowment 6 (3), 181-192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15769810750094099723,134,2013
Querying knowledge Graphs By Example entity tuples,"N Jayaram, A Khan, C Li, X Yan, R Elmasri","IEEE International Conference on Data Engineering (ICDE) 32, 1494 - 1495",,75,2016
Querying knowledge graphs by example entity tuples,"N Jayaram, A Khan, C Li, X Yan, R Elmasri","Knowledge and Data Engineering, IEEE Transactions on 27 (10), 2797-2811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8153386147131618917,75,2015
A comparative analysis of DSRC and 802.11 over Vehicular Ad hoc Networks,"A Khan, S Sadhu, M Yeleswarapu","Project Report, University of California, Santa Barbara, 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2783887939130583371,63,2009
Towards proximity pattern mining in large graphs,"A Khan, X Yan, KL Wu",Proceedings of the 2010 ACM SIGMOD International Conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9936998803595575235,59,2010
On flow authority discovery in social networks,"CC Aggarwal, A Khan, X Yan","Proceedings of the 2011 SIAM International Conference on Data Mining, 522-533",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17429004761790387725,57,2011
Undersea wireless sensor network for ocean pollution prevention,"A Khan, L Jenkins",2008 3rd International Conference on Communication Systems Software and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15807832218651707549,49,2008
Fast Reliability Search in Uncertain Graphs,"A Khan, F Bonchi, A Gionis, F Gullo",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17222561628500408529,44,2014
Augmented Sketch: Faster and More Accurate Stream Processing,"P Roy, A Khan, G Alonso",Proceedings of the 2016 ACM SIGMOD international conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7449530428030378663,39,2016
Systems for big-graphs,"A Khan, S Elnikety","Proceedings of the VLDB Endowment 7 (13), 1709-1710",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16433793283835721103,29,2014
GQBE: Querying knowledge graphs by example entity tuples,"N Jayaram, M Gupta, A Khan, C Li, X Yan, R Elmasri","2014 IEEE 30th International Conference on Data Engineering, 1250-1253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13309483232903414746,24,2014
Summarizing Static and Dynamic Big Graphs,"A Khan, SS Bhowmick, F Bonchi","Proceedings of the VLDB Endowment 10 (12), 1981-1984",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2363086633716406633,17,2017
On uncertain graphs modeling and queries,"A Khan, L Chen","Proceedings of the VLDB Endowment 8 (12), 2042-2043",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7246760271287262949,17,2015
Emerging graph queries in linked data,"A Khan, Y Wu, X Yan","Data Engineering (ICDE), 2012 IEEE 28th International Conference on, 1218-1221",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5471562656382024057,17,2012
Revenue maximization by viral marketing: A social network host's perspective,"A Khan, B Zehnder, D Kossmann","IEEE International Conference on Data Engineering (ICDE) 32, 37 - 48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6606462735455466735,16,2016
Query-Friendly Compression of Graph Streams,"A Khan, C Aggarwal",International Conference on Advances in Social Networks Analysis and Mining,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10971686307844080184,11,2016
Towards a query-by-example system for knowledge graphs,"N Jayaram, A Khan, C Li, X Yan, R Elmasri","Proceedings of Workshop on GRAph Data management Experiences and Systems, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14567522940259283703,11,2014
Lsdc a lossless approach to lifetime maximization in wireless sensor networks,"A Roy, A Mitra, A Khan, M Nasipuri, D Saha","2008 IEEE Sensors Applications Symposium, 166-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6524937402109788418,10,2008
Finding Seeds and Relevant Tags Jointly: For Targeted Influence Maximization in Social Networks,"X Ke, A Khan, G Cong","Proceedings of the 2018 International Conference on Management of Data, 1097 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13557206008079726007,8,2018
"Vertex-Centric Graph Processing: The Good, the Bad, and the Ugly",A Khan,International Conference on Extending Database  Technology (EDBT),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14189944319293293540,8,2017
Conditional Reliability in Uncertain Graphs,"A Khan, F Bonchi, F Gullo, A Nufer",IEEE Transactions on Knowledge and Data Engineering,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4691583917836832726,6,2018
Top-k Reliable Edge Colors in Uncertain Graphs,"A Khan, F Gullo, T Wohler, F Bonchi",Proceedings of the 24th ACM International on Conference on Information and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16266826586715749956,6,2015
Towards indexing functions: answering scalar product queries,"A Khan, P Yanki, B Dimcheva, D Kossmann",Proceedings of the 2014 ACM SIGMOD international conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3020542757864354418,5,2014
Density index and proximity search in large graphs,"N Li, X Yan, Z Wen, A Khan",Proceedings of the 21st ACM international conference on Information and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7711519240671045181,5,2012
On Uncertain Graphs,"A Khan, Y Ye, L Chen","Synthesis Lectures on Data Management 10 (1), 1-94","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13834239324070213900,18127843205677858445",4,2018
Inf2vec: Latent Representation Model for Social Influence Embedding,"S Feng, G Cong, A Khan, X Li, Y Liu, YM Chee","2018 IEEE 34th International Conference on Data Engineering (ICDE), 941-952",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5211373842933773870,4,2018
Toward query-friendly compression of rapid graph streams,"A Khan, C Aggarwal","Social Network Analysis and Mining 7 (1), 23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4996206825878613545,4,2017
Towards Time-Discounted Influence Maximization,A Khan,Proceedings of the 25th ACM International on Conference on Information and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9126902242003673110,4,2016
Buffering techniques in sleep doze coordination and grid based clustering protocols as power management schemes for wireless sensor networks,"A Roy, A Mitra, A Khan, D Sana",IET Digital Library,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9148584181929581827,4,2008
Select Your Questions Wisely: For Entity Resolution With Crowd Errors,"VK Yalavarthi, X Ke, A Khan","ACM on Conference on Information and Knowledge Management, 317-326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10507332700374430568,3,2017
