Title,Authors,Platform,Cited_url,Cited_count,Year
The transcriptome of the intraerythrocytic developmental cycle of Plasmodium falciparum,"Z Bozdech, M Llinás, BL Pulliam, ED Wong, J Zhu, JL DeRisi","PLoS biology 1 (1), e5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4724432765978739292,1618,2003
Spread of artemisinin resistance in Plasmodium falciparum malaria,"EA Ashley, M Dhorda, RM Fairhurst, C Amaratunga, P Lim, S Suon, ...","New England Journal of Medicine 371 (5), 411-423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5471154476483331666,1367,2014
Expression profiling of the schizont and trophozoite stages of Plasmodium falciparum with a long-oligonucleotide microarray,"Z Bozdech, J Zhu, MP Joachimiak, FE Cohen, B Pulliam, JL DeRisi","Genome biology 4 (2), R9",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1719001060953292451,433,2003
Comparative whole genome transcriptome analysis of three Plasmodium falciparum strains,"M Llinas, Z Bozdech, ED Wong, AT Adai, JL DeRisi","Nucleic acids research 34 (4), 1166-1173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12960736491893091992,317,2006
A role for the protease falcipain 1 in host cell invasion by the human malaria parasite,"DC Greenbaum, A Baruch, M Grainger, Z Bozdech, KF Medzihradszky, ...",Science 298 (5600),,296,2002
A role for the protease falcipain 1 in host cell invasion by the human malaria parasite,"DC Greenbaum, A Baruch, M Grainger, Z Bozdech, KF Medzihradszky, ...",Science 298 (5600),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18211253809735735672,296,2002
Population transcriptomics of human malaria parasites reveals the mechanism of artemisinin resistance,"S Mok, EA Ashley, PE Ferreira, L Zhu, Z Lin, T Yeo, K Chotivanich, ...","Science 347 (6220), 431-435",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2762129383102694334,264,2015
The transcriptome of Plasmodium vivax reveals divergence and diversity of transcriptional regulation in malaria parasites,"Z Bozdech, S Mok, G Hu, M Imwong, A Jaidee, B Russell, H Ginsburg, ...","Proceedings of the National Academy of Sciences 105 (42), 16290-16295",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8251718222088606024,222,2008
Plasmodium falciparum heterochromatin protein 1 marks genomic loci linked to phenotypic variation of exported virulence factors,"C Flueck, R Bartfai, J Volz, I Niederwieser, AM Salcedo-Amaya, ...","PLoS pathogens 5 (9), e1000569",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12766444857365323877,187,2009
Transcriptional profiling of growth perturbations of the human malaria parasite ,"G Hu, A Cabrera, M Kono, S Mok, BK Chaal, S Haase, K Engelberg, ...","Nature biotechnology 28 (1), 91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1367966619853176315,186,2010
A subset of group A-like var genes encodes the malaria parasite ligands for binding to human brain endothelial cells,"A Claessens, Y Adams, A Ghumra, G Lindergard, CC Buchan, C Andisi, ...","Proceedings of the National Academy of Sciences 109 (26), E1772-E1781",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15801506395212746144,183,2012
Targeting the cell stress response of Plasmodium falciparum to overcome artemisinin resistance,"C Dogovski, SC Xie, G Burgio, J Bridgford, S Mok, JM McCaw, ...","PLoS biology 13 (4), e1002132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16343852670293731133,170,2015
