Title,Authors,Platform,Cited_url,Cited_count,Year
The role of nitrite and free nitrous acid (FNA) in wastewater treatment plants,"Y Zhou, A Oehmen, M Lim, V Vadivelu, WJ Ng","water research 45 (15), 4672-4682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8282868044314176218,264,2011
Free nitrous acid inhibition on nitrous oxide reduction by a denitrifying-enhanced biological phosphorus removal sludge,"YAN Zhou, M Pijuan, RJ Zeng, Z Yuan","Environmental science & technology 42 (22), 8260-8265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11662014262080121965,216,2008
The role of quorum sensing signalling in EPS production and the assembly of a sludge community into aerobic granules,"CH Tan, KS Koh, C Xie, M Tay, Y Zhou, R Williams, WJ Ng, SA Rice, ...","The ISME journal 8 (6), 1186-1197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2352867203591605991,173,2014
Free nitrous acid inhibition on anoxic phosphorus uptake and denitrification by poly‐phosphate accumulating organisms,"Y Zhou, M Pijuan, Z Yuan","Biotechnology and Bioengineering 98 (4), 903-912",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6902674837707086517,154,2007
Trace metal speciation and bioavailability in anaerobic digestion: A review,"PM Thanh, B Ketheesan, Z Yan, D Stuckey","Biotechnology advances 34 (2), 122-136",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2870576181476832557,119,2016
Could polyphosphate-accumulating organisms (PAOs) be glycogen-accumulating organisms (GAOs)?,"Y Zhou, M Pijuan, RJ Zeng, H Lu, Z Yuan","Water Research 42 (10-11), 2361-2368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5024791064581928407,106,2008
The challenges of mainstream deammonification process for municipal used water treatment,"G Xu, Y Zhou, Q Yang, ZMP Lee, J Gu, W Lay, Y Cao, Y Liu","Applied microbiology and biotechnology 99 (6), 2485-2490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15740577298919002318,93,2015
"Development of a 2-sludge, 3-stage system for nitrogen and phosphorous removal from nutrient-rich wastewater using granular sludge and biofilms","Y Zhou, M Pijuan, Z Yuan","Water research 42 (12), 3207-3217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18014292019650476686,92,2008
Biochemistry-Enabled 3D Foams for Ultrafast Battery Cathodes,"Y Zhou, X Rui, W Sun, Z Xu, Y Zhou, WJ Ng, Q Yan, E Fong","ACS nano 9 (4), 4628-4635",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16565153928559130775,82,2015
Facile fabrication of RGO-WO,"W Zhu, F Sun, R Goei, Y Zhou","Applied Catalysis B: Environmental 207, 93-102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=572663686770162,80,2017
The effect of pH on solubilization of organic matter and microbial community structures in sludge fermentation,"Y Maspolim, Y Zhou, C Guo, K Xiao, WJ Ng","Bioresource technology 190, 289-298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3211922216194530822,80,2015
Community quorum sensing signalling and quenching: microbial granular biofilm assembly,"CH Tan, KS Koh, C Xie, J Zhang, XH Tan, GP Lee, Y Zhou, WJ Ng, ...",npj Biofilms and Microbiomes 1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9268110265239095454,77,2015
Enhanced volatile fatty acids (VFAs) production in a thermophilic fermenter with stepwise pH increase–Investigation on dissolved organic matter transformation and microbial …,"Y Chen, X Jiang, K Xiao, N Shen, RJ Zeng, Y Zhou","Water Research 112, 261-268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5457341746965934869,72,2017
Characterization of key organic compounds affecting sludge dewaterability during ultrasonication and acidification treatments,"K Xiao, Y Chen, X Jiang, VK Tyagi, Y Zhou","Water Research 105, 470-478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2343532430745497626,68,2016
