Title,Authors,Platform,Cited_url,Cited_count,Year
Pyrite FeS 2 for high-rate and long-life rechargeable sodium batteries,"Z Hu, Z Zhu, F Cheng, K Zhang, J Wang, C Chen, J Chen","Energy & Environmental Science 8 (4), 1309-1316",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16870371294871822836,425,2015
Ultrasmall Sn nanoparticles embedded in nitrogen-doped porous carbon as high-performance anode for lithium-ion batteries,"Z Zhu, S Wang, J Du, Q Jin, T Zhang, F Cheng, J Chen","Nano letters 14 (1), 153-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7377438564363597804,415,2013
All Organic Sodium‐Ion Batteries with Na,"S Wang, L Wang, Z Zhu, Z Hu, Q Zhao, J Chen","Angewandte Chemie International Edition 53 (23), 5892-5896",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13352076428656042769,273,2014
Porous LiMn 2 O 4 nanorods with durable high-rate capability for rechargeable Li-ion batteries,"F Cheng, H Wang, Z Zhu, Y Wang, T Zhang, Z Tao, J Chen","Energy & Environmental Science 4 (9), 3668-3675",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16266593260021278055,257,2011
Organic Li,"S Wang, L Wang, K Zhang, Z Zhu, Z Tao, J Chen","Nano letters 13 (9), 4404-4409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14236334262780255070,236,2013
Unique Cobalt Sulfide/Reduced Graphene Oxide Composite as an Anode for Sodium‐Ion Batteries with Superior Rate Capability and Long Cycling Stability,"S Peng, X Han, L Li, Z Zhu, F Cheng, M Srinivansan, S Adams, ...","Small 12 (10), 1359-1368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12341308667271150647,229,2016
Na 3 V 2 (PO 4) 3@ C core–shell nanocomposites for rechargeable sodium-ion batteries,"W Duan, Z Zhu, H Li, Z Hu, K Zhang, F Cheng, J Chen","Journal of Materials Chemistry A 2 (23), 8668-8675",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4886245088583290608,217,2014
All-solid-state lithium organic battery with composite polymer electrolyte and pillar [5] quinone cathode,"Z Zhu, M Hong, D Guo, J Shi, Z Tao, J Chen","Journal of the American Chemical Society 136 (47), 16461-16464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3036736170160702844,201,2014
Quasi‐Solid‐State Rechargeable Lithium‐Ion Batteries with a Calix [4] quinone Cathode and Gel Polymer Electrolyte,"W Huang, Z Zhu, L Wang, S Wang, H Li, Z Tao, J Shi, L Guan, J Chen","Angewandte Chemie International Edition 52 (35), 9162-9166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8338354643417205109,171,2013
Investigation of effects of carbon coating on the electrochemical performance of Li 4 Ti 5 O 12/C nanocomposites,"Z Zhu, F Cheng, J Chen","Journal of Materials Chemistry A 1 (33), 9484-9490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=964111455979488313,156,2013
Highly stable and ultrafast electrode reaction of graphite for sodium ion batteries,"Z Zhu, F Cheng, Z Hu, Z Niu, J Chen","Journal of Power Sources 293, 626-634",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1178490950698712140,140,2015
Editable Supercapacitors with Customizable Stretchability Based on Mechanically Strengthened Ultralong MnO,"Z Lv, Y Luo, Y Tang, J Wei, Z Zhu, X Zhou, W Li, Y Zeng, W Zhang, ...","Advanced Materials 30 (2), 1704531",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16060718718196284329,128,2018
