Title,Authors,Platform,Cited_url,Cited_count,Year
Quantitative brain magnetic resonance imaging in attention-deficit hyperactivity disorder,"FX Castellanos, JN Giedd, WL Marsh, SD Hamburger, AC Vaituzis, ...","Archives of general psychiatry 53 (7), 607-616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1719905080006204649,1560,1996
Quantitative magnetic resonance imaging of human brain development: ages 4–18,"JN Giedd, JW Snell, N Lange, JC Rajapakse, BJ Casey, PL Kozuch, ...","Cerebral cortex 6 (4), 551-559",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15461103367170267040,1159,1996
"Quantitative MRI of the temporal lobe, amygdala, and hippocampus in normal human development: ages 4–18 years","JN Giedd, AC Vaituzis, SD Hamburger, N Lange, JC Rajapakse, ...","Journal of Comparative Neurology 366 (2), 223-230",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2323510490186945194,745,1996
Statistical approach to segmentation of single-channel cerebral MR images,"JC Rajapakse, JN Giedd, JL Rapoport","IEEE transactions on medical imaging 16 (2), 176-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15368076853599131437,649,1997
Sexual dimorphism of the developing human brain,"JN Giedd, FX Castellanos, JC Rajapakse, AC Vaituzis, JL Rapoport","Progress in Neuro-Psychopharmacology and Biological Psychiatry 21 (8), 1185-1201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2355485465394587793,494,1997
Development of the human corpus callosum during childhood and adolescence: a longitudinal MRI study,"JN Gbedd, J Blumenthal, NO Jeffries, JC Rajapakse, AC Vaituzis, H Liu, ...","Progress in Neuro-Psychopharmacology and Biological Psychiatry 23 (4), 571-588",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9506780834888351347,451,1999
FPGA implementations of neural networks,"AR Omondi, JC Rajapakse","Springer 365, 6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4309050753735667126,400,2006
A quantitative MRI study of the corpus callosum in children and adolescents,"JN Giedd, JM Rumsey, FX Castellanos, JC Rajapakse, D Kaysen, ...","Developmental Brain Research 91 (2), 274-280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5517274120414965168,351,1996
Approach and applications of constrained ICA,"W Lu, JC Rajapakse","IEEE transactions on neural networks 16 (1), 203-212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12668852324837303827,346,2005
Regional glucose metabolic abnormalities are not the result of atrophy in Alzheimer's disease,"V Ibáñez, P Pietrini, GE Alexander, ML Furey, D Teichberg, JC Rajapakse, ...","Neurology 50 (6), 1585-1593",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4619102589474741050,346,1998
Multiple SVM-RFE for gene selection in cancer classification with expression data,"KB Duan, JC Rajapakse, H Wang, F Azuaje","IEEE transactions on nanobioscience 4 (3), 228-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11663194414761984519,338,2005
