Title,Authors,Platform,Cited_url,Cited_count,Year
Rotation free isogeometric thin shell analysis using PHT-splines,"N Nguyen-Thanh, J Kiendl, H Nguyen-Xuan, R Wüchner, KU Bletzinger, ...","Computer Methods in Applied Mechanics and Engineering 200 (47-48), 3410-3424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4957336369066200044,308,2011
"Static, free vibration, and buckling analysis of laminated composite Reissner–Mindlin plates using NURBS‐based isogeometric approach","CH Thai, H Nguyen‐Xuan, N Nguyen‐Thanh, TH Le, T Nguyen‐Thoi, ...","International Journal for Numerical Methods in Engineering 91 (6), 571-603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13712959351880532266,240,2012
An extended isogeometric thin shell analysis based on Kirchhoff–Love theory,"N Nguyen-Thanh, N Valizadeh, MN Nguyen, H Nguyen-Xuan, X Zhuang, ...","Computer Methods in Applied Mechanics and Engineering 284, 265-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2250926115364235046,237,2015
Isogeometric analysis using polynomial splines over hierarchical T-meshes for two-dimensional elastic solids,"N Nguyen-Thanh, H Nguyen-Xuan, SPA Bordas, T Rabczuk","Computer Methods in Applied Mechanics and Engineering 200 (21-22), 1892-1908",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=858075972135776466,225,2011
A smoothed finite element method for shell analysis,"N Nguyen-Thanh, T Rabczuk, H Nguyen-Xuan, SPA Bordas","Computer methods in applied mechanics and engineering 198 (2), 165-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10036081345662052102,222,2008
Isogeometric analysis of large-deformation thin shells using RHT-splines for multiple-patch coupling,"N Nguyen-Thanh, K Zhou, X Zhuang, P Areias, H Nguyen-Xuan, ...","Computer Methods in Applied Mechanics and Engineering 316, 1157-1178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15417691222414177295,138,2017
A node-based smoothed finite element method with stabilized discrete shear gap technique for analysis of Reissner–Mindlin plates,"H Nguyen-Xuan, T Rabczuk, N Nguyen-Thanh, T Nguyen-Thoi, S Bordas","Computational mechanics 46 (5), 679-701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2105428720461823324,114,2010
Isogeometric analysis of laminated composite plates using the higher-order shear deformation theory,"CH Thai, H Nguyen-Xuan, SPA Bordas, N Nguyen-Thanh, T Rabczuk",Mechanics of Advanced Materials and Structures,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12569658773331625900,105,2012
Computation of limit and shakedown loads using a node‐based smoothed finite element method,"H Nguyen‐Xuan, T Rabczuk, T Nguyen‐Thoi, TN Tran, N Nguyen‐Thanh","International Journal for Numerical Methods in Engineering 90 (3), 287-310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=762610478233861175,77,2012
Isogeometric collocation for large deformation elasticity and frictional contact problems,"R Kruse, N Nguyen-Thanh, LD Lorenzis, TJR Hughes","Computer Methods in Applied Mechanics and Engineering 296, 73-112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13726683183077778367,61,2015
