Title,Authors,Platform,Cited_url,Cited_count,Year
The origin of high efficiency in low-temperature solution-processable bilayer organometal halide hybrid solar cells,"S Sun, T Salim, N Mathews, M Duchamp, C Boothroyd, G Xing, TC Sum, ...","Energy & Environmental Science 7 (1), 399-407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12039503307887746671,771,2014
Direct observation of single-walled carbon nanotube growth at the atomistic scale,"M Lin, JP Ying Tan, C Boothroyd, KP Loh, ES Tok, YL Foo","Nano letters 6 (3), 449-452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15497996056848385295,238,2006
Dynamical observation of bamboo-like carbon nanotube growth,"M Lin, JPY Tan, C Boothroyd, KP Loh, ES Tok, YL Foo","Nano letters 7 (8), 2234-2238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12039876628434500023,203,2007
Grain refinement by Al–Ti–B alloys in aluminium melts: a study of the mechanisms of poisoning by zirconium,"AM Bunn, P Schumacher, MA Kearns, CB Boothroyd, AL Greer","Materials science and technology 15 (10), 1115-1123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7449374071159497344,147,1999
Size and composition tunable Ag–Au alloy nanoparticles by replacement reactions,"Q Zhang, JY Lee, J Yang, C Boothroyd, J Zhang","Nanotechnology 18 (24), 245605",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1527790357179044160,141,2007
Why don't high‐resolution simulations and images match?,CB Boothroyd,"Journal of Microscopy 190 (1‐2), 99-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4487886797032967802,141,1998
Synthesis of Ag@AgAu metal core/alloy shell bimetallic nanoparticles with tunable shell compositions by a galvanic replacement reaction,"Q Zhang, J Xie, JY Lee, J Zhang, C Boothroyd","small 4 (8), 1067-1071",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4263976740165997583,132,2008
Ion Implantation of Graphene – Toward IC Compatible Technologies,"U Bangert, W Pierce, DM Kepaptsoglou, Q Ramasse, R Zan, MH Gass, ...","Nano letters 13 (10), 4902-4907",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6889130547083466766,128,2013
One-Pot Synthesis of New-Phase AgInSe,"MT Ng, CB Boothroyd, JJ Vittal","Journal of the American Chemical Society 128 (22), 7118-7119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12837979796883609938,122,2006
Specimen preparation methods for the examination of surfaces and interfaces in the transmission electron microscope,"SB Newcomb, CB Boothroyd, WM Stobbs","Journal of Microscopy 140 (2), 195-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12505383674854489722,122,1985
Microstructural evolution and its influence on the magnetic properties of CoFe2O4 powders during mechanical milling,"BH Liu, J Ding, ZL Dong, CB Boothroyd, JH Yin, JB Yi","Physical Review B 74 (18), 184427",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5586504010315660909,101,2006
Synthesis and characterization of carbon nanofibers produced by the floating catalyst method,"C Singh, T Quested, CB Boothroyd, P Thomas, IA Kinloch, AI Abou-Kandil, ...","The Journal of Physical Chemistry B 106 (42), 10915-10922",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6707781570675397062,98,2002
Morphological and structural characteristics of homoepitaxial GaN grown by metalorganic chemical vapour deposition (MOCVD),"JL Weyher, PD Brown, ARA Zauner, S Müller, CB Boothroyd, DT Foord, ...","Journal of Crystal Growth 204 (4), 419-428",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4636034116825623054,91,1999
Novel fabrication method for nanometer‐scale silicon dots and wires,"GS Chen, CB Boothroyd, CJ Humphreys","Applied physics letters 62 (16), 1949-1951",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3717789311103386887,83,1993
Hexagonal close-packed Ni nanostructures grown on the (001) surface of MgO,"W Tian, HP Sun, XQ Pan, JH Yu, M Yeadon, CB Boothroyd, YP Feng, ...","Applied Physics Letters 86 (13), 131915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=567744454404697805,81,2005
"Morphology, structure and growth of WS2 nanotubes","YQ Zhu, WK Hsu, H Terrones, N Grobert, BH Chang, M Terrones, BQ Wei, ...","Journal of Materials Chemistry 10 (11), 2570-2577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1893894860458615679,78,2000
"Layered Black Phosphorus: Strongly Anisotropic Magnetic, Electronic, and Electron‐Transfer Properties","Z Sofer, D Sedmidubský, Š Huber, J Luxa, D Bouša, C Boothroyd, ...","Angewandte Chemie International Edition 55 (10), 3382-3386",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5467574306831746847,74,2016
Three-dimensional structure of CeO2 nanocrystals,"JPY Tan, HR Tan, C Boothroyd, YL Foo, CB He, M Lin","The Journal of Physical Chemistry C 115 (9), 3544-3551",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7594554453003762957,72,2011
Influence of Au catalyst on the growth of ZnS nanowires,"M Lin, T Sudhiranjan, C Boothroyd, KP Loh","Chemical physics letters 400 (1-3), 175-178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17533733035562053449,68,2004
Direct measurement of the temperature dependence of the unperturbed dimensions of a polymer,"AT Boothroyd, AR Rennie, CB Boothroyd","EPL (Europhysics Letters) 15 (7), 715",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8924763987608946597,65,1991
Evolution pathway of CIGSe nanocrystals for solar cell applications,"M Ahmadi, SS Pramana, L Xi, C Boothroyd, YM Lam, S Mhaisalkar","The Journal of Physical Chemistry C 116 (14), 8202-8209",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11611370024526932133,59,2012
