Title,Authors,Platform,Cited_url,Cited_count,Year
Solution-processed small-molecule solar cells with 6.7% efficiency,"Y Sun, GC Welch, WL Leong, CJ Takacs, GC Bazan, AJ Heeger","Nature materials 11 (1), 44",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7057831694426629635,1499,2012
Lead‐free halide perovskite solar cells with high photocurrents realized through vacancy modulation,"MH Kumar, S Dharani, WL Leong, PP Boix, RR Prabhakar, T Baikie, C Shi, ...","Advanced Materials 26 (41), 7122-7127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4851923958161515011,445,2014
Intensity dependence of current–voltage characteristics and recombination in high-efficiency solution-processed small-molecule solar cells,"AKK Kyaw, DH Wang, V Gupta, WL Leong, L Ke, GC Bazan, AJ Heeger","ACS nano 7 (5), 4569-4577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2006838020328797927,424,2013
Lead-free germanium iodide perovskite materials for photovoltaic applications,"T Krishnamoorthy, H Ding, C Yan, WL Leong, T Baikie, Z Zhang, ...","Journal of Materials Chemistry A 3 (47), 23829-23832",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16620623063712318196,285,2015
"Charge formation, recombination, and sweep‐out dynamics in organic solar cells","SR Cowan, N Banerji, WL Leong, AJ Heeger","Advanced Functional Materials 22 (6), 1116-1128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15833839557472106789,284,2012
Identifying a Threshold Impurity Level for Organic Solar Cells: Enhanced First‐Order Recombination Via Well‐Defined PC,"SR Cowan, WL Leong, N Banerji, G Dennler, AJ Heeger","Advanced Functional Materials 21 (16), 3083-3092",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18355267404286993384,207,2011
Non‐volatile organic memory applications enabled by in situ synthesis of gold nanoparticles in a self‐assembled block copolymer,"WL Leong, PS Lee, A Lohani, YM Lam, T Chen, S Zhang, A Dodabalapur, ...","Advanced Materials 20 (12), 2325-2331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7325644393390640602,188,2008
Formamidinium tin-based perovskite with low E g for photovoltaic applications,"TM Koh, T Krishnamoorthy, N Yantara, C Shi, WL Leong, PP Boix, ...","Journal of Materials Chemistry A 3 (29), 14996-15000",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13023452842722954677,182,2015
A swivel-cruciform thiophene based hole-transporting material for efficient perovskite solar cells,"T Krishnamoorthy, F Kunwu, PP Boix, H Li, TM Koh, WL Leong, S Powar, ...","Journal of Materials Chemistry A 2 (18), 6305-6309","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14003936411056204192,17458130827497795267,6786539266195577260",176,2014
Differential Resistance Analysis of Charge Carrier Losses in Organic Bulk Heterojunction Solar Cells: Observing the Transition from Bimolecular to Trap‐Assisted Recombination …,"W Lin Leong, SR Cowan, AJ Heeger",Advanced Energy Materials,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17593965222032141434,176,2011
