Title,Authors,Platform,Cited_url,Cited_count,Year
High‐Performance Photothermal Conversion of Narrow‐Bandgap Ti,"J Wang, Y Li, L Deng, N Wei, Y Weng, S Dong, D Qi, J Qiu, X Chen, T Wu","Advanced Materials 29 (3), 1603730",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17682239665304911634,238,2017
Design of architectures and materials in in‐plane micro‐supercapacitors: current status and future challenges,"D Qi, Y Liu, Z Liu, L Zhang, X Chen","Advanced Materials 29 (5), 1602802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2503647337512259869,173,2017
Suspended wavy graphene microribbons for highly stretchable microsupercapacitors,"D Qi, Z Liu, Y Liu, WR Leow, B Zhu, H Yang, J Yu, W Wang, H Wang, ...","Advanced Materials 27 (37), 5559-5566",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4031312144297301205,165,2015
Unravelling the correlation between the aspect ratio of nanotubular structures and their electrochemical performance to achieve high‐rate and long‐life lithium‐ion batteries,"Y Tang, Y Zhang, J Deng, D Qi, WR Leow, J Wei, S Yin, Z Dong, ...","Angewandte Chemie International Edition 53 (49), 13488-13492",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6699014650251740994,158,2014
Thickness‐Gradient Films for High Gauge Factor Stretchable Strain Sensors,"Z Liu, D Qi, P Guo, Y Liu, B Zhu, H Yang, Y Liu, B Li, C Zhang, J Yu, ...","Advanced Materials 27 (40), 6230-6237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8908350625007839852,153,2015
Enhanced Cathodic Oxygen Reduction and Power Production of Microbial Fuel Cell Based on Noble‐Metal‐Free Electrocatalyst Derived from Metal‐Organic Frameworks,"S You, X Gong, W Wang, D Qi, X Wang, X Chen, N Ren","Advanced Energy Materials 6 (1), 1501497",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16008754301811738524,152,2016
Simple approach to wafer-scale self-cleaning antireflective silicon surfaces,"D Qi, N Lu, H Xu, B Yang, C Huang, M Xu, L Gao, Z Wang, L Chi","Langmuir 25 (14), 7769-7772",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11379183394325306425,138,2009
Ambient fabrication of large‐area graphene films via a synchronous reduction and assembly strategy,"X Cao, D Qi, S Yin, J Bu, F Li, CF Goh, S Zhang, X Chen","Advanced Materials 25 (21), 2957-2962",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6460709211446957157,136,2013
Editable Supercapacitors with Customizable Stretchability Based on Mechanically Strengthened Ultralong MnO,"Z Lv, Y Luo, Y Tang, J Wei, Z Zhu, X Zhou, W Li, Y Zeng, W Zhang, ...","Advanced Materials 30 (2), 1704531",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16060718718196284329,128,2018
Conductive inks based on a lithium titanate nanotube gel for high‐rate lithium‐ion batteries with customized configuration,"Y Tang, Y Zhang, X Rui, D Qi, Y Luo, WR Leow, S Chen, J Guo, J Wei, ...","Advanced materials 28 (8), 1567-1576",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3510141929096374435,117,2016
Programmable Photo‐Electrochemical Hydrogen Evolution Based on Multi‐Segmented CdS‐Au Nanorod Arrays,"X Wang, C Liow, D Qi, B Zhu, WR Leow, H Wang, C Xue, X Chen, S Li","Advanced materials 26 (21), 3506-3512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2359387642580973519,114,2014
3D printed photoresponsive devices based on shape memory composites,"H Yang, WR Leow, T Wang, J Wang, J Yu, K He, D Qi, C Wan, X Chen","Advanced Materials 29 (33), 1701627",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6074072333793851026,106,2017
Biomimetic corrugated silicon nanocone arrays for self-cleaning antireflection coatings,"Y Wang, N Lu, H Xu, G Shi, M Xu, X Lin, H Li, W Wang, D Qi, Y Lu, L Chi","Nano Research 3 (7), 520-527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11152375400043904069,106,2010
Biomimetic antireflective Si nanopillar arrays,"H Xu, N Lu, D Qi, J Hao, L Gao, B Zhang, L Chi","Small 4 (11), 1972-1975",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9799991776287341640,102,2008
Gram‐Positive Antimicrobial Activity of Amino Acid‐Based Hydrogels,"I Irwansyah, YQ Li, W Shi, D Qi, WR Leow, MBY Tang, S Li, X Chen","Advanced Materials 27 (4), 648-654",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3284112360087566827,98,2015
"Quadruple H-bonding cross-linked supramolecular polymeric materials as substrates for stretchable, antitearing, and self-healable thin film electrodes","X Yan, Z Liu, Q Zhang, J Lopez, H Wang, HC Wu, S Niu, H Yan, S Wang, ...","Journal of the American Chemical Society 140 (15), 5280-5289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=415210727551012556,93,2018
