Title,Authors,Platform,Cited_url,Cited_count,Year
Computer anxiety and its correlates: a meta-analysis,"SL Chua, DT Chen, AFL Wong","Computers in human behavior 15 (5), 609-623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12286085604118102909,637,1999
"Situated cognition, Vygotskian thought and learning from the communities of practice perspective: Implications for the design of web-based e-learning","DWL Hung, DT Chen","Educational Media International 38 (1), 3-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=346963273325153467,421,2001
Students' views of the nature of science: A critical review of research,"F Deng, DT Chen, CC Tsai, CS Chai","Science Education 95 (6), 961-999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17117627208595758826,256,2011
Unpacking new media literacy,"DT Chen, J Wu, YM Wang",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14603777345968181545,88,2011
Hypertext literacy: Observations from the electro text project,"L Anderson-Inman, MA Horney, DT Chen, L Lewin","Language Arts 71 (4), 279-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5599724731717214562,85,1994
Context–process authenticity in learning: implications for identity enculturation and boundary crossing,"D Hung, DTV Chen","Educational Technology Research and Development 55 (2), 147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17180807851651747531,82,2007
Personalised knowledge representations: the missing half of online discussions,"DT Chen, D Hung","British Journal of Educational Technology 33 (3), 279-290",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3334449155783118265,67,2002
Understanding new media literacy: The development of a measuring instrument,"L Lee, DT Chen, JY Li, TB Lin","Computers & Education 85, 84-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15482702308925698585,58,2015
Uncovering the provisos behind flexible learning,DT Chen,"Educational Technology & Society 6 (2), 25-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10104672956496479526,57,2003
A journey on refining rules for online discussion: Implications for the design of learning management systems,"DT Chen, YM Wang, D Hung","Journal of Interactive Learning Research 20 (2), 157-173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17991863443046460116,46,2009
Essential Elements in Designing Online Discussions to Promote Cognitive Presence--A Practical Experience.,"Y Wang, VDT Chen","Journal of Asynchronous Learning Networks 12, 157-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2152365396895707730,45,2008
