Title,Authors,Platform,Cited_url,Cited_count,Year
Experimental and theoretical studies of light-to-heat conversion and collective heating effects in metal nanoparticle solutions,"HH Richardson, MT Carlson, PJ Tandler, P Hernandez, AO Govorov","Nano letters 9 (3), 1139-1146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7355471318846226278,448,2009
"Theory of circular dichroism of nanomaterials comprising chiral molecules and nanocrystals: plasmon enhancement, dipole interactions, and dielectric effects","AO Govorov, Z Fan, P Hernandez, JM Slocik, RR Naik","Nano letters 10 (4), 1374-1382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6469779568110512594,371,2010
Exciton–plasmon interactions in molecular spring assemblies of nanowires and wavelength-based protein detection,"J Lee, P Hernandez, J Lee, AO Govorov, NA Kotov","Nature materials 6 (4), 291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9196829985901768598,338,2007
Large-area (over 50 cm× 50 cm) freestanding films of colloidal InP/ZnS quantum dots,"E Mutlugun, PL Hernandez-Martinez, C Eroglu, Y Coskun, T Erdem, ...","Nano letters 12 (8), 3986-3993",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13392152251882039865,102,2012
Observation of Selective Plasmon-Exciton Coupling in Nonradiative Energy Transfer: Donor-Selective vs. Acceptor-Selective Plexcitons,"HVD Tuncay Ozel , Pedro Ludwig Hernandez Martinez",Nano Letter,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16843196044749920185,72,2013
The Letters of Richard Henry Lee,RH Lee,Macmillan,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3478906000836639761,17497673965063659283",65,1911
Excitonics of semiconductor quantum dots and wires for lighting and displays,"B Guzelturk, PLH Martinez, Q Zhang, Q Xiong, H Sun, XW Sun, ...","Laser & Photonics Reviews 8 (1), 73-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5443377552188047063,64,2014
Exciton energy transfer between nanoparticles and nanowires,"PL Hernández-Martínez, AO Govorov","Physical Review B 78 (3), 035314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6274532309422297402,61,2008
Continuously tunable emission in inverted type‐I CdS/CdSe core/crown semiconductor nanoplatelets,"S Delikanli, B Guzelturk, PL Hernández‐Martínez, T Erdem, Y Kelestemur, ...","Advanced Functional Materials 25 (27), 4282-4289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12744149217638600500,46,2015
Generalized Theory of Forster-type Nonradiative Energy Transfer in Nanostructures with Mixed Dimensionality,"PL Hernandez-Martinez, AO Govorov, HV Demir","J. Phys. Chem. C 117 (19), 10203−10212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17490293040566294038,41,2013
Mn2+-Doped CdSe/CdS Core/Multishell Colloidal Quantum Wells Enabling Tunable Carrier–Dopant Exchange Interactions,"S Delikanli, MZ Akgul, JR Murphy, B Barman, Y Tsai, T Scrace, P Zhang, ...","ACS nano 9 (12), 12473-12479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17337486797096196552,40,2015
Quantum dots on vertically aligned gold nanorod monolayer: plasmon enhanced fluorescence,"B Peng, Z Li, E Mutlugun, PLH Martínez, D Li, Q Zhang, Y Gao, HV Demir, ...","Nanoscale 6 (11), 5592-5598",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4683779873898012978,36,2014
Electroluminescence efficiency enhancement in quantum dot light‐emitting diodes by embedding a silver nanoisland layer,"X Yang, PL Hernandez‐Martinez, C Dang, E Mutlugun, K Zhang, ...","Advanced Optical Materials 3 (10), 1439-1445",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4214865944055201565,33,2015
Phonon-assisted exciton transfer into silicon using nanoemitters: the role of phonons and temperature effects in Förster resonance energy transfer,"A Yeltik, B Guzelturk, PL Hernandez-Martinez, AO Govorov, HV Demir","ACS nano 7 (12), 10492-10501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11989101816351464348,30,2013
Förster-Type Nonradiative Energy Transfer for Assemblies of Arrayed Nanostructures: Confinement Dimension vs Stacking Dimension,"PL Hernández-Martínez, AO Govorov, HV Demir","The Journal of Physical Chemistry C 118 (9), 4951-4958",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=830576488415147634,29,2014
Study of exciton transfer in dense quantum dot nanocomposites,"B Guzelturk, PL Hernandez-Martinez, VK Sharma, Y Coskun, ...","Nanoscale 6 (19), 11387-11394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7091304682373454237,25,2014
