Title,Authors,Platform,Cited_url,Cited_count,Year
Do domestic and foreign fund managers have similar preferences for stock characteristics? A cross-country analysis,"V Covrig, ST Lau, L Ng","Journal of International Business Studies 37 (3), 407-429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8768376714620147458,201,2006
The world price of home bias,"ST Lau, L Ng, B Zhang","Journal of Financial Economics 97 (2), 191-217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7532017960349480459,135,2010
What if trading location is different from business location? Evidence from the Jardine Group,"K Chan, A Hameed, S Ting Lau","The Journal of Finance 58 (3), 1221-1246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10849356724525107864,129,2003
"Stock returns and beta, firms size, E/P, CF/P, book-to-market, and sales growth: evidence from Singapore and Malaysia","ST Lau, CT Lee, TH McInish","Journal of multinational financial management 12 (3), 207-222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16126085374096267213,122,2002
Valuation effects of international stock exchange listings,"ST Lau, JD Diltz, VP Apilado","Journal of banking & finance 18 (4), 743-755",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2178855242994763559,122,1994
An investigation of price discovery in informationally-linked markets: equity trading in Malaysia and Singapore,"DK Ding, FH deB Harris, ST Lau, TH McInish","Journal of Multinational Financial Management 9 (3-4), 317-329","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4383239336611390588,10476739222665299924",87,1999
Stock returns and the transfer of information between the New York and Tokyo stock exchanges,"ST Lau, JD Diltz","Journal of International Money and Finance 13 (2), 211-222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10692039317345589173,80,1994
"Comovements of international equity returns: A comparison of the pre-and post-October 19, 1987, periods","ST Lau, TH McInish","Global Finance Journal 4 (1), 1-19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2582995595778876878,79,1993
Reducing tick size on the Stock Exchange of Singapore,"ST Lau, TH McInish","Pacific-Basin Finance Journal 3 (4), 485-496",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8000719277565175183,77,1995
Opening and closing behavior following the introduction of call auctions in Singapore,"C Comerton-Forde, ST Lau, T McInish","Pacific-Basin Finance Journal 15 (1), 18-35","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=30291302014561136,13344579987563101911",69,2007
Information environment and equity risk premium volatility around the world,"ST Lau, L Ng, B Zhang","Management Science 58 (7), 1322-1340",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13672017550226751026,39,2012
Choice of foreign listing location: Experience of Chinese firms,"T Yang, ST Lau","Pacific-Basin Finance Journal 14 (3), 311-326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4365143033888362826,39,2006
"An analysis of transactions data for the stock exchange of singapore: Patterns, absolute price change, trade size and number of transactions","DK Ding, ST Lau","Journal of Business Finance & Accounting 28 (1‐2), 151-174","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=761917727464602360,11799266546185132802",35,2001
"IMF bailouts, contagion effects, and bank security returns","ST Lau, TH McInish","International Review of Financial Analysis 12 (1), 3-23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18422517537733138278,29,2003
US cross-listing and China's B-share discount,"T Yang, ST Lau","Journal of Multinational Financial Management 15 (4-5), 334-353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10695725026198871992,16,2005
Cross‐Listings and Home Market Trading Volume: The Case of Malaysia and Singapore,"S Ting Lau, TH McInish","Journal of Financial Research 25 (4), 477-484","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2088603882436129318,15953713793193157243",15,2002
Trading volume and location of trade: Evidence from Jardine group listings in Hong Kong and Singapore,"ST Lau, TH McInish","Journal of banking & finance 27 (8), 1411-1425","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15247272652951050888,11562718411544153041",13,2003
Does proximity matter in international bond underwriting?,"ST Lau, J Yu","Journal of Banking & Finance 34 (9), 2027-2041",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7085207972056612065,12,2010
Corporate Governance and the Information Content of Earnings Announcements: A Cross‐Country Analysis,"ST Lau, K Shrestha, J Yu","Contemporary Accounting Research 33 (3), 1238-1266","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4135347643861804048,495218373334191868",8,2016
Factors Associated With Dual Equity Listings,"david Diltz, S Lau","International Journal of Finance 6 (3), 825-844","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=295939486848592937,2935657393539039579",8,1994
Informed trading around earnings and mutual fund alphas,"Y Cai, ST Lau","Journal of Banking & Finance 60, 168-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=224075281638788424,7,2015
Trading of NASDAQ stocks on the Chicago Stock Exchange,"ST Lau, MS McCorry, TH McInish, RA Van Ness","Journal of Financial Research 19 (4), 579-584",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3349588722846860293,6,1996
"Ownership of Cross–Listed Equities: An Investigation of Turnover, Diversification, and Risk","ST Lau, TH McInish","Financial Review 38 (1), 151-160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6948461897103017651,5,2003
An empirical investigation of Yankee stock offerings,"T Yang, ST Lau","Review of Quantitative Finance and Accounting 34 (3), 351-370","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3176446691834165988,14549486693291319514",4,2010
The role of internal and external certification mechanisms in seasoned equity offerings,"H Koerniadi, C Krishnamurti, ST Lau, A Tourani-Rad, T Yang","Journal of Multinational Financial Management 30, 110-127","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9276115177682159256,13690546982986547069,15818225316044758611,9021790651266484281",2,2015
Liquidity and foreign ownership restrictions,"ST Lau, MS McCorry, TH McInish","Economics Letters 56 (1), 85-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3690792744000923439,2,1997
LOST IN TRANSLATION: WHICH STOCK PRICES BEAR THE BURDEN TO ADJUST TO EXCHANGE RATES?,"J Lockwood, L Lockwood, ST Lau","Journal of Financial Research 39 (3), 263-290",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10887979086145251330,1,2016
Opening prices on the ASX and the SES,"A Frino, ST Lau, TH McInish","Greenwich, Conn: JAI Press",,0,2000
Administration of Foreign Share Ownership Restrictions,"ST Lau, TH Mclnish","Review of Pacific Basin Financial Markets and Policies 1 (04), 497-509",,0,1998
