Title,Authors,Platform,Cited_url,Cited_count,Year
Surface roughness directed self-assembly of patchy particles into colloidal micelles,"DJ Kraft, R Ni, F Smallenburg, M Hermes, K Yoon, DA Weitz, ...","Proceedings of the National Academy of Sciences 109 (27), 10787-10792",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12281813043617064586,286,2012
"Crystal nucleation of hard spheres using molecular dynamics, umbrella sampling, and forward flux sampling: A comparison of simulation techniques","L Filion, M Hermes, R Ni, M Dijkstra","The Journal of chemical physics 133 (24), 244115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=747374460358064992,152,2010
Phase diagram of colloidal hard superballs: from cubes via spheres to octahedra,"R Ni, AP Gantapara, J de Graaf, R van Roij, M Dijkstra","Soft Matter 8 (34), 8826-8834",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2266938718736896047,125,2012
Pushing the glass transition towards random close packing using self-propelled hard spheres,"R Ni, MA Cohen Stuart, M Dijkstra","Nature Communications 4, 2704",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8533924336395407380,120,2013
Tunable long range forces mediated by self-propelled colloidal hard spheres,"R Ni, MA Cohen Stuart, PG Bolhuis","Physical Review Letters 114 (1), 018302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17142283846353840476,86,2015
Self-Assembly of Semiconducting Polymer Amphiphiles for In Vivo Photoacoustic Imaging,"C Xie, X Zhen, Q Lei, R Ni, K Pu","Advanced Functional Materials 27, 1605397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16862517976920661853,85,2017
Simulation of nucleation in almost hard-sphere colloids: The discrepancy between experiment and simulation persists,"L Filion, R Ni, D Frenkel, M Dijkstra","The Journal of chemical physics 134 (13), 134901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9413854729035451517,77,2011
Structural signatures of dynamic heterogeneities in monolayers of colloidal ellipsoids,"Z Zheng, R Ni, F Wang, M Dijkstra, Y Wang, Y Han","Nature communications 5, 3829",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3670770820564443236,59,2014
Crystallizing hard-sphere glasses by doping with active particles,"R Ni, MA Cohen Stuart, M Dijkstra, PG Bolhuis","Soft Matter 10, 6609-6613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16365742422338132307,50,2013
Modes of surface premelting in colloidal crystals composed of attractive particles,"B Li, F Wang, D Zhou, Y Peng, R Ni, Y Han","Nature 531 (7595), 485-488",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5153610867400133716,37,2016
"Glassy dynamics, spinodal fluctuations, and the kinetic limit of nucleation in suspensions of colloidal hard rods","R Ni, S Belli, R van Roij, M Dijkstra","Physical review letters 105 (8), 88302","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11369393133574745299,4560021147861335859",37,2010
