Title,Authors,Platform,Cited_url,Cited_count,Year
Recent advances in ultrathin two-dimensional nanomaterials,"C Tan, X Cao, XJ Wu, Q He, J Yang, X Zhang, J Chen, W Zhao, S Han, ...","Chemical reviews 117 (9), 6225-6331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7370509221761943926,1325,2017
High phase-purity 1T′-MoS 2-and 1T′-MoSe 2-layered crystals,"Y Yu, GH Nam, Q He, XJ Wu, K Zhang, Z Yang, J Chen, Q Ma, M Zhao, ...","Nature chemistry 10 (6), 638",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16364230260630854314,197,2018
Improved Reversibility of Fe,"R Rajagopalan, B Chen, Z Zhang, XL Wu, Y Du, Y Huang, B Li, Y Zong, ...","Advanced Materials 29 (12), 1605694",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11492848097828180385,53,2017
Preparation of 1T′-Phase ReS,"Z Lai, A Chaturvedi, Y Wang, TH Tran, X Liu, C Tan, Z Luo, B Chen, ...","Journal of the American Chemical Society 140 (27), 8563-8568",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3486312281778164012,28,2018
Preparation of hierarchically aligned carbon nanotube films using the Langmuir-Blodgett technique,"JH Lee, WS Kang, GH Nam, SW Choi, JH Kim","Journal of nanoscience and nanotechnology 9 (12), 7080-7084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3960099609662289369,11,2009
Large-scale direct patterning of aligned single-walled carbon nanotube arrays using dip-pen nanolithography,"JH Lee, CK Najeeb, GH Nam, Y Shin, JH Lim, JH Kim","Chemistry of Materials 28 (18), 6471-6476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18044911134489381863,9,2016
Area-selective growth of ZnO nanorod arrays on single-walled carbon nanotube patterns,"J Chang, JH Lee, CK Najeeb, GH Nam, M Lee, JH Kim","Scripta Materialia 63 (5), 520-523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8312099339277301905,6,2010
In Situ fabrication of nano transistors by selective deposition of a gate dielectric around carbon nanotubes,"JH Lee, YK Jeong, JA Peters, GH Nam, S Jin, JH Kim","ACS applied materials & interfaces 7 (43), 24094-24102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7345895877862313744,4,2015
In‐Plane Anisotropic Properties of 1T′‐MoS,"GH Nam, Q He, X Wang, Y Yu, J Chen, K Zhang, Z Yang, D Hu, Z Lai, B Li, ...","Advanced Materials 31 (21), 1807764",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15098048308139434144,3,2019
Fabrication of gold nanoflowers by template-assisted electrodeposition,"J Chang, JH Lee, CK Najeeb, WS Kang, GH Nam, JH Kim","Journal of nanoscience and nanotechnology 9 (12), 7002-7006",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=804171247450260541,2,2009
Single-Bundle Carbon-Nanotube-Bridged Nanorod Devices with Control of Gap Length,"GH Nam, JH Lee, NEM Zahari, NC Khalid, WS Kang, JH Kim","The Journal of Physical Chemistry C 118 (19), 10463-10471",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4097467963978846989,1,2014
Quest for p-Type Two-Dimensional Semiconductors,"Q He, Y Liu, C Tan, W Zhai, G Nam, H Zhang",ACS nano,,0,2019
Modulation of semiconducting behavior in carbon nanotube Langmuir-Blodgett film based devices by controlling the effective channel dimension,"GH Nam, KS Kim, SH Park, HS Kim, DH Ahn, JH Kim, JH Lee","Applied Surface Science 481, 540-544",,0,2019
Quasi-Stem Cells Derived from Human Somatic Cells by Chemically Modified Carbon Nanotubes,"JH Lee, HK Kwon, HJ Shin, GH Nam, JH Kim, S Choi","ACS applied materials & interfaces 10 (10), 8417-8425",,0,2017
