Title,Authors,Platform,Cited_url,Cited_count,Year
On asymptotics of eigenvectors of large sample covariance matrix,"ZD Bai, BQ Miao, GM Pan","The Annals of Probability 35 (4), 1532-1572",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6809814303020308962,101,2007
"Circular law, extreme singular values and potential theory","G Pan, W Zhou","Journal of Multivariate Analysis 101 (3), 645-656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10455607255396953224,88,2010
Asymptotic performance of MMSE receivers for large systems using random matrix theory,"YC Liang, G Pan, ZD Bai","IEEE Transactions on Information Theory 53 (11), 4173-4190",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9734057612826407449,84,2007
Universality for the largest eigenvalue of sample covariance matrices with general population,"Z Bao, G Pan, W Zhou","The Annals of Statistics 43 (1), 382-421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8336288396648690961,58,2015
Central limit theorem for signal-to-interference ratio of reduced rank linear receiver,"GM Pan, W Zhou","The Annals of Applied Probability 18 (3), 1232-1270",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3026014477461447776,58,2008
On the relationship between MMSE-SIC and BI-GDFE receivers for large multiple-input multiple-output channels,"YC Liang, EY Cheu, L Bai, G Pan","IEEE Transactions on Signal Processing 56 (8), 3627-3637",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2768253951794157671,49,2008
On the performance of spectrum sensing algorithms using multiple antennas,"YC Liang, G Pan, Y Zeng","2010 IEEE Global Telecommunications Conference GLOBECOM 2010, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16057891656623068702,41,2010
Tracy-Widom law for the extreme eigenvalues of sample correlation matrices,"Z Bao, G Pan, W Zhou",Electronic Journal of Probability 17,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9792316924511020518,33,2012
Shrinkage estimation of large dimensional precision matrix using random matrix theory,"C Wang, G Pan, T Tong, L Zhu","Statistica Sinica, 993-1008",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1566085660740362370,29,2015
Nonparametric estimate of spectral density functions of sample covariance matrices: A first step,"BY Jing, G Pan, QM Shao, W Zhou","The Annals of Statistics 38 (6), 3724-3750",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4345205581292126376,28,2010
Strong convergence of the empirical distribution of eigenvalues of sample covariance matrices with a perturbation matrix,G Pan,"Journal of Multivariate Analysis 101 (6), 1330-1338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10220224669096324851,27,2010
Comparison between two types of large sample covariance matrices,G Pan,"Annales de l'IHP Probabilités et statistiques 50 (2), 655-677",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4675412577337733007,24,2014
A deterministic equivalent for the analysis of non-Gaussian correlated MIMO multiple access channels,"CK Wen, G Pan, KK Wong, M Guo, JC Chen","IEEE Transactions on Information Theory 59 (1), 329-352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15110241551324983930,23,2012
Independence test for high dimensional data based on regularized canonical correlation coefficients,"Y Yang, G Pan","The Annals of Statistics 43 (2), 467-500",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2906357708707305113,22,2015
Central limit theorem for Hotelling's ,"GM Pan, W Zhou",arXiv preprint arXiv:0802.0082,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15517989839582961520,22,2008
Convergence of the largest eigenvalue of normalized sample covariance matrices when ,"BB Chen, GM Pan","Bernoulli 18 (4), 1405-1420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13580733777347762504,20,2012
Central limit theorem for partial linear eigenvalue statistics of Wigner matrices,"Z Bao, G Pan, W Zhou","Journal of Statistical Physics 150 (1), 88-129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10780711265133832256,19,2013
High dimensional correlation matrices: the central limit theorem and its applications,"J Gao, X Han, G Pan, Y Yang",Journal of the Royal Statistical Society: Series B (Statistical Methodology …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13538096283418451370,1165765665943908666",17,2017
Limiting behavior of eigenvectors of large Wigner matrices,"ZD Bai, GM Pan","Journal of Statistical Physics 146 (3), 519-549",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7902823255405260750,17,2012
Convergence of the empirical spectral distribution function of Beta matrices,"Z Bai, J Hu, G Pan, W Zhou","Bernoulli 21 (3), 1538-1574",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14601850206280503481,15,2015
Testing independence among a large number of high-dimensional random vectors,"G Pan, J Gao, Y Yang","Journal of the American Statistical Association 109 (506), 600-612",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9807397714972726217,15,2014
Local density of the spectrum on the edge for sample covariance matrices with general population,"ZG Bao, GM Pan, W Zhou",Preprint. Available at http://www. ntu. edu. sg/home/gmpan/publications. html,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3714210360860085920,15,2013
A note on rate of convergence in probability to semicircular law,"Z Bai, J Hu, G Pan, W Zhou","Electronic Journal of Probability 16, 2439-2451",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5120172921506228821,13,2011
Limiting laws for divergent spiked eigenvalues and largest non-spiked eigenvalue of sample covariance matrices,"T Cai, X Han, G Pan",arXiv preprint arXiv:1711.00217,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=378806651714631816,12,2017
Spectral statistics of large dimensional Spearman’s rank correlation matrix and its application,"Z Bao, LC Lin, G Pan, W Zhou","The Annals of Statistics 43 (6), 2588-2623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16378043577543587925,12,2015
Asymptotic theory for sample covariance matrix under cross-sectional dependence,"GM Pan, JT Gao",Preprint,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1345101765746445769,12,2012
On singular value distribution of large-dimensional autocovariance matrices,"Z Li, G Pan, J Yao","Journal of Multivariate Analysis 137, 119-140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11775831411080614356,11,2015
Canonical correlation coefficients of high-dimensional normal vectors: finite rank case,"Z Bao, J Hu, G Pan, W Zhou",arXiv preprint arXiv:1407.7194,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5672848700092857451,11,2014
Large dimensional empirical likelihood,"B Chen, G Pan, Q Yang, W Zhou","Statistica Sinica, 1659-1677",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13203756371984533729,9,2015
CLT for largest eigenvalues and unit root testing for high-dimensional nonstationary time series,"B Zhang, G Pan, J Gao","The Annals of Statistics 46 (5), 2186-2215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16527107595383266129,8,2018
The Tracy–Widom law for the largest eigenvalue of F type matrices,"X Han, G Pan, B Zhang","The Annals of Statistics 44 (4), 1564-1592",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9574702247022951953,8,2016
CLT for linear spectral statistics of normalized sample covariance matrices with the dimension much larger than the sample size,"B Chen, G Pan","Bernoulli 21 (2), 1089-1133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11413625619100860676,7,2015
Limiting spectral distribution for large sample covariance matrices with m-dependent elements,"J Hui, G Pan","Communications in Statistics—Theory and Methods 39 (6), 935-941",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4639464918085850591,7,2010
Asymptotic distributions of the Signal-to-Interference Ratios of LMMSE detection in multiuser communications,"GM Pan, MH Guo, W Zhou","The Annals of Applied Probability 17 (1), 181-206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5235511017287617275,7,2007
Canonical correlation coefficients of high-dimensional Gaussian vectors: finite rank case,"Z Bao, J Hu, G Pan, W Zhou","The Annals of Statistics 47 (1), 612-640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8450002757300019982,6,2019
Test of independence for high-dimensional random vectors based on freeness in block correlation matrices,"Z Bao, J Hu, G Pan, W Zhou","Electronic Journal of Statistics 11 (1), 1527-1548",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10782886136738881870,6,2017
High dimensional mean–variance optimization through factor analysis,"B Chen, SF Huang, G Pan","Journal of Multivariate Analysis 133, 140-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4904317528149887788,6,2015
The convergence of the empirical distribution of canonical correlation coefficients,"Y Yang, G Pan",Electronic Journal of Probability 17,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7766909147503646361,6,2012
Universality of sample covariance matrices: CLT of the smoothed empirical spectral distribution,"G Pan, QM Shao, W Zhou",arXiv preprint arXiv:1111.5420,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8724707593002523155,6,2011
Universality for the largest eigenvalue of a class of sample covariance matrices,"Z Bao, G Pan, W Zhou",arXiv preprint arXiv:1304.5690,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2832956829516265590,5,2013
Asymptotic performance of reduced-rank linear receivers with principal component filter,"G Pan, M Guo, YC Liang","IEEE transactions on information theory 53 (3), 1148-1151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13650360745333648169,5,2007
On sure-type double shrinkage estimation,"BY Jing, Z Li, G Pan, W Zhou","Journal of the American Statistical Association 111 (516), 1696-1704",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13572484100473579273,4,2016
The logarithmic law of random determinant,"Z Bao, G Pan, W Zhou","Bernoulli 21 (3), 1600-1628",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14206266517430996675,4,2015
On the MIMO channel capacity for the general channels,"Z Bao, GM Pan, W Zhou",preprint,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18000031287520310498,4,2013
Interactions in the analysis of variance,PL Davies,"Journal of the American Statistical Association 107 (500), 1502-1509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1948896789919597228,4,2012
Central limit theorem for linear spectral statistics of large dimensional separable sample covariance matrices,"Z Bai, H Li, G Pan","Bernoulli 25 (3), 1838-1869",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15427995132290737665,3,2019
Covariance estimation via sparse Kronecker structures,"C Leng, G Pan","Bernoulli 24 (4B), 3833-3863",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5323136813794001542,3,2018
