Title,Authors,Platform,Cited_url,Cited_count,Year
Colloidal interactions and fouling of NF and RO membranes: a review,"CY Tang, TH Chong, AG Fane","Advances in colloid and interface science 164 (1-2), 126-143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6257961536850836524,436,2011
Thermodynamics and kinetics for mixed calcium carbonate and calcium sulfate precipitation,"TH Chong, R Sheikholeslami","Chemical engineering science 56 (18), 5391-5400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1893210805826878529,146,2001
The potential to enhance membrane module design with 3D printing technology,"JY Lee, WS Tan, J An, CK Chua, CY Tang, AG Fane, TH Chong","Journal of Membrane Science 499, 480-490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18337181829077202664,139,2016
Fouling propensity of forward osmosis: investigation of the slower flux decline phenomenon,"WCL Lay, TH Chong, CY Tang, AG Fane, J Zhang, Y Liu","Water science and technology 61 (4), 927-936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1672690438657971871,132,2010
The effect of imposed flux on biofouling in reverse osmosis: role of concentration polarisation and biofilm enhanced osmotic pressure phenomena,"TH Chong, FS Wong, AG Fane","Journal of Membrane Science 325 (2), 840-850",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1671406510061629000,129,2008
Implications of critical flux and cake enhanced osmotic pressure (CEOP) on colloidal fouling in reverse osmosis: experimental observations,"TH Chong, FS Wong, AG Fane","Journal of Membrane Science 314 (1-2), 101-111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9887500898541774891,116,2008
Enhanced concentration polarization by unstirred fouling layers in reverse osmosis: detection by sodium chloride tracer response technique,"TH Chong, FS Wong, AG Fane","Journal of Membrane Science 287 (2), 198-210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4488193032361724359,77,2007
The impact of flux and spacers on biofilm development on reverse osmosis membranes,"SR Suwarno, X Chen, TH Chong, VL Puspitasari, D McDougald, Y Cohen, ...","Journal of membrane science 405, 219-232",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14658007581092470217,68,2012
Monitoring membrane biofouling via ultrasonic time-domain reflectometry enhanced by silica dosing,"STV Sim, SR Suwarno, TH Chong, WB Krantz, AG Fane","Journal of membrane science 428, 24-37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12116642813426098577,59,2013
Energy-efficient desalination by forward osmosis using responsive ionic liquid draw solutes,"Y Cai, W Shen, J Wei, TH Chong, R Wang, WB Krantz, AG Fane, X Hu","Environmental Science: Water Research & Technology 1 (3), 341-347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12761090167111861209,55,2015
