Title,Authors,Platform,Cited_url,Cited_count,Year
Porous 3D graphene-based bulk materials with exceptional high surface area and excellent conductivity for supercapacitors,"L Zhang, F Zhang, X Yang, G Long, Y Wu, T Zhang, K Leng, Y Huang, ...","Scientific reports 3, 1408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1794050997976983815,696,2013
A series of simple oligomer-like small molecules based on oligothiophenes for solution-processed solar cells with high efficiency,"B Kan, M Li, Q Zhang, F Liu, X Wan, Y Wang, W Ni, G Long, X Yang, ...","Journal of the American Chemical Society 137 (11), 3886-3893",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17847961159224802888,682,2015
Small-molecule solar cells with efficiency over 9%,"Q Zhang, B Kan, F Liu, G Long, X Wan, X Chen, Y Zuo, W Ni, H Zhang, ...","Nature Photonics 9 (1), 35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12894221109392790744,666,2015
Solution-processed and high-performance organic solar cells using small molecules with a benzodithiophene unit,"J Zhou, Y Zuo, X Wan, G Long, Q Zhang, W Ni, Y Liu, Z Li, G He, C Li, ...","Journal of the American Chemical Society 135 (23), 8484-8487",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13800592775519507560,657,2013
Solution-processed organic solar cells based on dialkylthiol-substituted benzodithiophene unit with efficiency near 10%,"B Kan, Q Zhang, M Li, X Wan, W Ni, G Long, Y Wang, X Yang, H Feng, ...","Journal of the American Chemical Society 136 (44), 15529-15532",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11886945613910140103,647,2014
"Small molecules based on benzo [1, 2-b: 4, 5-b′] dithiophene unit for high-performance solution-processed organic solar cells","J Zhou, X Wan, Y Liu, Y Zuo, Z Li, G He, G Long, W Ni, C Li, X Su, Y Chen","Journal of the American Chemical Society 134 (39), 16345-16351",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5370153909671109181,550,2012
High performance photovoltaic applications using solution-processed small molecules,"Y Chen, X Wan, G Long","Accounts of chemical research 46 (11), 2645-2655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6042150922985953138,522,2013
Three-dimensionally bonded spongy graphene material with super compressive elasticity and near-zero Poisson’s ratio,"Y Wu, N Yi, L Huang, T Zhang, S Fang, H Chang, N Li, J Oh, JA Lee, ...","Nature communications 6, 6141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7560726462732981335,304,2015
Solution Processable Rhodanine‐Based Small Molecule Organic Photovoltaic Cells with a Power Conversion Efficiency of 6.1%,"Z Li, G He, X Wan, Y Liu, J Zhou, G Long, Y Zuo, M Zhang, Y Chen","Advanced Energy Materials 2 (1), 74-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1462803669526253311,299,2012
High‐Performance Solar Cells using a Solution‐Processed Small Molecule Containing Benzodithiophene Unit,"Y Liu, X Wan, F Wang, J Zhou, G Long, J Tian, Y Chen","Advanced Materials 23 (45), 5387-5391",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13980524187696174521,256,2011
Graphene–a promising material for organic photovoltaic cells,"X Wan, G Long, L Huang, Y Chen","Advanced Materials 23 (45), 5342-5358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6746624430107970308,238,2011
Spin‐coated small molecules for high performance solar cells,"Y Liu, X Wan, F Wang, J Zhou, G Long, J Tian, J You, Y Yang, Y Chen","Advanced Energy Materials 1 (5), 771-775",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17540886860996991556,231,2011
A planar small molecule with dithienosilole core for high efficiency solution-processed organic photovoltaic cells,"J Zhou, X Wan, Y Liu, G Long, F Wang, Z Li, Y Zuo, C Li, Y Chen","Chemistry of Materials 23 (21), 4666-4668",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10386801468359938864,193,2011
Controlling the Effective Surface Area and Pore Size Distribution of sp,"L Zhang, X Yang, F Zhang, G Long, T Zhang, K Leng, Y Zhang, Y Huang, ...","Journal of the American Chemical Society 135 (15), 5921-5929",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11058448068796260744,177,2013
A perylene diimide (PDI)-based small molecule with tetrahedral configuration as a non-fullerene acceptor for organic solar cells,"W Chen, X Yang, G Long, X Wan, Y Chen, Q Zhang","Journal of Materials Chemistry C 3 (18), 4698-4705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12474252529006840851,148,2015
Fine‐Tuning the Energy Levels of a Nonfullerene Small‐Molecule Acceptor to Achieve a High Short‐Circuit Current and a Power Conversion Efficiency over 12% in Organic Solar Cells,"B Kan, J Zhang, F Liu, X Wan, C Li, X Ke, Y Wang, H Feng, Y Zhang, ...","Advanced Materials 30 (3), 1704904",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1969266151693125281,128,2018
Pushing up lithium storage through nanostructured polyazaacene analogues as anode,"J Wu, X Rui, G Long, W Chen, Q Yan, Q Zhang","Angewandte Chemie International Edition 54 (25), 7354-7358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11849777070349373085,124,2015
"Synthesis, structure, and air‐stable n‐type field‐effect transistor behaviors of functionalized octaazanonacene‐8, 19‐dione","C Wang, J Zhang, G Long, N Aratani, H Yamada, Y Zhao, Q Zhang","Angewandte Chemie International Edition 54 (21), 6292-6296",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17118235588403634445,117,2015
Polymer photovoltaic devices with transparent graphene electrodes produced by spin-casting,"Y Xu, G Long, L Huang, Y Huang, X Wan, Y Ma, Y Chen","Carbon 48 (11), 3308-3311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=678050717177916680,117,2010
Efficient solution processed bulk-heterojunction solar cells based a donor–acceptor oligothiophene,"Y Liu, X Wan, B Yin, J Zhou, G Long, S Yin, Y Chen","Journal of Materials Chemistry 20 (12), 2464-2468",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14976544178383863132,98,2010
