Title,Authors,Platform,Cited_url,Cited_count,Year
Differences between tight and loose cultures: A 33-nation study,"MJ Gelfand, JL Raver, L Nishii, LM Leslie, J Lun, BC Lim, L Duan, ...","Science 332 (6033), 1100-1104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14844255643858498582,1330,2011
Team mental models and team performance: a field study of the effects of team mental model similarity and accuracy,"BC Lim, KJ Klein","Journal of Organizational Behavior 27 (4), 403-418",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15919756440241988658,675,2006
Transformational leadership: relations to the five-factor model and team performance in typical and maximum contexts.,"BC Lim, RE Ployhart","Journal of Applied Psychology 89 (4), 610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4815648016648377926,639,2004
How do they get there? An examination of the antecedents of centrality in team networks,"KJ Klein, BC Lim, JL Saltz, DM Mayer","Academy of Management Journal 47 (6), 952-963",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9329177620178967845,595,2004
Exploring relations between typical and maximum performance ratings and the five factor model of personality,"RE Ployhart, BC LIM, KIMYIN CHAN","Personnel Psychology 54 (4), 809-843",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14462530770312128328,249,2001
Assessing the Convergent and Discriminant Validity of Goldberg’s International Personality Item Pool A Multitrait-Multimethod Examination,"BC Lim, RE Ployhart","Organizational Research Methods 9 (1), 29-54",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10594570047747974654,169,2006
When team members’ values differ: The moderating role of team leadership,"KJ Klein, AP Knight, JC Ziegert, BC Lim, JL Saltz","Organizational Behavior and Human Decision Processes 114 (1), 25-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12261510008978903389,157,2011
Culture and accountability in organizations: Variations in forms of social control across cultures,"MJ Gelfand, BC Lim, JL Raver","Human Resource management review 14 (1), 135-160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7834606362425965592,114,2004
The Human Side of Strategy:: Employee Experiences of Strategic Alignment in a Service Organization,"B Schneider, EG Godfrey, SC Hayes, M Huang, BC Lim, LH Nishii, ...","Organizational Dynamics 32 (2), 122-141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11459848822756526411,91,2003
Do the leader and members make the team? the role of personality and cognitive ability.,BC Lim,ProQuest Information & Learning,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1734148910535859944,20,2004
Decision-making in a brigade command team: Integrating theory and practice,"COLOY Lin, LTCLB Chong",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17787456213802246573,3,2004
"Difficult Team Members: Implications for Trust, Conflict, Effectiveness, and Leadership","JL Raver, MG Ehrhart, BC Lim","Academy of Management Proceedings 2013 (1), 14801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5097480680213170441,2,2013
Social Network Analysis: A Diagnostic Tool to Enhance Organizational Connectivity,"CS Lee Daniel, LCL Beng-Chong",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15720365956613255210,1,0
Team Mental Models: Their Influence on Team Performance,BC Lim,"University of Maryland, College Park",,0,2002
Preparing Our Soldiers To Fight Tomorrow's,"COLOY Lin, SLB Chong, MAJD Lim",,,0,0
Training Expert Decision Maker,"COLOY Lin, LTCLB Chong",POINTER,,0,0
