Title,Authors,Platform,Cited_url,Cited_count,Year
Local features are not lonely–Laplacian sparse coding for image classification,"IWHT ShenghuaGao, PZ Liang-TienChia",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11500718226893695518,484,2010
Kernel sparse representation for image classification and face recognition,"S Gao, IWH Tsang, LT Chia","European Conference on Computer Vision, 1-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15969412601604843516,402,2010
"Laplacian sparse coding, hypergraph laplacian sparse coding, and applications","S Gao, IWH Tsang, LT Chia","IEEE Transactions on Pattern Analysis and Machine Intelligence 35 (1), 92-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16333137899786300,325,2012
DAML-QoS ontology for web services,"C Zhou, LT Chia, BS Lee","Proceedings. IEEE International Conference on Web Services, 2004., 472-479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14813051153093286640,318,2004
Region-based saliency detection and its application in object recognition,"Z Ren, S Gao, LT Chia, IWH Tsang","IEEE Transactions on Circuits and Systems for Video Technology 24 (5), 769-779",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16919265428675927970,203,2013
Sparse representation with kernels,"S Gao, IWH Tsang, LT Chia","IEEE Transactions on Image Processing 22 (2), 423-434",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1496995927664702212,200,2012
Motion context: A new representation for human action recognition,"Z Zhang, Y Hu, S Chan, LT Chia","European Conference on Computer Vision, 817-829",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2090407601193397444,176,2008
Salient region detection using weighted feature maps based on the human visual attention model,"Y Hu, X Xie, WY Ma, LT Chia, D Rajan","Pacific-Rim Conference on Multimedia, 993-1000","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6963343454655894673,2660801133179931209",147,2004
Affective content analysis in comedy and horror videos by audio emotional event detection,"M Xu, LT Chia, J Jin","2005 IEEE International Conference on Multimedia and Expo, 4 pp.",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12968358034335682875,118,2005
HMM-based audio keyword generation,"M Xu, LY Duan, J Cai, LT Chia, C Xu, Q Tian","Pacific-Rim Conference on Multimedia, 566-574",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2800355409209215192,110,2004
