Title,Authors,Platform,Cited_url,Cited_count,Year
Regularized orthogonal least squares algorithm for constructing radial basis function networks,"S Chen, ES Chng, K Alkadhimi","International Journal of Control 64 (5), 829-837",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=154694285130345585,289,1996
Gradient radial basis function networks for nonlinear and nonstationary time series prediction,"ES Chng, S Chen, B Mulgrew","IEEE transactions on neural networks 7 (1), 190-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16227865961843096264,206,1996
Vulnerability of speaker verification systems against voice conversion spoofing attacks: The case of telephone speech,"T Kinnunen, ZZ Wu, KA Lee, F Sedlak, ES Chng, H Li","2012 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15542480455774865798,146,2012
Detecting converted speech and natural speech for anti-spoofing attack in speaker recognition,"Z Wu, ES Chng, H Li",Thirteenth Annual Conference of the International Speech Communication …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9234190296359239035,141,2012
Exemplar-based sparse representation with residual compensation for voice conversion,"Z Wu, T Virtanen, ES Chng, H Li","IEEE/ACM Transactions on Audio, Speech, and Language Processing 22 (10 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15641491284250241612,127,2014
A study on replay attack and anti-spoofing for text-dependent speaker verification,"Z Wu, S Gao, ES Cling, H Li",Signal and Information Processing Association Annual Summit and Conference …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8730846681179708669,116,2014
Sports highlight detection from keyword sequences using HMM,"J Wang, C Xu, E Chng, Q Tian",2004 IEEE International Conference on Multimedia and Expo (ICME)(IEEE Cat …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=539991592777469248,105,2004
A learning-based approach to direction of arrival estimation in noisy and reverberant environments,"X Xiao, S Zhao, X Zhong, DL Jones, ES Chng, H Li","2015 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4296999734603829548,102,2015
A first speech recognition system for Mandarin-English code-switch conversational speech,"NT Vu, DC Lyu, J Weiner, D Telaar, T Schlippe, F Blaicher, ES Chng, ...","2012 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=587982689362947596,98,2012
Synthetic speech detection using temporal modulation feature,"Z Wu, X Xiao, ES Chng, H Li","2013 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1802369065255848143,92,2013
Normalization of the speech modulation spectra for robust speech recognition,"X Xiao, ES Chng, H Li","IEEE Transactions on Audio, Speech, and Language Processing 16 (8), 1662-1674",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9926556521976928059,91,2008
