Title,Authors,Platform,Cited_url,Cited_count,Year
Mesophase ordering of TiO2 film with high surface area and strong light harvesting for dye-sensitized solar cell,"S Agarwala, M Kevin, ASW Wong, CKN Peh, V Thavasi, GW Ho","ACS applied materials & interfaces 2 (7), 1844-1850",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1272802322237156833,152,2010
"Controlled synthesis and application of ZnO nanoparticles, nanorods and nanospheres in dye-sensitized solar cells","ZLS Seow, ASW Wong, V Thavasi, R Jose, S Ramakrishna, GW Ho","Nanotechnology 20 (4), 045604",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3197222034531297080,140,2008
Three-dimensional crystalline SiC nanowire flowers,"GW Ho, ASW Wong, DJ Kang, ME Welland","Nanotechnology 15 (8), 996",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13547965102795922067,107,2004
A facile approach towards ZnO nanorods conductive textile for room temperature multifunctional sensors,"ZH Lim, ZX Chia, M Kevin, ASW Wong, GW Ho","Sensors and Actuators B: Chemical 151 (1), 121-126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18173514326467472240,106,2010
Flight energetics of sphinx moths: power input during hovering flight,TM Casey,"Journal of Experimental Biology 64 (3), 529-543","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12619416929526756848,15729865219056525756",89,1976
Cryo-EM structures of the autoinhibited E. coli ATP synthase in three rotational states,"M Sobti, C Smits, ASW Wong, R Ishmukhametov, D Stock, S Sandin, ...","Elife 5, e21598",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15440650940785576989,68,2016
F-enhanced morphological and thermal stability of NiSi films on ,"ASW Wong, DZ Chi, M Loomans, D Ma, MY Lai, WC Tjiu, SJ Chua, ...","Applied physics letters 81 (27), 5138-5140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16398374513792528921,68,2002
Photovoltaic characteristics of ,"GK Dalapati, SL Liew, ASW Wong, Y Chai, SY Chiam, DZ Chi","Applied Physics Letters 98 (1), 013507",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5415158737483237330,58,2011
Controllable porosity of monodispersed tin oxide nanospheres via an additive-free chemical route,"SY Ho, ASW Wong, GW Ho","Crystal Growth and Design 9 (2), 732-736",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=691172797816427706,58,2008
Gas sensing properties of tin oxide nanostructures synthesized via a solid-state reaction method,"ETH Tan, GW Ho, ASW Wong, S Kawi, ATS Wee","Nanotechnology 19 (25), 255706",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2912552668031561566,56,2008
Template-free synthesis and gas sensing properties of well-controlled porous tin oxide nanospheres,"SC Yeow, WL Ong, ASW Wong, GW Ho","Sensors and Actuators B: Chemical 143 (1), 295-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12364725667909737849,55,2009
Interfacial characteristics and band alignments for ,"GK Dalapati, A Sridhara, ASW Wong, CK Chia, SJ Lee, D Chi","Applied Physics Letters 91 (24), 242101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3159995666831441995,55,2007
Extracellular vesicles are rapidly purified from human plasma by PRotein Organic Solvent PRecipitation (PROSPR),"X Gallart-Palau, A Serra, ASW Wong, S Sandin, MKP Lai, CP Chen, ...","Scientific reports 5, 14664",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7705142932512185081,54,2015
Effects of AlAs interfacial layer on material and optical properties of ,"CK Chia, JR Dong, DZ Chi, A Sridhara, ASW Wong, M Suryana, ...","Applied Physics Letters 92 (14), 141905",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2122348855567805550,52,2008
"Facile solution route to vertically aligned, selective growth of ZnO nanostructure arrays","CH Wang, ASW Wong, GW Ho","Langmuir 23 (24), 11960-11963",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4410101112238521308,52,2007
"Co-existence of LiI and KI in filler-free, quasi-solid-state electrolyte for efficient and stable dye-sensitized solar cell","S Agarwala, L Thummalakunta, CA Cook, CKN Peh, ASW Wong, L Ke, ...","Journal of Power Sources 196 (3), 1651-1656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2885944046582906370,50,2011
3.9 Å structure of the nucleosome core particle determined by phase-plate cryo-EM,"EYD Chua, VK Vogirala, O Inian, ASW Wong, L Nordenskiöld, JM Plitzko, ...","Nucleic acids research 44 (17), 8013-8019",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4684586662813714630,48,2016
One step solution synthesis towards ultra-thin and uniform single-crystalline ZnO nanowires,"GW Ho, ASW Wong","Applied Physics A 86 (4), 457-462",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7914330005231985178,48,2007
Self-assembled growth of coaxial crystalline nanowires,"GW Ho, ASW Wong, ATS Wee, ME Welland","Nano Letters 4 (10), 2023-2026",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5474217295476325170,48,2004
"A novel maskless approach towards aligned, density modulated and multi-junction ZnO nanowires for enhanced surface area and light trapping solar cells","M Kevin, YH Fou, ASW Wong, GW Ho","Nanotechnology 21 (31), 315602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13141623937348259992,45,2010
Characterization of sputtered ,"GK Dalapati, A Sridhara, ASW Wong, CK Chia, SJ Lee, D Chi","Journal of Applied Physics 103 (3), 034508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13059506368783459944,41,2008
