Title,Authors,Platform,Cited_url,Cited_count,Year
Durational variability in speech and the rhythm class hypothesis,"E Grabe, EL Low",Papers in laboratory phonology 7 (515-546),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5444454391218188338,1059,2002
Q uantitative characterizations of speech rhythm: Syllable-timing in Singapore English,"LE Ling, E Grabe, F Nolan","Language and speech 43 (4), 377-401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11944631611610968454,695,2000
Why I want to teach and how I feel about teaching—formation of teacher identity from pre-service to the beginning teacher phase,"S Chong, EL Low","Educational Research for Policy and Practice 8 (1), 59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=188998995247612165,204,2009
Shrubland longevity and rare plant species in the northeastern United States,RE Latham,"Forest Ecology and Management 185 (1-2), 21-39","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14955795518161235811,10685725384995311186,5026389996333811436,7726690376828068793,17552770807852078949,11925466746325921044,15938658193833017521,2081589537040081312,5027139999008775943,15273942498305922977",174,2003
English in Singapore: an introduction,"A Brown, E Low",Asia: McGraw-Hill Education,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3907263139738255866,138,2004
Emerging Professional Teacher Identity of Pre-Service Teachers.,"S Chong, EL Low, KC Goh","Australian Journal of Teacher Education 36 (8), 50-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9175623075111471391,137,2011
Empowered educators: How high-performing systems shape teaching quality around the world,"L Darling-Hammond, D Burns, C Campbell, AL Goodwin, K Hammerness, ...",John Wiley & Sons,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18178923510001991573,122,2017
Prosodic patterns in singapore english,"EL Low, E Grabe","Proceedings of the International Congress of Phonetic Sciences, Stockholm 3 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=302583935689412364,114,1995
Prosodic prominence in singapore english,EL Low,University of Cambridge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=194541991179288899,92,1998
Developing Student Teachers' Professional Identities--An Exploratory Study.,"S Chong, LE Ling, GK Chuan","International Education Studies 4 (1), 30-38",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17472816205445099284,84,2011
