Title,Authors,Platform,Cited_url,Cited_count,Year
Text mining: The state of the art and the challenges,AH Tan,Proceedings of the PAKDD 1999 Workshop on Knowledge Disocovery from Advanced …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7518020654245105762,865,1999
A fast pruned-extreme learning machine for classification problem,"HJ Rong, YS Ong, AH Tan, Z Zhu","Neurocomputing 72 (1-3), 359-366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8920654557245472870,331,2008
Rule extraction: From neural architecture to symbolic representation,"GA Carpenter, AH Tan","Connection Science 7 (1), 3-27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14197814004506190229,181,1995
Learning and inferencing in user ontology for personalized Semantic Web search,"X Jiang, AH Tan","Information sciences 179 (16), 2794-2808",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9538919844546024468,161,2009
On quantitative evaluation of clustering systems,"J He, AH Tan, CL Tan, SY Sung","Clustering and information retrieval, 105-133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9942795752200789166,147,2004
Modelling situation awareness for Context-aware Decision Support,"YH Feng, TH Teng, AH Tan","Expert Systems with Applications 36 (1), 455-463",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12448069227515523675,117,2009
CRCTOL: A semantic‐based domain ontology learning system,"X Jiang, AH Tan",Journal of the American Society for Information Science and Technology 61 (1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10645736880293044035,115,2010
Adaptive resonance associative map,AH Tan,"Neural Networks 8 (3), 437-446",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6276099203129676118,115,1995
Integrating temporal difference methods and self-organizing neural networks for reinforcement learning with delayed evaluative feedback,"AH Tan, N Lu, D Xiao","IEEE Transactions on Neural Networks 19 (2), 230-244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5092535879460092188,113,2008
Cascade ARTMAP: Integrating neural computation and symbolic knowledge processing,AH Tan,"IEEE Transactions on Neural Networks 8 (2), 237-250",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14997204320024671484,111,1997
