Title,Authors,Platform,Cited_url,Cited_count,Year
"PI (4, 5) P2-dependent and Ca2+-regulated ER-PM interactions mediated by the extended synaptotagmins","F Giordano, Y Saheki, O Idevall-Hagren, SF Colombo, M Pirruccello, ...","Cell 153 (7), 1494-1509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=847175030539518655,315,2013
Synaptic vesicle endocytosis,"Y Saheki, P De Camilli","Cold Spring Harbor perspectives in biology 4 (9), a005645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=844576752660433290,267,2012
Cdk5-dependent regulation of glucose-stimulated insulin secretion,"FY Wei, K Nagashima, T Ohshima, Y Saheki, YF Lu, M Matsushita, ...","Nature medicine 11 (10), 1104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1261049815759027161,198,2005
Structure of a lipid-bound extended synaptotagmin indicates a role in lipid transfer,"CM Schauder, X Wu, Y Saheki, P Narayanaswamy, F Torta, MR Wenk, ...","Nature 510 (7506), 552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16955388199439470696,181,2014
Increased myeloid cell responses to M-CSF and RANKL cause bone loss and inflammation in SH3BP2 “cherubism” mice,"Y Ueki, CY Lin, M Senoo, T Ebihara, N Agata, M Onji, Y Saheki, T Kawai, ...","Cell 128 (1), 71-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10610292181154498028,144,2007
Endosome-ER contacts control actin nucleation and retromer function through VAP-dependent regulation of PI4P,"R Dong, Y Saheki, S Swarup, L Lucast, JW Harper, P De Camilli","Cell 166 (2), 408-423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8585849628960844131,131,2016
Three-dimensional architecture of extended synaptotagmin-mediated endoplasmic reticulum–plasma membrane contact sites,"R Fernández-Busnadiego, Y Saheki, P De Camilli","Proceedings of the National Academy of Sciences 112 (16), E2004-E2013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6561926659134591715,116,2015
Control of plasma membrane lipid homeostasis by the extended synaptotagmins,"Y Saheki, X Bian, CM Schauder, Y Sawaki, MA Surma, C Klose, F Pincet, ...","Nature cell biology 18 (5), 504",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12856522643659504881,109,2016
Endoplasmic reticulum–plasma membrane contact sites,"Y Saheki, P De Camilli","Annual review of biochemistry 86, 659-684",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11487572062708429943,92,2017
Presynaptic CaV2 calcium channel traffic requires CALF-1 and the α,"Y Saheki, CI Bargmann","Nature neuroscience 12 (10), 1257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5212348432797073303,75,2009
HIV‐1 inhibits long‐term potentiation and attenuates spatial learning,"ST Li, M Matsushita, A Moriwaki, Y Saheki, YF Lu, K Tomizawa, HY Wu, ...",Annals of Neurology: Official Journal of the American Neurological …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14520351385943969579,64,2004
Left-right olfactory asymmetry results from antagonistic functions of voltage-activated calcium channels and the Raw repeat protein OLRN-1 in C. elegans,"SLB Huang, Y Saheki, MK VanHoven, I Torayama, T Ishihara, I Katsura, ...","Neural development 2 (1), 24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5165499210318907714,55,2007
Ca2+ releases E‐Syt1 autoinhibition to couple ER‐plasma membrane tethering with lipid transport,"X Bian, Y Saheki, P De Camilli","The EMBO journal 37 (2), 219-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3869731943302804232,37,2018
The extended-synaptotagmins,"Y Saheki, P De Camilli","Biochimica et Biophysica Acta (BBA)-Molecular Cell Research 1864 (9), 1490-1493",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=879666340387619662,22,2017
A new approach to inhibiting astrocytic IP3-induced intracellular calcium increase in an astrocyte–neuron co-culture system,"Y Saheki, ST Li, M Matsushita, YM Wu, WH Cai, FY Wei, YF Lu, ...","Brain research 1055 (1-2), 196-201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12275230220602801668,11,2005
Endoplasmic reticulum–plasma membrane crosstalk mediated by the extended synaptotagmins,Y Saheki,"Organelle Contact Sites, 83-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11290167696582223230,3,2017
SMP domain proteins in membrane lipid dynamics,"D Jeyasimman, Y Saheki",Biochimica et Biophysica Acta (BBA)-Molecular and Cell Biology of Lipids,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4391553544355082767,1,2019
"Meeting Report From the 2019 “Organelle Zone” Symposium in Osaka, Japan","TP Levine, F Perez, Y Saheki, J von Blume","Contact 2, 2515256419877091",,0,2019
Movement of accessible plasma membrane cholesterol by the GRAMD1 lipid transfer protein complex,"T Naito, B Ercan, L Krshnan, A Triebl, DHZ Koh, FY Wei, K Tomizawa, ...",eLife 8,,0,2019
Gain-of-function mutations in the UNC-2/CaV2α channel lead to excitation-dominant synaptic transmission in Caenorhabditis elegans,"YC Huang, JK Pirri, D Rayes, S Gao, B Mulcahy, J Grant, Y Saheki, ...",eLife 8,,0,2019
Gain-of-function mutations in the UNC-2/CaV2a channel lead to excitation-dominant synaptic transmission in,"YC Huang, JK Pirri, D Rayes, S Gao, B Mulcahy, J Grant, Y Saheki, ...",,,0,0
