Title,Authors,Platform,Cited_url,Cited_count,Year
Asymmetry of stress–strain curves under tension and compression for NiTi shape memory alloys,"Y Liu, Z Xie, J Van Humbeeck, L Delaey","Acta Materialia 46 (12), 4325-4338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8515111020960573290,357,1998
3D printing of smart materials: A review on recent progresses in 4D printing,"ZX Khoo, JEM Teoh, Y Liu, CK Chua, S Yang, J An, KF Leong, WY Yeong","Virtual and Physical Prototyping 10 (3), 103-122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11385057102212040017,328,2015
Two-way shape memory effect developed by martensite deformation in NiTi,"Y Liu, Y Liu, J Van Humbeeck","Acta materialia 47 (1), 199-209",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16208030378990982970,266,1998
Effect of annealing on the transformation behavior and superelasticity of NiTi shape memory alloy,"X Huang, Y Liu","Scripta Materialia 45 (2), 153-160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12557481743297407354,209,2001
Large exchange bias after zero-field cooling from an unmagnetized state,"BM Wang, Y Liu, P Ren, B Xia, KB Ruan, JB Yi, J Ding, XG Li, L Wang","Physical review letters 106 (7), 077203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2603873467945334170,198,2011
Some aspects of the properties of NiTi shape memory alloy,"Y Liu, J Van Humbeeck, R Stalmans, L Delaey","Journal of alloys and compounds 247 (1-2), 115-121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8923724964181718498,175,1997
Effect of texture orientation on the martensite deformation of NiTi shape memory alloy sheet,"Y Liu, ZL Xie, J Van Humbeeck, L Delaey","Acta materialia 47 (2), 645-660",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6879793609226746259,161,1999
Microstructure of NiTi shape memory alloy due to tension–compression cyclic deformation,"ZL Xie, Y Liu, J Van Humbeeck","Acta Materialia 46 (6), 1989-2000",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7503171572538527091,151,1998
Luders-like deformation associated with martensite reorientation in NiTi,"Y Liu, Y Liu, J Van Humbeeck",Scripta materialia 39 (8),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6576948185500645610,119,1998
Cyclic deformation of NiTi shape memory alloys,"Y Liu, Z Xie, J Van Humbeeck","Materials Science and Engineering: A 273, 673-678",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2692647183298859951,113,1999
Some results on the detwinning process in NiTi shape memory alloys,"Y Liu, Z Xie, J Van Humbeeck, L Delaey","Scripta Materialia 41 (12), 1273-1281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8124554240791501117,101,1999
Dependence of Transformation Temperatures of NiTi‐based Shape‐Memory Alloys on the Number and Concentration of Valence Electrons,"M Zarinejad, Y Liu","Advanced Functional Materials 18 (18), 2789-2794",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1986532066134952492,93,2008
The ductility and shape-memory properties of Ni–Mn–Co–Ga high-temperature shape-memory alloys,"Y Ma, S Yang, Y Liu, X Liu","Acta Materialia 57 (11), 3232-3241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17860121411098780811,88,2009
On the deformation of the twinned domain in NiTi shape memory alloys,"Y Liu, Z Xie, JV Humbeeck, L Delaey, Y Liu","Philosophical Magazine A 80 (8), 1935-1953",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11982660371778746883,86,2000
Mechanical and thermomechanical properties of a Ti50Ni25Cu25 melt spun ribbon,Y Liu,"Materials Science and Engineering: A 354 (1-2), 286-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6075229852549304536,73,2003
Deformation of shape memory alloys associated with twinned domain re-configurations,"Y Liu, Z Xie, J Van Humbeeck, L Delaey","Materials Science and Engineering: A 273, 679-684",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6195114213535728272,72,1999
High strain rate deformation of martensitic NiTi shape memory alloy,"Y Liu, Y Li, KT Ramesh, J Van Humbeeck","Scripta Materialia 41 (1), 89-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=984060433876060500,70,1999
Twinning and detwinning of< 0 1 1> type II twin in shape memory alloy,"Y Liu, ZL Xie","Acta materialia 51 (18), 5529-5543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=402079683226166125,67,2003
TEM study of Ti 50Ni 25Cu 25 melt spun ribbons,"ZL Xie, J Van Humbeeck, Y Liu, L Delaey","Scripta materialia 37 (3), 363-371",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13553072176010802689,66,1997
Exchange bias and its training effect in the martensitic state of bulk polycrystalline ,"BM Wang, Y Liu, L Wang, SL Huang, Y Zhao, Y Yang, H Zhang","Journal of Applied Physics 104 (4), 043916",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11934741896196947849,64,2008
Detwinning process and its anisotropy in shape memory alloys,Y Liu,"Smart Materials 4234, 82-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4494560558119189432,54,2001
