Title,Authors,Platform,Cited_url,Cited_count,Year
Electrochemistry of nanostructured layered transition-metal dichalcogenides,"X Chia, AYS Eng, A Ambrosi, SM Tan, M Pumera","Chemical reviews 115 (21), 11941-11966",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12415098422337969791,419,2015
Catalytic and charge transfer properties of transition metal dichalcogenides arising from electrochemical pretreatment,"X Chia, A Ambrosi, Z Sofer, J Luxa, M Pumera","ACS nano 9 (5), 5164-5179",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6828101830060493471,126,2015
"Electrocatalysis of layered Group 5 metallic transition metal dichalcogenides (MX 2, M= V, Nb, and Ta; X= S, Se, and Te)","X Chia, A Ambrosi, P Lazar, Z Sofer, M Pumera","Journal of Materials Chemistry A 4 (37), 14241-14253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8707787593144444694,83,2016
Layered Platinum Dichalcogenides (PtS,"X Chia, A Adriano, P Lazar, Z Sofer, J Luxa, M Pumera","Advanced Functional Materials 26 (24), 4306-4318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5269184301440420012,76,2016
Characteristics and performance of two-dimensional materials for electrocatalysis,"X Chia, M Pumera","Nature Catalysis, 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15752212964120718890,63,2018
Precise Tuning of the Charge Transfer Kinetics and Catalytic Properties of MoS,"X Chia, A Ambrosi, D Sedmidubský, Z Sofer, M Pumera","Chemistry–A European Journal 20 (52), 17426-17432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=729974500883886588,55,2014
Layered SnS versus SnS,"X Chia, P Lazar, Z Sofer, J Luxa, M Pumera","The Journal of Physical Chemistry C 120 (42), 24098-24111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9224293161438550463,39,2016
Fluorographites (CF,"X Chia, A Ambrosi, M Otyepka, R Zbořil, M Pumera","Chemistry–A European Journal 20 (22), 6665-6671",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8911583174677629079,38,2014
Black phosphorus nanoparticles potentiate the anticancer effect of oxaliplatin in ovarian cancer cell line,"M Fojtů, X Chia, Z Sofer, M Masařík, M Pumera","Advanced Functional Materials 27 (36), 1701955",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13913335989234338206,30,2017
Layered transition metal dichalcogenide electrochemistry: journey across the periodic table,"X Chia, M Pumera","Chemical Society Reviews 47 (15), 5602-5613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14372622030845003786,27,2018
Enhancement of electrochemical and catalytic properties of MoS2 through ball-milling,"A Ambrosi, X Chia, Z Sofer, M Pumera","Electrochemistry Communications 54, 36-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2081316596603517759,27,2015
Unconventionally Layered CoTe,"X Chia, Z Sofer, J Luxa, M Pumera","Chemistry–A European Journal 23 (48), 11719-11726",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12304150040018096868,22,2017
Tunable Pt–MoS,"X Chia, NAA Sutrisnoh, M Pumera","ACS applied materials & interfaces 10 (10), 8702-8711",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6206358754143374644,21,2018
2H → 1T Phase Change in Direct Synthesis of WS,"SX Leong, CC Mayorga-Martinez, X Chia, J Luxa, Z Sofer, M Pumera","ACS applied materials & interfaces 9 (31), 26350-26356",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5507587864223564537,14,2017
Anti-MoS,"X Chia, A Ambrosi, Z Sofer, J Luxa, D Sedmidubský, M Pumera","ACS nano 10 (1), 112-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3916417147019583763,14,2015
Layered noble metal dichalcogenides: tailoring electrochemical and catalytic properties,"X Chia, Z Sofer, J Luxa, M Pumera","ACS applied materials & interfaces 9 (30), 25587-25599",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11394007419005700410,13,2017
"Morphological Effects and Stabilization of the Metallic 1T Phase in Layered V‐, Nb‐, and Ta‐Doped WSe","X Chia, NAA Sutrisnoh, Z Sofer, J Luxa, M Pumera","Chemistry–A European Journal 24 (13), 3199-3208",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1266871717107668383,11,2018
Inverse Opal-like Porous MoSe,"X Chia, M Pumera","ACS applied materials & interfaces 10 (5), 4937-4945",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13492942322629871402,11,2018
Nonconductive layered hexagonal boron nitride exfoliation by bipolar electrochemistry,"Y Wang, CC Mayorga-Martinez, X Chia, Z Sofer, M Pumera","Nanoscale 10 (15), 7298-7303",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9582713159452615550,10,2018
Nanorobots Constructed from Nanoclay: Using Nature to Create Self‐Propelled Autonomous Nanomachines,"T Maric, CC Mayorga‐Martinez, B Khezri, MZM Nasir, X Chia, M Pumera","Advanced Functional Materials 28 (40), 1802762",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11273524808656620528,9,2018
The Origin of MoS,"XJ Chua, SM Tan, X Chia, Z Sofer, J Luxa, M Pumera","Chemistry–A European Journal 23 (13), 3169-3177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6669877781278062520,9,2017
Graphene/group 5 transition metal dichalcogenide composites for electrochemical applications,"Y Wang, Z Sofer, J Luxa, X Chia, M Pumera","Chemistry–A European Journal 23 (43), 10430-10437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14739027316163712258,7,2017
Redox reaction of p-aminophenol at carbon nanotube electrodes is accelerated by carbonaceous impurities,"X Chia, A Ambrosi, M Pumera","Electrochemistry Communications 38, 1-3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14206403060221290805,5,2014
Bipolar Electrochemistry as a Simple Synthetic Route toward Nanoscale Transition of Mo,"Y Wang, CC Mayorga-Martinez, X Chia, Z Sofer, N Mohamad Latiff, ...","ACS Sustainable Chemistry & Engineering 7 (14), 12148-12159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13334051260746100364,1,2019
Bipolar Electrochemistry as a Simple Synthetic Route toward Nanoscale Transition of Mo₂B₅ and W₂B₅ for Enhanced Hydrogen Evolution Reaction,"Y Wang, CC Mayorga-Martinez, X Chia, Z Sofer, N Mohamad Latiff, ...",ACS sustainable chemistry & engineering,,0,2019
Exploring layered metal chalcogenides: electrochemistry and application,X Chia,,,0,2018
Nanoclay Nanomotors: Nanorobots Constructed from Nanoclay: Using Nature to Create Self‐Propelled Autonomous Nanomachines (Adv. Funct. Mater. 40/2018),"T Maric, CC Mayorga‐Martinez, B Khezri, MZM Nasir, X Chia, M Pumera","Advanced Functional Materials 28 (40), 1870291",,0,2018
Layered Tin Chalcogenide Electrochemistry: Fundamentals and Implications on Energy-Related Applications,"X Chia, P Lazar, Z Sofer, J Luxa, M Pumera","Meeting Abstracts, 833-833",,0,2018
Layered Transition Metal Dichalcogenides As Electrocatalysts for Hydrogen Evolution and Their Trends Emerging from Electrochemical Treatment,"X Chia, A Ambrosi, Z Sofer, J Luxa, M Pumera","Meeting Abstracts, 1303-1303",,0,2016
Emerging trends in electrochemistry and electrocatalysis of platinum dichalcogenides: Towards activation for charge transfer and hydrogen evolution,"X Chia, A Ambrosi, P Lazar, Z Sofer, J Luxa, M Pumera",,,0,0
