Title,Authors,Platform,Cited_url,Cited_count,Year
Scheduling and routing algorithms for AGVs: a survey,"L Qiu, WJ Hsu, SY Huang, H Wang","International Journal of Production Research 40 (3), 745-760",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3981925570962032526,370,2002
Real-time corner detection algorithm for motion estimation,"H Wang, M Brady","Image and vision computing 13 (9), 695-703",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4198690256585066105,311,1995
Analysis of gray level corner detection,"Z Zheng, H Wang, EK Teoh","Pattern Recognition Letters 20 (2), 149-162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10829166867024280763,299,1999
Ensemble based extreme learning machine,"N Liu, H Wang","IEEE Signal Processing Letters 17 (8), 754-757",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9864470528019817902,204,2010
Sparse extreme learning machine for classification,"Z Bai, GB Huang, D Wang, H Wang, MB Westover","IEEE transactions on cybernetics 44 (10), 1858-1870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13580714037887348501,171,2014
Combining singular points and orientation image information for fingerprint classification,"J Li, WY Yau, H Wang","Pattern Recognition 41 (1), 353-366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17167696208022865672,102,2008
Constrained nonlinear models of fingerprint orientations with prediction,"J Li, WY Yau, H Wang","Pattern Recognition 39 (1), 102-114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12724303320188444844,97,2006
A matching and tracking strategy for independently moving objects,"LS Shapiro, H Wang, JM Brady","BMVC92, 306-315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12389726780214100311,96,1992
Stacked extreme learning machines,"H Zhou, GB Huang, Z Lin, H Wang, YC Soh","IEEE transactions on cybernetics 45 (9), 2013-2025",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9963974582289162779,83,2014
Corner detection based on modified Hough transform,"F Shen, H Wang","Pattern Recognition Letters 23 (8), 1039-1049",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11621165414264542224,72,2002
17 O NMR chemical shifts in oxometalates: from the simplest monometallic species to mixed-metal polyoxometalates,"M Pascual-Borras, X López, A Rodríguez-Fortea, RJ Errington, JM Poblet","Chemical Science 5 (5), 2031-2042","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9670303918678823895,15180504256963805265,4527026662091166324",68,2014
A vision-based obstacle detection system for unmanned surface vehicle,"H Wang, Z Wei, S Wang, CS Ow, KT Ho, B Feng","2011 IEEE 5th International Conference on Robotics, Automation and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16115193830911437934,62,2011
Real time gray level corner detector,"F Shen, H Wang","6th International Conference on Control, Automation, Robotics and Vision",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10231625688362634128,49,2000
Vision for mobile robots,"M Brady, H Wang",Philosophical Transactions of the Royal Society of London. Series B …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17972658009345674043,49,1992
Application of BW-ELM model on traffic sign recognition,"ZL Sun, H Wang, WS Lau, G Seet, D Wang","Neurocomputing 128, 153-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1071123192156668615,48,2014
"Intermittency, aging and extremal fluctuations","P Sibani, HJ Jensen","EPL (Europhysics Letters) 69 (4), 563",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15795645975207625886,45,2005
A practical solution to corner detection,"H Wang, M Brady","Proceedings of 1st International Conference on Image Processing 1, 919-923",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18087455985406886768,45,1994
Fingerprint indexing based on symmetrical measurement,"J Li, WY Yau, H Wang","18th International Conference on Pattern Recognition (ICPR'06) 1, 1038-1041",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3199618208210088820,44,2006
Fast relative depth computation for an active stereo vision system,"WY Yau, H Wang","Real-time imaging 5 (3), 189-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13803264542271809364,43,1999
Classification by evolutionary ensembles,"X Wang, H Wang","Pattern Recognition 39 (4), 595-607",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12131140030926690326,42,2006
Markov random field modeled range image segmentation,"X Wang, H Wang","Pattern Recognition Letters 25 (3), 367-375",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14890455708222556984,41,2004
A local edge detector used for finding corners,"F Shen, H Wang",Proc. ICICS 2001,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12578418628637820083,38,2001
Corner detection for 3D vision using array processors,"H Wang, JM Brady","Proc. BARNAIMAGE-91, Barcelona. Springer-Verlag",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7651097390515317283,34,1991
Salient object detection with spatiotemporal background priors for video,"T Xi, W Zhao, H Wang, W Lin","IEEE Transactions on Image Processing 26 (7), 3425-3436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13326745463377033262,32,2016
Corner detection with subpixel accuracy,"H Wang, JM Brady",CVGIP: Image Understanding,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18257775108217353898,29,1992
Vision guided AGV using distance transform,"YT Chin, H Wang, LP Tay, H Wang, WYC Soh","Proceedings of the 32nd ISR (International Symposium on Robotics) 19, 21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4909899055613448528,27,2001
Appearance-based topological Bayesian inference for loop-closing detection in a cross-country environment,"C Chen, H Wang","The International Journal of Robotics Research 25 (10), 953-983",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4520518051236601460,26,2006
Nonlinear phase portrait modeling of fingerprint orientation,"WY Yau, J Li, H Wang","ICARCV 2004 8th Control, Automation, Robotics and Vision Conference, 2004. 2 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12465826298515873413,26,2004
Real-time 3D motion tracking with known geometric models,"Z Li, H Wang","Real-Time Imaging 5 (3), 167-187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1631969278547695437,26,1999
Adaptive neural control of a hypersonic vehicle in discrete time,"B Xu, D Wang, H Wang, S Zhu","Journal of Intelligent & Robotic Systems 73 (1-4), 219-231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14314877673966098937,25,2014
Second-order implicit polynomials for segmentation of range images,"S Kaveti, EK Teoh, H Wang","Pattern Recognition 29 (6), 937-949",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11320258934320989637,25,1996
Relaxation labeling of markov random fields,"SZ Li, H Wang, M Petrou","Proceedings of 12th International Conference on Pattern Recognition 1, 488-492",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5795363082160969240,25,1994
Orbital change manipulation metal–insulator transition temperature in W-doped VO2,"X He, Y Zeng, X Xu, C Gu, F Chen, B Wu, C Wang, H Xing, X Chen, J Chu","Physical Chemistry Chemical Physics 17 (17), 11638-11646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7639860562118332789,22,2015
2D staircase detection using real adaboost,"S Wang, H Wang","2009 7th International Conference on Information, Communications and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15072307997346147245,22,2009
Minimization of MRF energy with relaxation labeling,"SZ Li, H Wang, KL Chan, M Petrou","Journal of Mathematical Imaging and Vision 7 (2), 149-161",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1348233787670697641,22,1997
"Wet synthesis and characterization of MSe (M= Cd, Hg) nanocrystallites at room temperature","Q Yang, K Tang, C Wang, C Zhang, Y Qian","Journal of materials research 17 (5), 1147-1152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10447265414382704488,21,2002
Improvement in real-time obstacle detection system for USV,"H Wang, Z Wei, CS Ow, KT Ho, B Feng, J Huang",2012 12th International Conference on Control Automation Robotics & Vision …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8668276231956502339,20,2012
