Title,Authors,Platform,Cited_url,Cited_count,Year
"Cloud Robotics: Architecture, Challenges and Applications","G Hu, WP Tay, Y Wen","IEEE Network, 22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17945696864117853814,410,2012
Robust consensus tracking of a class of second-order multi-agent dynamic systems,G Hu,"Systems & Control Letters 61 (1), 134-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13329644974813864530,265,2012
Lyapunov-based tracking control in the presence of uncertain nonlinear parameterizable friction,"C Makkar, G Hu, WG Sawyer, WE Dixon","IEEE Transactions on Automatic Control 52 (10), 1988-1994",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8521425724066607298,220,2007
Consensus tracking for higher-order multi-agent systems with switching directed topologies and occasionally missing control inputs,"G Wen, G Hu, W Yu, J Cao, G Chen","Systems & Control Letters 62 (12), 1151-1158",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12268905438799757905,210,2013
A new continuously differentiable friction model for control systems design,"C Makkar, WE Dixon, WG Sawyer, G Hu","Proceedings, 2005 IEEE/ASME International Conference on Advanced Intelligent …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14983452615383571688,192,2005
Time-varying formation control for general linear multi-agent systems with switching directed topologies,"X Dong, G Hu","Automatica 73, 47-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9106481026216666375,174,2016
Pinning Synchronization of Directed Networks With Switching Topologies: A Multiple Lyapunov Functions Approach,"G Wen, W Yu, G Hu, J Cao, X Yu","Neural Networks and Learning Systems, IEEE Transactions on 26 (12), 3239-3250",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9024059438689090053,166,2015
Distributed energy consumption control via real-time pricing feedback in smart grid,"K Ma, G Hu, CJ Spanos","IEEE Transactions on Control Systems Technology 22 (5), 1907-1914",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11952384828375660300,133,2014
Time-varying formation tracking for linear multiagent systems with multiple leaders,"X Dong, G Hu","IEEE Transactions on Automatic Control 62 (7), 3658-3664",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4443759405494058943,132,2017
Distributed ,"G Wen, G Hu, W Yu, G Chen","IEEE Transactions on Circuits and Systems II: Express Briefs 61 (5), 359-363",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15941204053692785405,96,2014
Game design and analysis for price-based demand response: An aggregate game approach,"M Ye, G Hu","IEEE transactions on cybernetics 47 (3), 720-730",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3476768169496198435,90,2016
The adaptive distributed observer approach to the cooperative output regulation of linear multi-agent systems,"H Cai, FL Lewis, G Hu, J Huang","Automatica 75, 299-305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3946991204414929136,88,2017
Homography-based visual servo control with imperfect camera calibration,"G Hu, W MacKunis, N Gans, WE Dixon, J Chen, A Behal, D Dawson","IEEE Transactions on Automatic Control 54 (6), 1318-1324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=992738849918911432,86,2009
Robust consensus tracking for an integrator-type multi-agent system with disturbances and unmodelled dynamics,G Hu,"International journal of control 84 (1), 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2333267713275994121,81,2011
Distributed Reactive Power Sharing Control for Microgrids With Event-Triggered Communication,"Y Fan, G Hu, M Egerstedt",IEEE Transactions on Control Systems Technology,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15695185455407310361,3540059040130078340",74,2016
Distributed consensus tracking for multi‐agent systems under two types of attacks,"Z Feng, G Hu, G Wen","International Journal of Robust and Nonlinear Control 26 (5), 896-918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8550196622423705394,74,2016
Frequency regulation of source-grid-load systems: A compound control strategy,"G Wen, G Hu, J Hu, X Shi, G Chen","IEEE transactions on industrial informatics 12 (1), 69-78",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5282732781162868642,69,2015
A Cooperative Demand Response Scheme Using Punishment Mechanism and Application to Industrial Refrigerated Warehouses,"K Ma, G Hu, C Spanos","Industrial Informatics, IEEE Transactions on 11 (6), 1520-1531",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12532799919992264902,64,2015
Adaptive vision-based leader–follower formation control of mobile robots,"H Wang, D Guo, X Liang, W Chen, G Hu, KK Leang","IEEE Transactions on Industrial Electronics 64 (4), 2893-2902",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8340712730305059923,63,2016
Distributed extremum seeking for constrained networked optimization and its application to energy consumption control in smart grid,"M Ye, G Hu","IEEE Transactions on Control Systems Technology 24 (6), 2048-2058",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5841390193590126746,61,2016
Distributed Nash equilibrium seeking by a consensus based approach,"M Ye, G Hu","IEEE Transactions on Automatic Control 62 (9), 4811-4818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13539642434854023935,59,2017
Distributed Secure Coordinated Control for Multiagent Systems Under Strategic Attacks,"Z Feng, G Wen, G Hu","Cybernetics, IEEE Transactions on",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7750252841917048482,57,2016
Adaptive Lyapunov-based control of a robot and mass–spring system undergoing an impact collision,"K Dupree, CH Liang, G Hu, WE Dixon","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 38 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14850572752406623950,57,2008
Energy-based nonlinear control of underactuated Euler–Lagrange systems subject to impacts,"G Hu, C Makkar, WE Dixon","IEEE Transactions on Automatic Control 52 (9), 1742-1748",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6249332844094730010,53,2007
A Distributed Feedforward Approach to Cooperative Control of AC Microgrids,"H Cai, G Hu, FL Lewis, A Davoudi","IEEE Transactions on Power Systems 31 (5), 4057-4067",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18191375849258944851,52,2016
Distributed Robust Fusion Estimation with Application to State Monitoring Systems,"B Chen, G Hu, DWC Ho, WA Zhang, L Yu","IEEE Transactions on Systems, Man, and Cybernetics: Systems",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5630791849661282563,50,2016
Adaptive homography-based visual servo tracking control via a quaternion formulation,"G Hu, N Gans, N Fitz-Coy, W Dixon","IEEE Transactions on Control Systems Technology 18 (1), 128-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9587629077774544241,48,2009
Networked fusion Kalman filtering with multiple uncertainties,"B Chen, W Zhang, G Hu, L Yu","IEEE Transactions on Aerospace and Electronic Systems 51 (3), 2232-2249",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13330287471122070074,47,2015
A Data-driven Strategy for Detection and Diagnosis of Building Chiller Faults Using Linear Discriminant Analysis,"D Li, G Hu, CJ Spanos","Energy and Buildings 128, 519-529",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7059110930056478043,46,2016
Robust connectivity preserving rendezvous of multirobot systems under unknown dynamics and disturbances,"Z Feng, C Sun, G Hu","IEEE transactions on control of network systems 4 (4), 725-735",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3670927184006500528,46,2016
Lyapunov-based range and motion identification for a nonaffine perspective dynamic system,"S Gupta, D Aiken, G Hu, WE Dixon","American Control Conference, 2006, 4471-4476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6642329202520325623,44,2006
Distributed Covariance Intersection Fusion Estimation for Cyber-Physical Systems with Communication Constraints,"B Chen, G Hu, DWC Ho, L Yu","Automatic Control, IEEE Transactions on",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3543137442017697178,42,2016
Keeping multiple moving targets in the field of view of a mobile camera,"NR Gans, G Hu, K Nagarajan, WE Dixon","IEEE Transactions on Robotics 27 (4), 822-828",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8586258606532559230,42,2011
Secure fusion estimation for bandwidth constrained cyber-physical systems under replay attacks,"B Chen, DWC Ho, G Hu, L Yu","IEEE transactions on cybernetics 48 (6), 1862-1876",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12907731451098634583,41,2017
Lyapunov-based range identification for paracatadioptric systems,"G Hu, D Aiken, S Gupta, WE Dixon","IEEE Transactions on Automatic Control 53 (7), 1775-1781",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3258076616183600212,38,2008
Distributed Fusion Estimation with Communication Bandwidth Constraints,"B Chen, WA Zhang, L Yu, G Hu, H Song","Automatic Control, IEEE Transactions on 60 (5), 1398-1403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5758734346106367037,37,2015
Distributed Coordination of Multiple Unknown Euler-Lagrange Systems,"Z Feng, G Hu, W Ren, WE Dixon, J Mei","Control of Network Systems, IEEE Transactions on",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5170015290496123052,36,2016
Model-Free Unified Tracking and Regulation Visual Servoing of Wheeled Mobile Robots,"B Li, Y Fang, G Hu, X Zhang","Control Systems Technology, IEEE Transactions on 24 (4), 1328 - 1339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15225125373158008679,34,2016
Quaternion‐based visual servo control in the presence of camera calibration error,"G Hu, N Gans, W Dixon",International Journal of Robust and Nonlinear Control: IFAC‐Affiliated …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10620255560550102195,34,2010
