Title,Authors,Platform,Cited_url,Cited_count,Year
Highly efficient and noble metal-free NiS/CdS photocatalysts for H 2 evolution from lactic acid sacrificial solution under visible light,"W Zhang, Y Wang, Z Wang, Z Zhong, R Xu","Chemical Communications 46 (40), 7631-7633",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14688878793845067100,363,2010
Formation of 1D hierarchical structures composed of Ni3S2 nanosheets on CNTs backbone for supercapacitors and photocatalytic H2 production,"T Zhu, HB Wu, Y Wang, R Xu, XWD Lou","Advanced Energy Materials 2 (12), 1497-1502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3358183882721849498,262,2012
Noble‐Metal‐Free NiS/C3N4 for Efficient Photocatalytic Hydrogen Evolution from Water,"J Hong, Y Wang, Y Wang, W Zhang, R Xu","ChemSusChem 6 (12), 2263-2268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7549579510209096581,229,2013
Post-synthesis modification of a metal–organic framework to construct a bifunctional photocatalyst for hydrogen production,"T Zhou, Y Du, A Borgna, J Hong, Y Wang, J Han, W Zhang, R Xu","Energy & Environmental Science 6 (11), 3229-3234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3894594105229280487,223,2013
Carbon nitride nanosheets for photocatalytic hydrogen evolution: remarkably enhanced activity by dye sensitization,"Y Wang, J Hong, W Zhang, R Xu","Catalysis Science & Technology 3 (7), 1703-1711",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5228413860685215486,173,2013
Photochemical Deposition of Pt on CdS for H2 Evolution from Water: Markedly Enhanced Activity by Controlling Pt Reduction Environment,"Y Wang, Y Wang, R Xu","The Journal of Physical Chemistry C 117 (2), 783-790",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4590490798815691486,148,2013
Zeolite beta-filled chitosan membrane with low methanol permeability for direct methanol fuel cell,"Y Wang, D Yang, X Zheng, Z Jiang, J Li","Journal of Power Sources 183 (2), 454-463",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18297807328310851791,91,2008
Synthesis of anatase titania-carbon nanotubes nanocomposites with enhanced photocatalytic activity through a nanocoating-hydrothermal process,"Q Wang, D Yang, D Chen, Y Wang, Z Jiang","Journal of Nanoparticle Research 9 (6), 1087-1096",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14365246753274811932,82,2007
Immobilizing CdS quantum dots and dendritic Pt nanocrystals on thiolated graphene nanosheets toward highly efficient photocatalytic H 2 evolution,"Z Fang, Y Wang, J Song, Y Sun, J Zhou, R Xu, H Duan","Nanoscale 5 (20), 9830-9838",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=601753003126014984,78,2013
Proton conducting CS/P (AA-AMPS) membrane with reduced methanol permeability for DMFCs,"Z Jiang, X Zheng, H Wu, J Wang, Y Wang","Journal of Power Sources 180 (1), 143-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13583234137679626823,77,2008
Highly active Zn x Cd 1− x S photocatalysts containing earth abundant elements only for H 2 production from water under visible light,"Y Wang, J Wu, J Zheng, R Xu","Catalysis Science & Technology 1 (6), 940-947",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3300000339218642383,61,2011
Cobalt Phosphate–ZnO Composite Photocatalysts for Oxygen Evolution from Photocatalytic Water Oxidation,"Y Wang, Y Wang, R Jiang, R Xu","Industrial & Engineering Chemistry Research 51 (30), 9945-9951",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14983277523946110023,59,2012
Ni 2+-doped Zn x Cd 1− x S photocatalysts from single-source precursors for efficient solar hydrogen production under visible light irradiation,"Y Wang, J Wu, J Zheng, R Jiang, R Xu","Catalysis Science & Technology 2 (3), 581-588",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12223594839589191700,53,2012
Photocatalytic properties of porous C-doped TiO2 and Ag/C-doped TiO2 nanomaterials by eggshell membrane templating,"Q Wang, Z Jiang, Y Wang, D Chen, D Yang","Journal of Nanoparticle Research 11 (2), 375-384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6476027233412216759,43,2009
Chitosan membranes filled by GPTMS-modified zeolite beta particles with low methanol permeability for DMFC,"Y Wang, Z Jiang, H Li, D Yang","Chemical Engineering and Processing: Process Intensification 49 (3), 278-285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5356147980413616519,40,2010
Carbon-modified TiO 2 nanotubes with enhanced photocatalytic activity synthesized by a facile wet chemistry method,"J Geng, Z Jiang, Y Wang, D Yang","Scripta Materialia 59 (3), 352-355",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2479930671726553301,37,2008
Self-assembled dye–layered double hydroxide–Pt nanoparticles: a novel H 2 evolution system with remarkably enhanced stability,"J Hong, Y Wang, J Pan, Z Zhong, R Xu","Nanoscale 3 (11), 4655-4661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2231428204758267851,34,2011
Formation of Sn@ C Yolk–Shell Nanospheres and Core–Sheath Nanowires for Highly Reversible Lithium Storage,"W Ni, Y Wang, R Xu","Particle & Particle Systems Characterization 30 (10), 873-880",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2073798945414660091,32,2013
Low-Cost Carbon Nanospheres for Efficient Removal of Organic Dyes from Aqueous Solutions,"X Song, Y Wang, K Wang, R Xu","Industrial & Engineering Chemistry Research 51 (41), 13438-13444",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11983458302394828263,32,2012
Synthesis of Zn–Cu–Cd sulfide nanospheres with controlled copper locations and their effects on photocatalytic activities for H 2 production,"Y Wang, Y Wang, R Xu","international journal of hydrogen energy 35 (11), 5245-5253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1209903556837858160,26,2010
Surface modification of pollen-shape carriers for dry powder inhalation through surface etching,"TQN Nguyen, HL Giam, Y Wang, A Pacławski, J Szlęk, A Mendyk, ...","Industrial & Engineering Chemistry Research 53 (51), 19943-19950",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18121897163144888840,4,2014
Carbon Nanospheres—A Dark Support for Effective Loading of Pt Catalyst and Protection of Dye Sensitizer in Photocatalytic Hydrogen Evolution,"CKS Goh, Y Wang, J Hong, R Xu","Science of Advanced Materials 5 (11), 1658-1666",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5875288543407555293,4,2013
