Title,Authors,Platform,Cited_url,Cited_count,Year
Reversible watermarking scheme for medical image based on differential evolution,"B Lei, EL Tan, S Chen, D Ni, T Wang, H Lei","Expert Systems with Applications 41 (7), 3178-3188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17706384079925005006,92,2014
Robust SVD-Based Audio Watermarking Scheme With DifferentialEvolution Optimization,"B Lei, I Soon, EL Tan","IEEE Transactions on Audio, Speech, and Language Processing 21 (11), 2368 - 2378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13415933988018380503,85,2013
Accurate cervical cell segmentation from overlapping clumps in pap smear images,"Y Song, EL Tan, X Jiang, JZ Cheng, D Ni, S Chen, B Lei, T Wang","IEEE transactions on medical imaging 36 (1), 288-300",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11429735800759847997,75,2016
Audio projection,"WS Gan, EL Tan, SM Kuo","IEEE Signal Processing Magazine 28 (1), 43-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13508800248260844117,72,2010
Natural sound rendering for headphones: integration of signal processing techniques,"HE Jianjun, EL Tan, WS Gan","IEEE Signal Processing Magazine 32 (2), 100-113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3003614689867801457,55,2015
Linear Estimation Based Primary-Ambient Extraction for Stereo Audio Signals,"J He, EL Tan, W Gan","IEEE/ACM Transaction on Audio, Speech and Language Processing 22 (2), 505-517",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11517417796952007609,36,2014
System and method for processing an input signal to produce 3d audio effects,"EL Tan, WS Gan","US Patent App. 13/516,898","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10132134053249114629,14522094611780963479",27,2012
On preprocessing techniques for bandlimited parametric loudspeakers,"EL Tan, P Ji, WS Gan","Applied Acoustics 71 (5), 486-492",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=770076217917246543,27,2010
Individualization of binaural synthesis using frontal projection headphones,"K Sunder, EL Tan, WS Gan","Journal of the Audio Engineering Society 61 (12), 989-1000",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11550553416363871821,26,2013
A study on the frequency-domain primary-ambient extraction for stereo audio signals,"J He, WS Gan, EL Tan","2014 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13457855222327621966,25,2014
Saliency-driven image classification method based on histogram mining and image score,"B Lei, EL Tan, S Chen, D Ni, T Wang","Pattern Recognition 48 (8), 2567-2580",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2150142497574296688,24,2015
Optimal and secure audio watermarking scheme based on self-adaptive particle swarm optimization and quaternion wavelet transform,"B Lei, F Zhou, EL Tan, D Ni, H Lei, S Chen, T Wang","Signal Processing 113, 80-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13569228386588229975,24,2015
On the preprocessing and postprocessing of HRTF individualization based on sparse representation of anthropometric features,"J He, WS Gan, EL Tan","2015 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13775421168720406517,23,2015
Distortion analysis and reduction for the parametric array,"EL Tan, WS Gan, PF Ji, J Yang",Audio Engineering Society Convention 124 1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6970058225187158573,23,2008
A deep convolutional neural network-based framework for automatic fetal facial standard plane recognition,"Z Yu, EL Tan, D Ni, J Qin, S Chen, S Li, B Lei, T Wang","IEEE journal of biomedical and health informatics 22 (3), 874-885",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11279740716237689260,21,2017
A psychoacoustic bass enhancement system with improved transient and steady-state performance,"H Mu, WS Gan, EL Tan","2012 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5612472114165333442,20,2012
A comparative analysis of preprocessing methods for the parametric loudspeaker based on the Khokhlov–Zabolotskaya–Kuznetsov equation for speech reproduction,"P Ji, EL Tan, WS Gan, J Yang","IEEE Transactions on audio, speech, and language processing 19 (4), 937-946",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8010814391005398176,20,2010
Reproduction of immersive sound using directional and conventional loudspeakers,"EL Tan, WS Gan","The Journal of the Acoustical Society of America 131 (4), 3215-3215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9555777122412302775,19,2012
Joint detection and clinical score prediction in Parkinson's disease via multi-modal sparse learning,"H Lei, Z Huang, J Zhang, Z Yang, EL Tan, F Zhou, B Lei","Expert Systems with Applications 80, 284-296",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15510759407155923014,18,2017
Automatic recognition of fetal facial standard plane in ultrasound image via fisher vector,"B Lei, EL Tan, S Chen, L Zhuo, S Li, D Ni, T Wang","PloS one 10 (5), e0121838",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8223147634572821151,18,2015
Time-shifted principal component analysis based cue extraction for stereo audio signals,"J He, EL Tan, WS Gan","International Conference on Acoustics, Speech, and Signal Processing",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15044597789141945789,18,2013
A color channel fusion approach for face recognition,"Z Lu, X Jiang, AC Kot","IEEE Signal Processing Letters 22 (11), 1839-1843","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18290855302717258591,1713295709054794414",17,2015
Spatial sound reproduction using conventional and parametric loudspeakers,"EL Tan, WS Gan, CH Chen",Proceedings of The 2012 Asia Pacific Signal and Information Processing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8855543523229691283,14,2012
Directional sound system,"EL Tan, WS Gan","US Patent 8,891,783",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6059005368447474997,13,2014
