Title,Authors,Platform,Cited_url,Cited_count,Year
Dual native chemical ligation at lysine,"R Yang, KK Pasunooti, F Li, XW Liu, CF Liu","Journal of the American Chemical Society 131 (38), 13592-13593",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13983547939673173916,236,2009
Metabolic regulation of protein N-alpha-acetylation by Bcl-xL promotes cell survival,"HY Caroline, H Pan, J Seebacher, IH Jang, SG Hyberts, GJ Heffron, ...","Cell 146 (4), 607-620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2570920784276502316,179,2011
Development of transgenic ,"L Zhang, F Jing, F Li, M Li, Y Wang, G Wang, X Sun, K Tang","Biotechnology and Applied Biochemistry 52 (3), 199-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=25218442882406704,158,2009
Peptidyl ,"W Hou, X Zhang, F Li, CF Liu","Organic letters 13 (3), 386-389",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10163754608174757743,115,2010
A Direct Method for Site‐Specific Protein Acetylation,"F Li, A Allahverdi, R Yang, GBJ Lua, X Zhang, Y Cao, N Korolev, ...","Angewandte Chemie International Edition 50 (41), 9611-9614",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3273048370189854299,91,2011
Protein C-terminal modification through thioacid/azide amidation,"X Zhang, F Li, XW Lu, CF Liu","Bioconjugate chemistry 20 (2), 197-200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15659518020637643024,64,2009
Native chemical ubiquitination using a genetically incorporated azidonorleucine,"R Yang, X Bi, F Li, Y Cao, CF Liu","Chemical Communications 50 (59), 7971-7974",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6620038875568348928,36,2014
Overexpression ofGbERF confers alteration of ethylene-responsive gene expression and enhanced resistance toPseudomonas syringae in transgenic tobacco,"J Qin, K Zuo, J Zhao, H Ling, Y Cao, C Qiu, F Li, X Sun, K Tang","Journal of biosciences 31 (2), 255-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14172065909876223061,30,2006
Synthesis of histone H3 proteins by a thioacid capture ligation strategy,"X Zhang, F Li, CF Liu","Chemical Communications 47 (6), 1746-1748",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4354511529875453476,14,2011
Cloning and characterization of a salt-tolerance related gene from Glycine max,"L Fupeng, Z Ling, W Guofeng",Molecular Plant Breeding,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7580907974140096190,7,2006
Transformation of Bar Gene to Tetraploid of Isatis indigotica,"X Tiefeng, T Kexuan, Z Hanming, G Meili, Z Lei, L Fupeng",Journal of Chinese Medicinal Materials 5,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9808258719282005052,1,2003
Protein synthesis by chemical and enzymatic ligation,"X Zhang, XH Tan, R Yang, F Li, CF Liu",第十届中国国际多肽学术大会 (10th Chinese International Peptide Symposium …,,0,2008
