Title,Authors,Platform,Cited_url,Cited_count,Year
Measuring corporate social performance: An efficiency perspective,"CM Chen, M Delmas","Production and Operations Management 20 (6), 789-804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3782928107420176581,232,2011
A network-DEA model with new efficiency measures to incorporate the dynamic effect in production networks,CM Chen,"European Journal of Operational Research 194 (3), 687-699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14835105035939010133,164,2009
Production frontier methodologies and efficiency as a performance measure in strategic management research,"CM Chen, MA Delmas, MB Lieberman","Strategic Management Journal 36 (1), 19-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17935145339566425370,115,2015
Measuring eco-inefficiency: a new frontier approach,"CM Chen, MA Delmas","Operations Research 60 (5), 1064-1079",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16140411620224169520,98,2012
Measuring dynamic efficiency: Theories and an integrated methodology,"CM Chen, J van Dalen","European Journal of Operational Research 203 (3), 749-760",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5617916299261504851,89,2010
A flexible evaluative framework for order picking systems,"CM Chen, Y Gong, R De Koster, JAEE Van Nunen","Production and Operations Management 19 (1), 70-82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12729329554800730990,60,2010
Pitfalls of decomposition weights in the additive multi-stage DEA model,"S Ang, CM Chen","Omega 58, 139-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9838818635112258222,39,2016
Evaluating eco-efficiency with data envelopment analysis: an analytical reexamination,CM Chen,"Annals of Operations Research 214 (1), 49-71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14819163030614531718,36,2014
Undesirable Factors in Integer-valued DEA: Evaluating the operational efficiencies of city bus systems considering safety records,"CM Chen, J Du, J Huo, J Zhu","Decision Support Systems 54 (1), 330-335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2875361460152538444,36,2012
A fuzzy-based decision-support model for rebuy procurement,CM Chen,"International Journal of Production Economics 122 (2), 714-724",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7864647197407887637,34,2009
Efficient Resource Allocation via Efficiency Bootstraps: An Application to R&D Project Budgeting,"CM Chen, J Zhu","Operations Research 59 (3), 729-741",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10068164659399508656,30,2011
A critique of non-parametric efficiency analysis in energy economics studies,CM Chen,"Energy Economics 38, 146–152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2658613319048197982,29,2013
Additive Super-efficiency in Integer-valued Data Envelopment Analysis,"J Du, CM Chen, Y Chen, WD Cook, J Zhu","European Journal of Operational Research 218 (1), 186–192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2892915142772330310,29,2011
Super efficiencies or super inefficiencies? Insights from a joint computation model for slacks-based measures in DEA,CM Chen,"European Journal of Operational Research 226 (2), 258-267",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6738175301308321697,21,2013
"Supply chain strategies and carbon intensity: The roles of process leanness, diversification strategy, and outsourcing",CM Chen,"Journal of Business Ethics 143 (3), 603-620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13495185739718307432,12,2017
Do Perceived Operational Impacts Affect the Portfolio of Carbon‐Abatement,"CM Chen, MJ Montes-Sancho","Corporate Social Responsibility and Environmental Management 24 (3), 235–248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11519590172650356357,5,2017
Who pays you to be green? How customers' environmental practices affect the sales benefits of suppliers' environmental practices,"CM Chen, H Ho",Journal of Operations Management,,0,2019
