Title,Authors,Platform,Cited_url,Cited_count,Year
Review of Monte Carlo modeling of light transport in tissues,"C Zhu, Q Liu","Journal of biomedical optics 18 (5), 050902-050902",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12913474093405415888,225,2013
Comparison of principal component analysis and biochemical component analysis in Raman spectroscopy for the discrimination of apoptosis and necrosis in K562 leukemia cells,"YH Ong, M Lim, Q Liu","Optics express 20 (20), 22158-22171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9861901262471111159,113,2012
Experimental validation of Monte Carlo modeling of fluorescence in tissues in the UV-visible spectrum,"Q Liu, C Zhu, N Ramanujam","Journal of biomedical optics 8 (2), 223-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12571191721160229163,113,2003
Effect of fiber optic probe geometry on depth-resolved fluorescence measurements from epithelial tissues: a Monte Carlo simulation,"C Zhu, Q Liu, N Ramanujam","Journal of biomedical optics 8 (2), 237-247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12121099827749242602,107,2003
Sequential estimation of optical properties of a two-layered epithelial tissue model from depth-resolved ultraviolet-visible diffuse reflectance spectra,"Q Liu, N Ramanujam","Applied optics 45 (19), 4776-4790",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3103806204635750992,96,2006
Scaling method for fast Monte Carlo simulation of diffuse reflectance spectra from multilayered turbid media,"Q Liu, N Ramanujam","JOSA A 24 (4), 1011-1025",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5321700030895427016,90,2007
Investigation of fiber‐optic probe designs for optical spectroscopic diagnosis of epithelial pre‐cancers,"MC Skala, GM Palmer, C Zhu, Q Liu, KM Vrotsos, CL Marshek‐Stone, ...","Lasers in surgery and medicine 34 (1), 25-38",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6200993160920065919,90,2004
Relationship between depth of a target in a turbid medium and fluorescence measured by a variable-aperture method,"L Quan, N Ramanujam","Optics letters 27 (2), 104-106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2195440545674449953,81,2002
Depth-resolved fluorescence instrument,"Q Liu, N Ramanujam, C Zhu","US Patent 6,825,928",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3829764733564155125,69,2004
Review of fluorescence suppression techniques in Raman spectroscopy,"D Wei, S Chen, Q Liu","Applied Spectroscopy Reviews 50 (5), 387-406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12363957471236235416,64,2015
Magnetic field enriched surface enhanced resonance Raman spectroscopy for early malaria diagnosis,"C Yuen, Q Liu","Journal of Biomedical Optics 17 (1), 0170051-0170057",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16621180798847812034,58,2012
Compact point-detection fluorescence spectroscopy system for quantifying intrinsic fluorescence redox ratio in brain cancer diagnostics,"Q Liu, G Grant, J Li, Y Zhang, F Hu, S Li, C Wilson, K Chen, D Bigner, ...","Journal of Biomedical Optics 16 (3), 037004-037004-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6085120906149621082,57,2011
Experimental proof of the feasibility of using an angled fiber-optic probe for depth-sensitive fluorescence spectroscopy of turbid media,"Q Liu, N Ramanujam","Optics Letters 29 (17), 2034-2036",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5349024358562932425,56,2004
Role of optical spectroscopy using endogenous contrasts in clinical cancer diagnosis,Q Liu,"World J Clin Oncol 2 (1), 50-63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8435677283149658554,46,2011
Modified Wiener estimation of diffuse reflectance spectra from RGB values by the synthesis of new colors for tissue measurements,"S Chen, Q Liu","Journal of Biomedical Optics 17 (3), 0305011-0305013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13894698424143455380,44,2012
Recovery of Raman spectra with low signal-to-noise ratio using Wiener estimation,"S Chen, X Lin, C Yuen, S Padmanabhan, RW Beuerman, Q Liu","Optics Express 22 (10), 12102-12114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10059750257177399345,42,2014
Roles of linear and circular polarization properties and effect of wavelength choice on differentiation between ex vivo normal and cancerous gastric samples,"W Wang, LG Lim, S Srivastava, JSB Yan, A Shabbir, Q Liu","Journal of biomedical optics 19 (4), 046020-046020",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13570700492218556405,36,2014
