Title,Authors,Platform,Cited_url,Cited_count,Year
Hot Electron of Au Nanorods Activates the Electrocatalysis of Hydrogen Evolution on MoS,"Y Shi, J Wang, C Wang, TT Zhai, WJ Bao, JJ Xu, XH Xia, HY Chen","Journal of the American Chemical Society 137 (23), 7365-7370",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5713234333512530118,288,2015
Synthesis of nitrogen doped graphene with high electrocatalytic activity toward oxygen reduction reaction,"B Zheng, J Wang, FB Wang, XH Xia","Electrochemistry Communications 28, 24-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16303041828263651275,192,2013
Bioinspired copper catalyst effective for both reduction and evolution of oxygen,"J Wang, K Wang, FB Wang, XH Xia","Nature communications 5, 5285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8956484563059717296,117,2014
In situ formation of molecular Ni-Fe active sites on heteroatom-doped graphene as a heterogeneous electrocatalyst toward oxygen evolution,"J Wang, L Gan, W Zhang, Y Peng, H Yu, Q Yan, X Xia, X Wang","Science advances 4 (3), eaap7970",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9280834831271825932,67,2018
Immobilization and catalytic activity of horseradish peroxidase on molybdenum disulfide nanosheets modified electrode,"GX Wang, WJ Bao, J Wang, QQ Lu, XH Xia","Electrochemistry Communications 35, 146-148",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7851343155461914289,57,2013
Heterogeneous electrocatalyst with molecular cobalt ions serving as the center of active sites,"J Wang, X Ge, Z Liu, L Thia, Y Yan, W Xiao, X Wang","Journal of the American Chemical Society 139 (5), 1878-1884",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3320985539370251956,51,2017
Synthesis of a hydrophilic poly-L-lysine/graphene hybrid through multiple non-covalent interactions for biosensors,"J Wang, Y Zhao, FX Ma, K Wang, FB Wang, XH Xia","Journal of Materials Chemistry B 1 (10), 1406-1413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13410522774114218741,49,2013
Recent Methods for the Synthesis of Noble‐Metal‐Free Hydrogen‐Evolution Electrocatalysts: From Nanoscale to Sub‐nanoscale,"J Wang, H Zhang, X Wang","Small Methods 1 (6), 1700118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7372794205276622684,48,2017
Hollow core–shell structured Ni–Sn@ C nanoparticles: a novel electrocatalyst for the hydrogen evolution reaction,"L Lang, Y Shi, J Wang, FB Wang, XH Xia","ACS applied materials & interfaces 7 (17), 9098-9102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9122767836179080727,44,2015
The room temperature electrochemical synthesis of N-doped graphene and its electrocatalytic activity for oxygen reduction,"FX Ma, J Wang, FB Wang, XH Xia","Chemical Communications 51 (7), 1198-1201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7817574030875776278,43,2015
Low-loading cobalt coupled with nitrogen-doped porous graphene as excellent electrocatalyst for oxygen reduction reaction,"B Zheng, J Wang, FB Wang, XH Xia","Journal of Materials Chemistry A 2 (24), 9079-9084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12505121774957976976,43,2014
Greatly improved catalytic activity and direct electron transfer rate of cytochrome C due to the confinement effect in a layered self-assembly structure,"BY Hua, J Wang, K Wang, X Li, XJ Zhu, XH Xia","Chemical Communications 48 (17), 2316-2318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15836390820764303374,40,2012
Hybrids of gold nanoparticles highly dispersed on graphene for the oxygen reduction reaction,"FB Wang, J Wang, L Shao, Y Zhao, XH Xia","Electrochemistry Communications 38, 82-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10307744139808929071,37,2014
Ice crystals growth driving assembly of porous nitrogen-doped graphene for catalyzing oxygen reduction probed by ,"J Wang, HS Wang, K Wang, FB Wang, XH Xia","Scientific reports 4, 6723",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6471148609663776106,26,2014
A green approach to the synthesis of novel “Desert rose stone”-like nanobiocatalytic system with excellent enzyme activity and stability,"M Wang, WJ Bao, J Wang, K Wang, JJ Xu, HY Chen, XH Xia","Scientific reports 4, 6606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9687435435637407130,26,2014
3D ordered porous Mo x C (x= 1 or 2) for advanced hydrogen evolution and Li storage,"H Yu, H Fan, J Wang, Y Zheng, Z Dai, Y Lu, J Kong, X Wang, YJ Kim, ...","Nanoscale 9 (21), 7260-7267",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15767694411639003252,24,2017
Ultrasensitive protein concentration detection on a micro/nanofluidic enrichment chip using fluorescence quenching,"C Wang, Y Shi, J Wang, J Pang, XH Xia","ACS applied materials & interfaces 7 (12), 6835-6841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11072677297851004647,17,2015
Highly efficient oxygen reduction electrocatalyst derived from a new three-dimensional polyporphyrin,"SB Ren, J Wang, XH Xia","ACS applied materials & interfaces 8 (39), 25875-25880",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3743173745203432690,16,2016
A rapid and sensitive method for hydroxyl radical detection on a microfluidic chip using an N-doped porous carbon nanofiber modified pencil graphite electrode,"J Ouyang, ZQ Li, J Zhang, C Wang, J Wang, XH Xia, GJ Zhou","Analyst 139 (13), 3416-3422",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14443913511791802294,16,2014
Exploration of the copper active sites in electrooxidation of glucose on a copper/nitrogen doped graphene nanocomposite,"J Wang, TT Wang, FB Wang, DY Zhang, K Wang, XH Xia","The Journal of Physical Chemistry C 120 (29), 15593-15599",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8278450711055521774,15,2015
A Water‐Soluble Cu Complex as Molecular Catalyst for Electrocatalytic CO,"J Wang, L Gan, Q Zhang, V Reddu, Y Peng, Z Liu, X Xia, C Wang, X Wang","Advanced Energy Materials 9 (3), 1803151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6275965348711078113,8,2019
A simple way to fine tune the redox potentials of cobalt ions encapsulated in nitrogen doped graphene molecular catalysts for the oxygen evolution reaction,"J Wang, WF Lin, Y Shi, HS Wang, LQ Rong, XH Xia","Chemical Communications 52 (91), 13409-13412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2538141760313122752,8,2016
Linkage effect in the heterogenization of cobalt complexes by doped graphene for electrocatalytic CO2 reduction,"X Wang, J Wang, X Huang, S Xi, JM Lee, C Wang, Y Du",Angewandte Chemie International Edition,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13303016222548729836,2,2019
