Title,Authors,Platform,Cited_url,Cited_count,Year
High intensity focused ultrasound in clinical tumor ablation,YF Zhou,"World journal of clinical oncology 2 (1), 8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8675446745487234477,381,2011
Dynamics of bubble oscillation in constrained media and mechanisms of vessel rupture in SWL,"P Zhong, Y Zhou, S Zhu","Ultrasound in medicine & biology 27 (1), 119-134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9343137420035463975,239,2001
The effect of treatment strategy on stone comminution efficiency in shock wave lithotripsy,"Y Zhou, FH Cocks, GM Preminger, P Zhong","The Journal of urology 172 (1), 349-354",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2131873335984015973,95,2004
Measurement of high intensity focused ultrasound fields by a fiber optic probe hydrophone,"Y Zhou, L Zhai, R Simmons, P Zhong","The Journal of the Acoustical Society of America 120 (2), 676-685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11429672871496518662,92,2006
Innovations in shock wave lithotripsy technology: updates in experimental studies,"Y Zhou, FH Cocks, GM Preminger, P Zhong","The Journal of urology 172 (5), 1892-1898",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3113466227876552819,81,2004
Progressive increase of lithotripter output produces better in-vivo stone comminution,"ME Maloney, CG Marguet, Y Zhou, DE Kang, JC Sung, WP Springhart, ...","Journal of endourology 20 (9), 603-606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13849436951592476107,65,2006
Suppression of large intraluminal bubble expansion in shock wave lithotripsy without compromising stone comminution: Methodology and in vitro experiments,"P Zhong, Y Zhou","The Journal of the Acoustical Society of America 110 (6), 3283-3291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16444288373620353037,62,2001
Preclinical in vivo evaluation of an extracorporeal HIFU device for ablation of pancreatic tumors,"JH Hwang, YN Wang, C Warren, MP Upton, F Starr, Y Zhou, SB Mitchell","Ultrasound in medicine & biology 35 (6), 967-975",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15483891083304058574,57,2009
Suppression of large intraluminal bubble expansion in shock wave lithotripsy without compromising stone comminution: Refinement of reflector geometry,"Y Zhou, P Zhong","The Journal of the Acoustical Society of America 113 (1), 586-597",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14566719449520666858,45,2003
Targeted venous occlusion using pulsed high-intensity focused ultrasound,"JH Hwang, Y Zhou, C Warren, AA Brayman, LA Crum","IEEE transactions on biomedical engineering 57 (1), 37-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16442218967646816748,40,2009
Assessment of shock wave lithotripters via cavitation potential,"JI Iloreta, Y Zhou, GN Sankin, P Zhong, AJ Szeri","Physics of Fluids 19 (8), 086103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4622090824275249299,39,2007
Variations of bubble cavitation and temperature elevation during lesion formation by high-intensity focused ultrasound,"Y Zhou, X Wilson Gao","The Journal of the Acoustical Society of America 134 (2), 1683-1694",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2004631256675621211,34,2013
The effect of reflector geometry on the acoustic field and bubble dynamics produced by an electrohydraulic shock wave lithotripter,"Y Zhou, P Zhong","The Journal of the Acoustical Society of America 119 (6), 3625-3636",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8870760255673699387,34,2006
Method to reduce tissue injury in shock wave lithotripsy,"P Zhong, Y Zhou, FH Cocks, GM Preminger","US Patent 6,770,039",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=538280516140599512,32,2004
Generation of uniform lesions in high intensity focused ultrasound ablation,Y Zhou,"Ultrasonics 53 (2), 495-505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8308558753702144114,30,2013
Application of acoustic droplet vaporization in ultrasound therapy,Y Zhou,"Journal of therapeutic ultrasound 3 (1), 20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11021278855989055702,25,2015
The effect of the scanning pathway in high-intensity focused ultrasound therapy on lesion production,"Y Zhou, SG Kargl, JH Hwang","Ultrasound in medicine & biology 37 (9), 1457-1468",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2912530344298085464,24,2011
Ultrasound-mediated drug/gene delivery in solid tumor treatment,Y Zhou,"Journal of healthcare engineering 4 (2), 223-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15107105794439802722,21,2013
Ultrasound diagnosis of breast cancer,Y Zhou,"Journal of Medical Imaging and Health Informatics 3 (2), 157-170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2234753704565022001,20,2013
Simulation of non-linear acoustic field and thermal pattern of phased-array high-intensity focused ultrasound (HIFU),"M Wang, Y Zhou","International Journal of Hyperthermia 32 (5), 569-582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8524990546717128374,18,2016
Analysis of thermoelastic dissipation in circular micro-plate resonators using the generalized thermoelasticity theory of dual-phase-lagging model,"FL Guo, J Song, GQ Wang, YF Zhou","Journal of Sound and Vibration 333 (11), 2465-2474",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12937119146152797545,16,2014
Principles and Applications of Therapeutic Ultrasound in Healthcare,Y Zhou,CRC Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2663520982899441462,15,2015
Design of piezoelectric micromachined ultrasonic transducers (pMUTs) for high pressure output,"M Wang, Y Zhou","Microsystem Technologies, 1-6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14370250569742152750,11411005305706926057",14,2016
Effect of pulse repetition frequency of high-intensity focused ultrasound on in vitro thrombolysis,"W Yang, Y Zhou","Ultrasonics Sonochemistry 35, 152-160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11582330399900543770,13,2017
The Application of Ultrasound in 3D Bio-Printing,Y Zhou,"Molecules 21 (5), 590",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4803476595528633673,13,2016
Reduction of bubble cavitation by modifying the diffraction wave from a lithotripter aperture,Y Zhou,"Journal of Endourology 26 (8), 1075-1084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9653354442276790866,13,2012
Particle Accumulation in a Microchannel and Its Reduction by a Standing Surface Acoustic Wave (SSAW),"Y Sriphutkiat, Y Zhou","Sensors 17 (1), 106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14956133031899619925,12,2017
The recent development and applications of fluidic channels by 3D printing,Y Zhou,"Journal of biomedical science 24 (1), 80",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14586543181393498070,11,2017
Acoustic power measurement of high-intensity focused ultrasound transducer using a pressure sensor,Y Zhou,"Medical engineering & physics 37 (3), 335-340",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=279807957979146099,10,2015
Effect of hydrodynamic cavitation in the tissue erosion by pulsed high-intensity focused ultrasound (pHIFU),"Y Zhou, XW Gao","Physics in Medicine and Biology 61 (18), 6651",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8345580150333867220,9,2016
Enhancement of the Transmission of Piezoelectric Micromachined Ultrasonic Transducer With an Isolation Trench,"M Wang, Y Zhou, A Randles","Journal of Microelectromechanical Systems 25 (4), 691-700",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15698468164737974982,9,2016
Quantitative Evaluation of Sonophoresis Efficiency and Its Dependence on Sonication Parameters and Particle Size,"KL Lee, Y Zhou","Journal of Ultrasound in Medicine 34 (3), 519-526",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11109463991103672605,9,2015
Noninvasive treatment of breast cancer using high-intensity focused ultrasound,YF Zhou,"J Med Imaging Health Informatics 3, 141-156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=345176799340321693,9,2013
Characteristics of the secondary bubble cluster produced by an electrohydraulic shock wave lithotripter,"Y Zhou, J Qin, P Zhong","Ultrasound in medicine & biology 38 (4), 601-610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6907387901344284387,9,2012
Sound scattering by fluid-saturated porous cylinders,"YF Zhou, YJ Wang, L Ma, TF Gao","Acta Physica Sinica 49 (3), 480-486",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11728799390947329501,9,2000
Remediation of oil-contaminated sand with self-collapsing air microbubbles,"A Agarwal, Y Zhou, Y Liu","Environmental Science and Pollution Research 23 (23), 23876-23883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17758254128427853494,8,2016
Suppressing bubble shielding effect in shock wave lithotripsy by low intensity pulsed ultrasound,"JC Wang, Y Zhou","Ultrasonics 55, 65-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7575005624306558300,8,2015
Effect of clot aging and cholesterol content on ultrasound-assisted thrombolysis,"Y Zhou, SK Murugappan, VK Sharma","Translational stroke research 5 (5), 627-634",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14801705003042964819,8,2014
Producing uniform lesion pattern in HIFU ablation,"Y Zhou, SG Kargl, JH Hwang","AIP Conference Proceedings 1113 (1), 91-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16556341836434481885,7,2009
Numerical investigation of the inertial cavitation threshold by dual-frequency excitation in the fluid and tissue,"M Wang, Y Zhou","Ultrasonics Sonochemistry 42, 327-338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3635067263150710587,6,2018
Formation of cell spheroids using standing surface acoustic wave (SSAW),"Y Sriphutkiat, S Kasetsirikul, Y Zhou",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11011717422228257001,6,2018
Transsclera drug delivery by pulsed High-Intensity Focused Ultrasound (HIFU): an ex vivo study,"SK Murugappan, Y Zhou","Current eye research 40 (11), 1172-1180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4106461095003306878,6,2015
Generation of autologous platelet-rich plasma by the ultrasonic standing waves,"Y Wu, MS Kanna, C Liu, Y Zhou, CK Chan","IEEE Transactions on Biomedical Engineering 63 (8), 1642-1652",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6872751725964871607,6,2015
Comparison of sonothrombolysis efficiencies of different ultrasound systems,"Y Zhou, R Ramaswami","Journal of Stroke and Cerebrovascular Diseases 23 (10), 2730-2735",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4983919857546527207,6,2014
Quantitative assessment of acoustic intensity in the focused ultrasound field using hydrophone and infrared imaging,"Y Yu, G Shen, Y Zhou, J Bai, Y Chen","Ultrasound in medicine & biology 39 (11), 2021-2033",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17155925551835524839,6,2013
Targeted long-term venous occlusion using pulsed high-intensity focused ultrasound combined with a pro-inflammatory agent,"Y Zhou, J Zia, C Warren, FL Starr, AA Brayman, LA Crum, JH Hwang","Ultrasound in medicine & biology 37 (10), 1653-1658",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=856217908736484743,6,2011
Ultrasound energy levels in the CLOTBUST trial: a step towards optimization of clinical sonothrombolysis,"R Ramaswami, Y Zhou, M Schafer, R Zutshi, AV Alexandrov","Stroke 39 (2), 610-610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6105902721146648753,6,2008
