Title,Authors,Platform,Cited_url,Cited_count,Year
Liquid phase exfoliation of two-dimensional materials by directly probing and matching surface tension components,"J Shen, Y He, J Wu, C Gao, K Keyshar, X Zhang, Y Yang, M Ye, R Vajtai, ...","Nano letters 15 (8), 5449-5454",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16546248470998142462,242,2015
An overview of carbon materials for flexible electrochemical capacitors,"Y He, W Chen, C Gao, J Zhou, X Li, E Xie","Nanoscale 5 (19), 8799-8820",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8949130693492886854,217,2013
High‐performance pseudocapacitive microsupercapacitors from laser‐induced graphene,"L Li, J Zhang, Z Peng, Y Li, C Gao, Y Ji, R Ye, ND Kim, Q Zhong, Y Yang, ...","Advanced Materials 28 (5), 838-845",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4355256938986255412,189,2016
Graphene-based composite materials beneficial to wound healing,"B Lu, T Li, H Zhao, X Li, C Gao, S Zhang, E Xie","Nanoscale 4 (9), 2978-2982",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15093290976318117408,171,2012
A facile method to prepare SnO 2 nanotubes for use in efficient SnO 2–TiO 2 core–shell dye-sensitized solar cells,"C Gao, X Li, B Lu, L Chen, Y Wang, F Teng, J Wang, Z Zhang, X Pan, ...","Nanoscale 4 (11), 3475-3481",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12289977224790602427,133,2012
High‐Performance Photoelectrochemical‐Type Self‐Powered UV Photodetector Using Epitaxial TiO2/SnO2 Branched Heterojunction Nanostructure,"X Li, C Gao, H Duan, B Lu, Y Wang, L Chen, Z Zhang, X Pan, E Xie","Small 9 (11), 2005-2011",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4837299269308367994,123,2013
Nanocrystalline TiO2 film based photoelectrochemical cell as self-powered UV-photodetector,"X Li, C Gao, H Duan, B Lu, X Pan, E Xie","Nano Energy 1 (4), 640-645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9983234539990141793,110,2012
Preparation of black TiO2 by hydrogen plasma assisted chemical vapor deposition and its photocatalytic activity,"F Teng, M Li, C Gao, G Zhang, P Zhang, Y Wang, L Chen, E Xie","Applied Catalysis B: Environmental 148, 339-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15533257700411213168,82,2014
Toward efficient photoelectrochemical water-splitting by using screw-like SnO2 nanostructures as photoanode after being decorated with CdS quantum dots,"Z Zhang, C Gao, Z Wu, W Han, Y Wang, W Fu, X Li, E Xie","Nano Energy 19, 318-327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9885506801436488149,77,2016
Preparation of Three-Dimensional Graphene Foams Using Powder Metallurgy Templates,"JS ,Caitian Gao, Seoung-Ki Lee, Yilun Li, Naiqin Zhao,James M Tour","ACS nano 10 (1), pp 1411–1416",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5732681861142452887,76,2015
Nitrogen-doped carbonized cotton for highly flexible supercapacitors,"L Li, Q Zhong, ND Kim, G Ruan, Y Yang, C Gao, H Fei, Y Li, Y Ji, JM Tour","Carbon 105, 260-267",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1034689334130029497,68,2016
Titanium dioxide coated zinc oxide nanostrawberry aggregates for dye-sensitized solar cell and self-powered UV-photodetector,"C Gao, X Li, Y Wang, L Chen, X Pan, Z Zhang, E Xie","Journal of Power Sources 239, 458-465",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5243645178533109819,47,2013
Effect of Al doping on the visible photoluminescence of ZnO nanofibers,"Y Liu, H Zhang, X An, C Gao, Z Zhang, J Zhou, M Zhou, E Xie","Journal of alloys and compounds 506 (2), 772-776",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8763057460891879231,46,2010
TiO2 films with rich bulk oxygen vacancies prepared by electrospinning for dye-sensitized solar cells,"X Li, C Gao, J Wang, B Lu, W Chen, J Song, S Zhang, Z Zhang, X Pan, ...","Journal of Power Sources 214, 244-250",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7396904854842220344,44,2012
Synthesis and H2 sensing properties of aligned ZnO nanotubes,"Y Liu, C Gao, X Pan, X An, Y Xie, M Zhou, J Song, H Zhang, Z Liu, Q Zhao, ...","Applied Surface Science 257 (6), 2264-2268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7836038441636471530,42,2011
"High performance, self-powered UV-photodetector based on ultrathin, transparent, SnO2–TiO2 core–shell electrodes","C Gao, X Li, X Zhu, L Chen, Y Wang, F Teng, Z Zhang, H Duan, E Xie","Journal of Alloys and Compounds 616, 510-515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5449110513980292213,38,2014
