Title,Authors,Platform,Cited_url,Cited_count,Year
"Service quality and perceived value's impact on satisfaction, intention and usage of short message service (SMS)",TL Lai,"Information Systems Frontiers 6 (4), 353-368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16354243452270462142,348,2004
"Is out of sight, out of mind? An empirical study of social loafing in technology-supported groups","L Chidambaram, LL Tung","Information Systems Research 16 (2), 149-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10195987302968393642,339,2005
Adoption of electronic government services among business organizations in Singapore,"LL Tung, O Rieck","The Journal of Strategic Information Systems 14 (4), 417-440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1899063024775760047,335,2005
Receptivity of Singapore's SMEs to electronic commerce adoption,"JD Kendall, LL Tung, KH Chua, CHD Ng, SM Tan","The Journal of Strategic Information Systems 10 (3), 223-242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2847755637581912695,312,2001
HOW INDIVIDUAL DIFFERENCES INFLUENCE TECHNOLOGY USAGE BEHAVIOR? TOWARD AN INTEGRATED FRAMEWORK.,"Y Yi, Z Wu, LL Tung",Journal of Computer Information Systems 46 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9731181069367300301,127,2005
Cultural differences explaining the differences in results in GSS: implications for the next decade,"LL Tung, MA Quaddus","Decision Support Systems 33 (2), 177-199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6717340070110331555,115,2002
A proposed research framework for distributed group support systems,"L Tung, E Turban","Decision Support Systems 23 (2), 175-188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13891632485997901076,92,1998
An empirical investigation of virtual communities and trust,"L Tung, P Tan, P Chia, Y Koh, HL Yeo",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10983182688408835387,72,2001
Electronic commerce adoption by SMEs in Singapore,"K Jon, TL Lai, CK Hui, NCH Dennis, TS Meng","System Sciences, 2001. Proceedings of the 34th Annual Hawaii International …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9222970932839198377,68,2001
A study of web-designers’ criteria for effective business-to-consumer (B2C) websites using the repertory grid technique’,"FB Tan, LL Tung, Y Xu","Journal of Electronic Commerce Research 10 (3), 155-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4699006464293832346,66,2009
Attributes of web site usability: a study of web users with the repertory grid technique,"LL Tung, Y Xu, FB Tan","International Journal of Electronic Commerce 13 (4), 97-126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16136134502416289231,65,2009
Explaining cultural differences in decision conferencing,"MA Quaddus, LL Tung","Communications of the ACM 45 (8), 93-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15694357815695169111,55,2002
Explaining cultural differences in decision conferencing: a comparison of two cultures-Western and Asian-in the context of group conflict generation and management,"M Quaddus, L Tung",,,55,2002
Exploring website evaluation criteria using the repertory grid technique: A web designers' perspective,"FB Tan, L Tung",AIS,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11096560821807542663,54,2003
Information technology as an enabler of telecommuting,"LL Tung, E Turban","International Journal of Information Management 16 (2), 103-117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16035487277481265581,53,1996
New tools for the determination of e-commerce inhibitors,"R Debreceny, M Putterill, LL Tung, AL Gilbert","Decision Support Systems 34 (2), 177-195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5459008102964411879,51,2003
"The effects of dialectical inquiry, devil's advocacy, and consensus inquiry methods in a GSS environment","LL Tung, AR Heminger","Information & Management 25 (1), 33-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9249964250209748628,44,1993
A model for the classification of information kiosks in Singapore,"LL Tung, JH Tan","International Journal of Information Management 18 (4), 255-264",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7318315601837714825,40,1998
Incorporating technology readiness (TR) into TAM: are individual traits important to understand technology acceptance?,"Y Yi, LL Tung, Z Wu",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14885357182576479296,39,2003
