Title,Authors,Platform,Cited_url,Cited_count,Year
Incompressible SPH method for simulating Newtonian and non-Newtonian flows with a free surface,"S Shao, EYM Lo","Advances in water resources 26 (7), 787-800",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16929939400298799869,937,2003
Simulation of near-shore solitary wave mechanics by an incompressible SPH method,"EYM Lo, S Shao","Applied Ocean Research 24 (5), 275-286",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=991008583746458314,356,2002
A numerical study of water-wave modulation based on a higher-order nonlinear Schrödinger equation,"E Lo, CC Mei","Journal of Fluid Mechanics 150, 395-416",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5832237629016890469,283,1985
1DH Boussinesq modeling of wave transformation over fringing reefs,"Y Yao, Z Huang, SG Monismith, EYM Lo","Ocean Engineering 47, 30-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8927930408202529565,69,2012
Slow evolution of nonlinear deep water waves in two horizontal directions: A numerical study,"EY Lo, CC Mei","Wave motion 9 (3), 245-259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6659022335752101885,51,1987
Characteristics of monochromatic waves breaking over fringing reefs,"Y Yao, Z Huang, SG Monismith, EYM Lo","Journal of Coastal Research 29 (1), 94-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16675615459966967132,48,2012
Performances of rainfall-runoff models calibrated over single and continuous storm flow events,"SB Tan, LH Chua, EB Shuy, EYM Lo, LW Lim","Journal of Hydrologic Engineering 13 (7), 597-607",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7666838119175801776,47,2008
Nonlinear focusing of surface waves by a lens–theory and experiment,"JJ Stamnes, O Løvhaugen, B Spjelkavik, CC Mei, E Lo, DKP Yue","Journal of Fluid Mechanics 135, 71-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=200802334915200316,33,1983
Nutrients and suspended solids in dry weather and storm flows from a tropical catchment with various proportions of rural and urban land use,"LHC Chua, EYM Lo, EB Shuy, SBK Tan","Journal of environmental management 90 (11), 3635-3642",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10522353367904584684,32,2009
Flexible dual membrane wave barrier,EYM Lo,"Journal of waterway, port, coastal, and ocean engineering 124 (5), 264-271",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11688268474446589967,27,1998
Use of fluorescein as a ground water tracer in brackish water aquifers,"LHC Chua, AP Robertson, WK Yee, EB Shuy, EYM Lo, TT Lim, SK Tan","Groundwater 45 (1), 85-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2890532290948160327,26,2007
Effect of shallow and narrow water on added mass of cylinders with various cross-sectional shapes,"ZX Zhou, EYM Lo, SK Tan","Ocean engineering 32 (10), 1199-1215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13277250888597141583,25,2005
Surface-penetrating flexible membrane wave barriers of finite draft,"WK Lee, EYM Lo","Ocean engineering 29 (14), 1781-1804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=255416391136163855,25,2002
Signal‐to‐noise enhancement by underwater intensity measurements,"EY Lo, MC Junger","The Journal of the Acoustical Society of America 82 (4), 1450-1454",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13550421582479849803,23,1987
Hydrograph separation and development of empirical relationships using single-parameter digital filters,"SB Tan, EYM Lo, EB Shuy, LH Chua, WH Lim","Journal of Hydrologic Engineering 14 (3), 271-279",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4275184826968810654,21,2009
Performance of a flexible membrane wave barrier of a finite vertical extent,EYM Lo,"Coastal Engineering Journal 42 (2), 237-251",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12542589139831630791,18,2000
Tomographic reconstruction of air temperature and density profiles using tunable diode laser absorption measurements on O2,"W Kessler, M Allen, E Lo, M Miller","26th Plasmadynamics and Lasers Conference, 1953",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11891550636441884184,17,1995
A preliminary laboratory study of motion of floating debris generated by solitary waves running up a beach,"Y Yao, Z Huang, EYM Lo, HT Shen","Journal of Earthquake and Tsunami 8 (03), 1440006",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3394961370682078736,15,2014
Generation of total runoff hydrographs using a method derived from a digital filter algorithm,"SB Tan, EYM Lo, EB Shuy, LH Chua, WH Lim","Journal of Hydrologic Engineering 14 (1), 101-106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12640103221505959830,15,2009
An experimental study of wave-induced set-up over a horizontal reef with an idealized ridge,"Y Yao, EYM Lo, Z Huang, SG Monismith","ASME 2009 28th International Conference on Ocean, Offshore and Arctic …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13711213515065789221,15,2009
Water and heat budgets of a shallow tropical reservoir,"Z Xing, DA Fong, KM Tan, EYM Lo, SG Monismith",Water Resources Research 48 (6),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=807373236608031419,14,2012
Hydrostratigraphy and geochemistry at a coastal sandfill in Singapore,"LHC Chua, EYM Lo, DL Freyberg, EB Shuy, TT Lim, SK Tan, ...","Hydrogeology journal 15 (8), 1591-1604",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=780193944543243076,13,2007
The effects of a jet-like current on gravity waves in shallow water,"CC Mei, E Lo","Journal of physical oceanography 14 (2), 471-477",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9132094466949246462,13,1984
Long-time evolution of surface waves in coastal waters,"EY Lo, CC Mei","Department of Civil Engineering, Massachusetts Institute of Technology",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8304081524044466258,12,1985
Analysis of spatial patterns of daily precipitation and wet spell extremes in Southeast Asia,"PV Mandapaka, X Qin, EYM Lo","International Journal of Climatology 37, 1161-1179",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15785020353613038329,8,2017
Simulating ship maneuvers in deep and coastal waters,"MC Ong, SCC Lee, ATB Lim, EYM Lo, SK Tan","Journal of ship research 51 (3), 204-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12707404490661059226,8,2007
Observations of vertical eddy diffusivities in a shallow tropical reservoir,"P Yang, Z Xing, DA Fong, SG Monismith, KM Tan, EYM Lo","Journal of Hydro-environment Research 9 (3), 441-451",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4502451889325881451,7,2015
An interpolation based finite difference method on non-uniform grid for solving Navier–Stokes equations,"W Chen, JC Chen, EY Lo","Computers & fluids 101, 273-290",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5951806021597245997,7,2014
Assessing urban growth dynamics of major Southeast Asian cities using night-time light data,"SA Kamarajugedda, PV Mandapaka, EYM Lo","International journal of remote sensing 38 (21), 6073-6093",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11120618939541632921,6,2017
Controlled field studies on soil aquifer treatment in a constructed coastal sandfill,"LHC Chua, M Leong, EYM Lo, M Reinhard, AP Robertson, TT Lim, ...","Water science and technology 60 (5), 1283-1293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1789759506803232670,5,2009
Multi-objective optimal design for flood risk management with resilience objectives,"HT Su, SH Cheung, EYM Lo","Stochastic environmental research and risk assessment 32 (4), 1147-1162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14960499400378033171,4,2018
