Title,Authors,Platform,Cited_url,Cited_count,Year
Face recognition by support vector machines,"G Guo, SZ Li, K Chan",Proceedings fourth IEEE international conference on automatic face and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15586062931187567127,734,2000
Support vector machines for face recognition,"G Guo, SZ Li, KL Chan","Image and Vision computing 19 (9-10), 631-638",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11491850139122519216,635,2001
ECG signal conditioning by morphological filtering,"Y Sun, KL Chan, SM Krishnan","Computers in biology and medicine 32 (6), 465-479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=88843019237480357,253,2002
Characteristic wave detection in ECG signal using morphological transform,"Y Sun, KL Chan, SM Krishnan","BMC cardiovascular disorders 5 (1), 28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6274069799469447803,239,2005
EM algorithms for Gaussian mixtures with split-and-merge operation,"Z Zhang, C Chen, J Sun, KL Chan","Pattern recognition 36 (9), 1973-1983",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4122361646464969524,184,2003
Video tracking using learned hierarchical features,"L Wang, T Liu, G Wang, KL Chan, Q Yang","IEEE Transactions on Image Processing 24 (4), 1424-1435",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3359749743072072270,146,2015
Performance evaluation of the nearest feature line method in image classification and retrieval,"SZ Li, KL Chan, C Wang","IEEE Transactions on Pattern Analysis and Machine Intelligence 22 (11), 1335 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13497644590052964016,139,2000
Bootstrapping SVM active learning by incorporating unlabelled images for image retrieval,"L Wang, KL Chan, Z Zhang",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4092284454093878761,127,2003
Extraction of brain tumor from MR images using one-class support vector machine,"J Zhou, KL Chan, VFH Chong, SM Krishnan","2005 IEEE Engineering in Medicine and Biology 27th Annual Conference, 6411-6414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11897973792072369470,124,2006
Tracklet association with online target-specific metric learning,"B Wang, G Wang, K Luk Chan, L Wang",Proceedings of the IEEE conference on computer vision and pattern …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16861186843857435121,88,2014
Direct minutiae extraction from gray-level fingerprint image by relationship examination,"J Liu, Z Huang, KL Chan",Proceedings 2000 International Conference on Image Processing (Cat. No …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3449489815324856456,88,2000
Machine vision stereo matching,KL Chan,"US Patent 5,432,712",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8387576666585733177,82,1995
Machine learning techniques for business blog search and mining,"Y Chen, FS Tsai, KL Chan","Expert Systems with Applications 35 (3), 581-590",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14352523985911463600,81,2008
Learning a multivariate Gaussian mixture model with the reversible jump MCMC algorithm,"Z Zhang, KL Chan, Y Wu, C Chen","Statistics and Computing 14 (4), 343-355",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16949788085621803374,71,2004
Classification of electrocardiogram using hidden Markov models,"WT Cheng, KL Chan",Proceedings of the 20th Annual International Conference of the IEEE …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9295082374898545132,64,1998
Neural networks in healthcare: potential and challenges,"R Begg, J Kamruzzaman, R Sarker",Idea Group Pub.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17631373197985155559,63,2006
Joint learning of convolutional neural networks and temporally constrained metrics for tracklet association,"B Wang, L Wang, B Shuai, Z Zuo, T Liu, K Luk Chan, G Wang",Proceedings of the IEEE Conference on Computer Vision and Pattern …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1601709644284614897,61,2016
Intestinal abnormality detection from endoscopic images,"SM Krishnan, X Yang, KL Chan, S Kumar, PMY Goh",Proceedings of the 20th Annual International Conference of the IEEE …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9544073020923815042,59,1998
A review of region-based image retrieval,"W Huang, Y Gao, KL Chan","Journal of Signal Processing Systems 59 (2), 143-161",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6742082740715640732,55,2010
An extended Isomap algorithm for learning multi-class manifold,"Y Wu, KL Chan",Proceedings of 2004 International Conference on Machine Learning and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12741467891874969823,55,2004
Intelligent fusion of cup-to-disc ratio determination methods for glaucoma detection in ARGALI,"DWK Wong, J Liu, JH Lim, NM Tan, Z Zhang, S Lu, H Li, MH Teo, ...",2009 Annual International Conference of the IEEE Engineering in Medicine and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17892900315182857709,52,2009
Tracklet association by online target-specific metric learning and coherent dynamics estimation,"B Wang, G Wang, KL Chan, L Wang","IEEE transactions on pattern analysis and machine intelligence 39 (3), 589-602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16795088729513380358,50,2016
Towards automatic detection of age-related macular degeneration in retinal fundus images,"Z Liang, DWK Wong, J Liu, KL Chan, TY Wong",2010 Annual International Conference of the IEEE Engineering in Medicine and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7371176247108250520,50,2010
A criterion for optimizing kernel parameters in KBDA for image retrieval,"L Wang, KL Chan, P Xue","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 35 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4960975313340136169,50,2005
Incorporating shape prior into geodesic active contours for detecting partially occluded object,"W Fang, KL Chan","Pattern Recognition 40 (8), 2163-2172",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1339462198877576347,48,2007
Learning kernel parameters by using class separability measure,"L Wang, KL Chan",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11065473516114917964,47,2002
Detecting cyber security threats in weblogs using probabilistic models,"FS Tsai, KL Chan","Pacific-Asia Workshop on Intelligence and Security Informatics, 46-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=388601564285210811,44,2007
Incorporating prior knowledge into SVM for image retrieval,"L Wang, P Xue, KL Chan",Proceedings of the 17th International Conference on Pattern Recognition …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10767994986350673125,44,2004
Similarity-driven cluster merging method for unsupervised fuzzy clustering,"X Xiong, KL Chan, KL Tan",Proceedings of the 20th conference on Uncertainty in artificial intelligence …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11764233725563569558,42,2004
Evaluation of novelty metrics for sentence-level novelty mining,"FS Tsai, W Tang, KL Chan","Information Sciences 180 (12), 2359-2374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3376526881195263449,40,2010
Unsupervised color image segmentation based on Gaussian mixture model,"Y Wu, X Yang, KL Chan","Fourth International Conference on Information, Communications and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16018149870729573159,40,2003
Scale and rotation invariant texture analysis based on structural property,"RK Goyal, WL Goh, DP Mital, KL Chan",Proceedings of IECON'95-21st Annual Conference on IEEE Industrial …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15613560653910951082,37,1995
Blog search and mining in the business domain,"Y Chen, FS Tsai, KL Chan",Proceedings of the 2007 international workshop on Domain driven data mining …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16173035042732610044,35,2007
Two criteria for model selection in multiclass support vector machines,"L Wang, P Xue, KL Chan","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 38 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11381660101113480024,34,2008
Correlation between MR imaging–derived nasopharyngeal carcinoma tumor volume and TNM system,"VFH Chong, JY Zhou, JBK Khoo, KL Chan, J Huang","International Journal of Radiation Oncology* Biology* Physics 64 (1), 72-76",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7598429405427873161,33,2006
Features for texture segmentation using Gabor filters,"N Mittal, DP Mital, KL Chan",IET Digital Library,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4873488516008952665,31,1999
A kernel-induced space selection approach to model selection in KLDA,"L Wang, KL Chan, P Xue, L Zhou","IEEE transactions on neural networks 19 (12), 2116-2131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15718119671684808483,30,2008
Dimensionality reduction techniques for data exploration,"FS Tsai, KL Chan","2007 6th International conference on information, communications & signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17249839419833385592,30,2007
