Title,Authors,Platform,Cited_url,Cited_count,Year
Asymmetric synthesis and organometallic chemistry of functionalized phosphines containing stereogenic phosphorus centers,PH Leung,"Accounts of chemical research 37 (3), 169-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16339145128469170218,134,2004
Copper (II) complexes of the antitumour-related ligand salicylaldehyde acetylhydrazone (H2L) and the single-crystal X-ray structures of [{Cu (HL) H2O} 2]· 2 (NO3) and [{Cu (HL …,"SC Chan, LL Koh, PH Leung, JD Ranford, KY Sim","Inorganica chimica acta 236 (1-2), 101-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14212992550419051854,111,1995
"Versatile chiral palladium (II) complexes for enantiomeric purities of 1, 2-diamines","SYM Chooi, P Leung, CC Lim, KF Mok, GH Quek, KY Sim, MK Tan","Tetrahedron: Asymmetry 3 (4), 529-532",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6533595121170800935,102,1992
Direct synthesis of chiral tertiary diphosphines via Pd (II)-catalyzed asymmetric hydrophosphination of dienones,"Y Huang, RJ Chew, Y Li, SA Pullarkat, PH Leung","Organic letters 13 (21), 5862-5865",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4289586211055719607,88,2011
Optical resolutions and chelating properties of (.+-.)-[2-(methylsulfinyl) ethyl] diphenylarsine and its phosphorus analog,"SYM Chooi, SY Siah, PH Leung, KF Mok","Inorganic Chemistry 32 (22), 4812-4818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7207990520267061426,87,1993
Stereochemical investigation of bis (bidentate)-palladium (II) complexes. Transmission of ring chiralities between chelating amine ligands via their prochiral N-methyl substituents,"SYM Chooi, MK Tan, PH Leung, KF Mok","Inorganic Chemistry 33 (14), 3096-3103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13806757444498802500,82,1994
Palladium (II)-catalyzed asymmetric hydrophosphination of enones: efficient access to chiral tertiary phosphines,"Y Huang, SA Pullarkat, Y Li, PH Leung","Chemical Communications 46 (37), 6950-6952",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9522921131981760156,80,2010
NMR assignment of absolute configuration of a P-chiral diphosphine and mechanics of its stereoselective formation,"BH Aw, S Selvaratnam, PH Leung, NH Rees, W McFarlane","Tetrahedron: Asymmetry 7 (6), 1753-1762",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12081962548905249758,77,1996
Resolutions involving metal complexation. Optical resolution and photochemical rearrangement of (.+-.)-(2-mercaptoethyl) methylphenylphosphine,"PH Leung, AC Willis, SB Wild","Inorganic Chemistry 31 (8), 1406-1410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=305896890068976450,76,1992
"Stereochemical investigations of coordinated sulfur stereocenters. X-ray structures of diastereomers of (-) 589-[Pd {(R)-CH3CH (1-C10H6) NMe2-C2, N}(R/S)-{Ph2PCH2SMe-P, S}] PF6","SYM Chooi, TSA Hor, PH Leung, KF Mok","Inorganic Chemistry 31 (8), 1494-1500",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15701947972370425291,72,1992
"Metal Template Promoted Hydroamination of Ethynylphosphines and Aniline. Asymmetric Synthesis, Coordination Chemistry, and the Imine− Enamine Tautomerism of P-Chiral …","X Liu, KF Mok, PH Leung","Organometallics 20 (18), 3918-3926",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=546360787912074521,70,2001
Asymmetric synthesis of P-stereogenic diarylphosphinites by palladium-catalyzed enantioselective addition of diarylphosphines to benzoquinones,"Y Huang, Y Li, PH Leung, T Hayashi","Journal of the American Chemical Society 136 (13), 4865-4868",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5506919908774419592,64,2014
Palladacycle-Catalyzed Asymmetric Hydrophosphination of Enones for Synthesis of C*-and P*-Chiral Tertiary Phosphines,"Y Huang, SA Pullarkat, Y Li, PH Leung","Inorganic chemistry 51 (4), 2533-2540",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1342031238028785801,64,2012
Optically active arsenic macrocycles. Stereospecific syntheses of enantiomers and diastereomers of 14-membered trans-As2S2 chelating macrocycles containing resolved asymmetric …,"PG Kerr, PH Leung, SB Wild","Journal of the American Chemical Society 109 (14), 4321-4328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=116404753404044006,62,1987
Facile interconversions between diastereomers of chloro-bridged palladium (II) dimers of orthometallated (±)-dimethyl [1-(1-naphthyl) ethyl] amine,"DCR Hockless, PA Gugger, PH Leung, RC Mayadunne, M Pabel, SB Wild","Tetrahedron 53 (11), 4083-4094",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9905447818154851253,60,1997
Asymmetric Synthesis of Enaminophosphines via Palladacycle-Catalyzed Addition of Ph,"Y Huang, RJ Chew, SA Pullarkat, Y Li, PH Leung","The Journal of organic chemistry 77 (16), 6849-6854",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2123210424517867878,58,2012
Chiral metal complex-promoted asymmetric hydrophosphinations,"SA Pullarkat, PH Leung","Hydrofunctionalization, 145-166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15707049097546406851,57,2011
Chiral Phosphapalladacycles as Efficient Catalysts for the Asymmetric Hydrophosphination of Substituted Methylidenemalonate Esters: Direct Access to Functionalized Tertiary …,"C Xu, G Jun Hao Kennard, F Hennersdorf, Y Li, SA Pullarkat, PH Leung","Organometallics 31 (8), 3022-3026",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14329826975552998835,53,2012
Chiral palladium template promoted asymmetric hydrophosphination reaction between diphenylphosphine and vinylphosphines,"WC Yeo, SY Tee, HB Tan, GK Tan, LL Koh, PH Leung","Inorganic chemistry 43 (25), 8102-8109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14940053173830933604,50,2004
Designer cyclopalladated-amine catalysts for the asymmetric Claisen rearrangement,"PH Leung, KH Ng, Y Li, AJP White, DJ Williams","Chemical Communications, 2435-2436","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4028149759247147302,9354810332322110493",50,1999
"Optical Resolution, Configurational Stability, and Coordination Chemistry of the P-Chiral Heterocyclic Diphosphine 1, 1 ‘-Diphenyl-3, 3 ‘, 4, 4 ‘-tetramethyl-2, 2 ‘-diphosphole …","G He, KF Mok, PH Leung","Organometallics 18 (20), 4027-4031",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13997252301837567824,49,1999
"[Pt2 (dppf) 2 (. mu.-S) 2] as a Heterometallic Ligand. Simple Assembly of an Electroactive Interpolymetallic Complex [Pt2Tl (dppf) 2 (. mu. 3-S) 2] X (X= NO3, PF6)(dppf= 1, 1 …","M Zhou, Y Xu, AM Tan, PH Leung, KF Mok, LL Koh, TSA Hor","Inorganic Chemistry 34 (26), 6425-6429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14896451932947761673,49,1995
"Highly Enantioselective Synthesis of (2-Pyridyl) phosphine Based C-Chiral Unsymmetrical P, N-Ligands Using a Chiral Palladium Complex","F Liu, SA Pullarkat, Y Li, S Chen, M Yuan, ZY Lee, PH Leung","Organometallics 28 (13), 3941-3946",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8903855242139176555,48,2009
A novel approach toward asymmetric synthesis of alcohol functionalized C-chiral diphosphines via two-stage hydrophosphination of terminal alkynols,"SA Pullarkat, D Yi, Y Li, GK Tan, PH Leung","Inorganic chemistry 45 (18), 7455-7463",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16981769815482769681,47,2006
A rational approach to the design and synthesis of chiral organopalladium-amine complexes,"Y Li, S Selvaratnam, JJ Vittal, PH Leung","Inorganic chemistry 42 (10), 3229-3236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17759338041815680931,47,2003
"[Pt2 (μ-S) 2 (PPh3) 4] as a metalloligand toward main-group Lewis acids. Crystal structures of two complex adducts of lead nitrate,[(PPh3) 4Pt2 (μ3-S) 2Pb (NO3) 2] and (PPh3 …","M Zhou, Y Xu, CF Lam, LL Koh, KF Mok, PH Leung, TSA Hor",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2622156440820069363,47,1993
Optical Resolution and the Study of Ligand Effects on the Ortho-Metalation Reaction of Resolved (±)-Diphenyl [1-(1-naphthyl) ethyl] phosphine and Its Arsenic Analogue,"JKP Ng, GK Tan, JJ Vittal, PH Leung","Inorganic chemistry 42 (23), 7674-7682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17097956454448811926,46,2003
Palladacycle-catalyzed asymmetric intermolecular construction of chiral tertiary P-heterocycles by stepwise addition of H–P–H bonds to bis (enones),"Y Huang, SA Pullarkat, S Teong, RJ Chew, Y Li, PH Leung","Organometallics 31 (13), 4871-4875",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16107301864200900186,45,2012
Palladium-Complex-Promoted Asymmetric Synthesis of Stereoisomeric P-Chiral Pyridylphosphines via an Unusual Exo− Endo Stereochemically Controlled Asymmetric Diels− Alder …,"G He, SK Loh, JJ Vittal, KF Mok, PH Leung","Organometallics 17 (18), 3931-3936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4655383193525980633,45,1998
[Pt2 (. mu.-S) 2 (PPh3) 4] as a Metalloligand toward Main-Group Lewis Acids. The First Square-Pyramidal Structure of an Indium (III) Complex Adduct in (PPh3) 4Pt2 (. mu. 3-S …,"M Zhou, Y Xu, CF Lam, PH Leung, LL Koh, KF Mok, TSA Hor","Inorganic Chemistry 33 (7), 1572-1574",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13208280279548413567,45,1994
Enantioselective Addition of Diphenylphosphine to 3‐Methyl‐4‐nitro‐5‐alkenylisoxazoles,"RJ Chew, Y Huang, Y Li, SA Pullarkat, PH Leung","Advanced Synthesis & Catalysis 355 (7), 1403-1408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13405495844012943087,44,2013
"Asymmetric synthesis of dimethyl-1, 2-bis-(diphenylphosphino)-1, 2-ethanedicarboxylate by means of a chiral palladium template promoted hydrophosphination reaction","L Tang, Y Zhang, L Ding, Y Li, KF Mok, WC Yeo, PH Leung","Tetrahedron Letters 48 (1), 33-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14563716137521675503,44,2007
"Synthesis and the stereoelectronic properties of novel cyclopalladated complexes derived from enantiomerically pure (R/S)-N, N-dimethyl-1-(9-phenanthryl) ethylamine","Y Li, KH Ng, S Selvaratnam, GK Tan, JJ Vittal, PH Leung","Organometallics 22 (4), 834-842",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11551065822399006277,44,2003
Isolation and structural characterisation of a reactive chiral palladium (II) complex containing a ClO4 ligand,"SK Loh, KF Mok, PH Leung, AJP White, DJ Williams","Tetrahedron: Asymmetry 7 (1), 45-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16136662603465892496,41,1996
A simple route to an enantiomerically pure diphosphine ligand containing a phosphorus stereogenic centre.,"BH Aw, PH Leung","Tetrahedron: Asymmetry 5 (7), 1167-1170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1186582281388605085,41,1994
Resolutions involving metal complexation. Synthesis and resolution of (.+-.)-(2-mercaptoethyl) methylphenylarsine. Crystal and molecular structure of (-) 589-bis [(R)-[1 …,"PH Leung, GM McLaughlin, JWL Martin, SB Wild","Inorganic Chemistry 25 (19), 3392-3395",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9838136847284077392,41,1986
"[Pt2 (μ-S) 2 (PPh3) 4] as a metalloligand toward main-group Lewis acids. A"" mexican-hat-like"" structure for [Pt2Tl (μ3-S) 2 (PPh3) 4] X (X= NO3, PF6) with a two-coordinate …","M Zhou, Y Xu, LL Koh, KF Mok, PH Leung, TSA Hor",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9741800225405889505,40,1993
"Asymmetric Synthesis of a (P-Chiral) As− P Bidentate Ligand via an Organopalladium Complex Promoted Asymmetric Diels− Alder Reaction between Ph2AsCH CH2 and 1-Phenyl-3, 4 …","BH Aw, PH Leung, AJP White, DJ Williams","Organometallics 15 (17), 3640-3643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=537518354447486700,38,1996
A novel asymmetric hydroarsination reaction promoted by a chiral organopalladium complex,"ML Bungabong, KW Tan, Y Li, SV Selvaratnam, KG Dongol, PH Leung","Inorganic chemistry 46 (11), 4733-4736",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10723492644565646814,36,2007
Metal template synthesis and coordination chemistry of functionalized P-chiral phosphanorbornenes,"PH Leung, G He, H Lang, A Liu, SK Loh, S Selvaratnam, KF Mok, ...","Tetrahedron 56 (1), 7-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12293486295169828120,36,2000
"Novel stereochemistry, reactivity, and stability of an arsenic heterocycle in a metal-promoted asymmetric cycloaddition reaction","M Ma, SA Pullarkat, Y Li, PH Leung","Inorganic chemistry 46 (22), 9488-9494",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9958476187428161788,35,2007
"Diastereomerism in square-planar complexes of bivalent nickel, palladium, and platinum containing chiral 2-mercaptoethyl-substituted tertiary arsines and phosphines","PH Leung, JWL Martin, SB Wild","Inorganic Chemistry 25 (19), 3396-3400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11715217034453309417,35,1986
Asymmetric synthesis of diphosphine ligands containing Phosphorus and Carbon stereogenic centers by means of a chiral Palladium complex promoted hydrophosphination reaction,"Y Zhang, SA Pullarkat, Y Li, PH Leung","Inorganic chemistry 48 (12), 5535-5539",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16651605986638281042,34,2009
Chiral Metal Template Promoted Asymmetric Pyrrole Diels−Alder Reaction between ,"WC Yeo, JJ Vittal, LL Koh, GK Tan, PH Leung","Organometallics 23 (14), 3474-3482",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12970667985491312947,34,2004
Synthetic and structural study of cyclopentadienylchromium dithiocarbamate complexes and their thermolytic derivatives,"LY Goh, Z Weng, WK Leong, PH Leung","Organometallics 21 (21), 4398-4407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5540784407664159042,34,2002
Stereoelectronic effects on the chelating properties of [2-(methylsulfinyl) ethyl] diphenylarsine and its phosphorus analogue.,"SYM Chooi, JD Ranford, PH Leung, KF Mok","Tetrahedron: Asymmetry 5 (9), 1805-1814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16730052034808703877,34,1994
"Asymmetric Synthesis of Functionalized 1, 2-Diphosphine via the Chemoselective Hydrophosphination of Coordinated Allylic Phosphines","M Yuan, SA Pullarkat, M Ma, Y Zhang, Y Huang, Y Li, A Goel, PH Leung","Organometallics 28 (3), 780-786",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3277772256164797318,32,2009
C−S Bond Cleavage and C−C Coupling in Cyclopentadienylchromium Complexes To Give the First Dithiooxamide‐Bridged and Doubly Dithiocarbamate‐Bridged Double Cubanes: [Cp,"LY Goh, Z Weng, WK Leong, PH Leung","Angewandte Chemie International Edition 40 (17), 3236-3239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12442924920055964211,32,2001
Molecular recognition in a palladium complex promoted asymmetric synthesis of a P-chiral heterodifunctionalized bidentate phosphine ligand,"Y Song, JJ Vittal, SH Chan, PH Leung","Organometallics 18 (4), 650-655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3838998393414654672,32,1999
"The international journal for inorganic, organometallic and bioinorganic chemistry","WK Wong, L Zhang, F Xue, TCW Mak","J. Chem. Soc., Dalton Trans 639, 652",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5017011170311450476,32,1999
"Palladium catalyzed asymmetric hydrophosphination of α, β-and α, β, γ, δ-unsaturated malonate esters–efficient control of reactivity, stereo-and regio-selectivity","XY Yang, JH Gan, Y Li, SA Pullarkat, PH Leung","Dalton Transactions 44 (3), 1258-1263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17449216288375105280,31,2015
Our Odyssey with Functionalized Chiral Phosphines: From Optical Resolution to Asymmetric Synthesis to Catalysis,"RJ Chew, PH Leung","The Chemical Record 16 (1), 141-158",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6432486041377927843,30,2016
Predicting the acidity constant of a goethite hydroxyl group from first principles,"K Leung, LJ Criscenti","Journal of Physics: Condensed Matter 24 (12), 124105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7837562277026642903,30,2012
A simple and efficient approach to a rigid diphosphine ligand containing two Phosphorus and three Carbon stereogenic centers by means of a Palladium complex promoted asymmetric …,"S Selvaratnam, KF Mok, PH Leung, AJP White, DJ Williams","Inorganic Chemistry 35 (16), 4798-4800",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15228453585283966375,30,1996
Palladacycle‐Catalyzed Tandem Allylic Amination/Allylation Protocol for One‐Pot Synthesis of 2‐Allylanilines from Allylic Alcohols,"K Chen, Y Li, SA Pullarkat, PH Leung","Advanced Synthesis & Catalysis 354 (1), 83-87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14424218003077332048,29,2012
"Asymmetric synthesis of functionalized 1, 3-diphosphines via chiral palladium complex promoted hydrophosphination of activated olefins","M Yuan, N Zhang, SA Pullarkat, Y Li, F Liu, PT Pham, PH Leung","Inorganic chemistry 49 (3), 989-996",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=268771080552774162,29,2009
Formation of imino− phosphine bidentate chelates by an unprecedented organopalladium complex promoted oxidative coupling reaction between diphenylvinylphosphine and imines,"X Liu, KF Mok, JJ Vittal, PH Leung","Organometallics 19 (18), 3722-3729",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4413567071742447883,29,2000
Cyclopalladation of the Prochiral (Di-,"JKP Ng, S Chen, Y Li, GK Tan, LL Koh, PH Leung","Inorganic chemistry 46 (12), 5100-5109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2541919195851096621,28,2007
"Base controlled (1, 1)-and (1, 2)-hydrophosphination of functionalized alkynes","Y Zhang, L Tang, Y Ding, JH Chua, Y Li, M Yuan, PH Leung","Tetrahedron Letters 49 (11), 1762-1767",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2482106144643103453,27,2008
A versatile and efficient approach to enantiomerically pure monodentate and bidentate P-chiral phosphines,"PH Leung, A Liu, KF Mok","Tetrahedron: Asymmetry 10 (7), 1309-1314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4580821067516880428,27,1999
Versatile Syntheses of Optically Pure PCE Pincer Ligands: Facile Modifications of the Pendant Arms and Ligand Backbones,"XY Yang, WS Tay, Y Li, SA Pullarkat, PH Leung","Organometallics 34 (8), 1582-1588",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16865521316949253717,26,2015
"N-Heterocyclic Carbene C, S Palladium (II) π-Allyl Complexes: Synthesis, Characterization, and Catalytic Application In Allylic Amination Reactions","D Krishnan, M Wu, M Chiang, Y Li, PH Leung, SA Pullarkat","Organometallics 32 (8), 2389-2397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9217337813948462013,26,2013
