Title,Authors,Platform,Cited_url,Cited_count,Year
Bacterial adhesins in host-microbe interactions,"KA Kline, S Fälker, S Dahlberg, S Normark, B Henriques-Normark","Cell host & microbe 5 (6), 580-592",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2080505048780380300,434,2009
A tale of two pili: assembly and function of pili in bacteria,"KA Kline, KW Dodson, MG Caparon, SJ Hultgren","Trends in microbiology 18 (5), 224-232",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4207131020096313068,151,2010
Contribution of autolysin and Sortase a during Enterococcus faecalis DNA-dependent biofilm development,"PS Guiton, CS Hung, KA Kline, R Roth, AL Kau, E Hayes, J Heuser, ...","Infection and immunity 77 (9), 3626-3638",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9382010872219509100,134,2009
The frequency and rate of pilin antigenic variation in Neisseria gonorrhoeae,"AK Criss, KA Kline, HS Seifert","Molecular microbiology 58 (2), 510-519",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=913405367105220521,118,2005
"Gram-positive uropathogens, polymicrobial urinary tract infection, and the emerging microbiota of the urinary tract","KA Kline, AL Lewis",Microbiology spectrum 4 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3864045067896206086,113,2016
"Recombination, repair and replication in the pathogenic Neisseriae: the 3 R′ s of molecular genetics of two human‐specific bacterial pathogens","KA Kline, EV Sechman, EP Skaar, HS Seifert","Molecular microbiology 50 (1), 3-13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10037545943124084882,15290095321217479307",111,2003
G‐CSF induction early in uropathogenic Escherichia coli infection of the urinary tract modulates host immunity,"MA Ingersoll, KA Kline, HV Nielsen, SJ Hultgren","Cellular microbiology 10 (12), 2568-2578",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15330410000953053223,100,2008
Epstein–Barr virus lacking latent membrane protein 2 immortalizes B cells with efficiency indistinguishable from that of wild-type virus,"P Speck, KA Kline, P Cheresh, R Longnecker","Journal of general virology 80 (8), 2193-2203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3544172777937904051,85,1999
Combinatorial small-molecule therapy prevents uropathogenic Escherichia coli catheter-associated urinary tract infections in mice,"PS Guiton, CK Cusumano, KA Kline, KW Dodson, Z Han, JW Janetka, ...","Antimicrobial agents and chemotherapy 56 (9), 4738-4745",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7144650647768994891,84,2012
Mechanism for sortase localization and the role of sortase localization in efficient pilus assembly in Enterococcus faecalis,"KA Kline, AL Kau, SL Chen, A Lim, JS Pinkner, J Rosch, SR Nallapareddy, ...","Journal of bacteriology 191 (10), 3237-3247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1500083744759143760,84,2009
Infection in an aging population,"KA Kline, DME Bowdish","Current opinion in microbiology 29, 63-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1742285277653522469,72,2016
Low-level pilin expression allows for substantial DNA transformation competence in Neisseria gonorrhoeae,"CD Long, DM Tobiason, MP Lazio, KA Kline, HS Seifert","Infection and immunity 71 (11), 6279-6291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=687729944190956131,67,2003
The metal ion-dependent adhesion site motif of the Enterococcus faecalis EbpA pilin mediates pilus function in catheter-associated urinary tract infection,"HV Nielsen, PS Guiton, KA Kline, GC Port, JS Pinkner, F Neiers, ...","MBio 3 (4), e00177-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2574546807597427237,64,2012
Streptozocin-induced diabetic mouse model of urinary tract infection,"DA Rosen, CS Hung, KA Kline, SJ Hultgren","Infection and immunity 76 (9), 4290-4298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2111227919742824742,54,2008
Loss of both Holliday junction processing pathways is synthetically lethal in the presence of gonococcal pilin antigenic variation,"EV Sechman, KA Kline, HS Seifert","Molecular microbiology 61 (1), 185-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14619726755829159994,53,2006
