Title,Authors,Platform,Cited_url,Cited_count,Year
Hexagon-based search pattern for fast block motion estimation,"C Zhu, X Lin, LP Chau","IEEE transactions on circuits and systems for video technology 12 (5), 349-355",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14421317815003218824,1114,2002
An efficient three-step search algorithm for block motion estimation,"X Jing, LP Chau","IEEE transactions on multimedia 6 (3), 435-438",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11809369445876794853,287,2004
Enhanced hexagonal search for fast block motion estimation,"C Zhu, X Lin, L Chau, LM Po","IEEE transactions on Circuits and Systems for Video Technology 14 (10), 1210 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2891166666057842478,213,2004
A novel hexagon-based search algorithm for fast block motion estimation,"C Zhu, X Lin, LP Chau, KP Lim, HA Ang, CY Ong","2001 IEEE International Conference on Acoustics, Speech, and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12630222552944993515,194,2001
Fast approach for H. 264 inter mode decision,"X Jing, LP Chau","Electronics letters 40 (17), 1050-1052",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2756715798037867598,129,2004
A nonlinear least square technique for simultaneous image registration and super-resolution,"Y He, KH Yap, L Chen, LP Chau","IEEE Transactions on Image Processing 16 (11), 2830-2841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4148511691227280188,127,2007
Fall detection based on body part tracking using a depth camera,"ZP Bian, J Hou, LP Chau, N Magnenat-Thalmann","IEEE journal of biomedical and health informatics 19 (2), 430-439",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9399813499708162817,126,2014
A motion vector recovery algorithm for digital video using Lagrange interpolation,"J Zheng, LP Chau","IEEE Transactions on broadcasting 49 (4), 383-389",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6328135591277629648,98,2003
Frame complexity-based rate-quantization model for H. 264/AVC intraframe rate control,"X Jing, LP Chau, WC Siu","IEEE Signal processing letters 15, 373-376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18247568352974081964,84,2008
A temporal error concealment algorithm for H. 264 using Lagrange interpolation,"J Zheng, LP Chau",2004 IEEE International Symposium on Circuits and Systems (IEEE Cat. No …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4699175020845005758,77,2004
GOP-based channel rate allocation using genetic algorithm for scalable video streaming over error-prone networks,"T Fang, LP Chau","IEEE Transactions on Image Processing 15 (6), 1323-1330",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=700078377867100811,76,2006
A soft MAP framework for blind super-resolution image reconstruction,"Y He, KH Yap, L Chen, LP Chau","Image and Vision Computing 27 (4), 364-373",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14831986023573004329,72,2009
Fast mode decision for spatial scalable video coding,"H Li, ZG Li, C Wen, LP Chau","2006 IEEE International Symposium on Circuits and Systems, 4 pp.",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8634119386551944767,67,2006
An efficient arbitrary downsizing algorithm for video transcoding,"H Shu, LP Chau","IEEE Transactions on Circuits and Systems for Video Technology 14 (6), 887-891",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2019816974132896446,66,2004
Recursive algorithm for the discrete cosine transform with general lengths,"LP Chau, WC Siu","Electronics Letters 30 (3), 197-198",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=451474751541948106,65,1994
Efficient motion vector recovery algorithm for H. 264 based on a polynomial model,"J Zheng, LP Chau","IEEE Transactions on Multimedia 7 (3), 507-513",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13300478622027030247,56,2005
A rain pixel recovery algorithm for videos with highly dynamic scenes,"J Chen, LP Chau","IEEE Transactions on Image Processing 23 (3), 1097-1104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7903256566449002324,52,2013
Arbitrary downsizing video transcoding using fast motion vector reestimation,"YQ Liang, LP Chau, YP Tan","IEEE Signal Processing Letters 9 (11), 352-355",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4273245996159228376,48,2002
An efficient inter mode decision approach for H. 264 video coding,"X Jing, LP Chau",2004 IEEE International Conference on Multimedia and Expo (ICME)(IEEE Cat …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18187508797402776633,46,2004
A novel intra-rate estimation method for H. 264 rate control,"X Jing, LP Chau","2006 IEEE International Symposium on Circuits and Systems, 4 pp.",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12840949305281404249,44,2006
The realization of arbitrary downsizing video transcoding,"H Shu, LP Chau","IEEE Transactions on Circuits and Systems for Video Technology 16 (4), 540-546",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4574483618149760210,43,2006
