Title,Authors,Platform,Cited_url,Cited_count,Year
Symbiotic gut microbes modulate human metabolic phenotypes,"M Li, B Wang, M Zhang, M Rantalainen, S Wang, H Zhou, Y Zhang, ...","Proceedings of the National Academy of Sciences 105 (6), 2117-2122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16398964790642826631,971,2008
Human infections with the emerging avian influenza A H7N9 virus from wet market poultry: clinical analysis and characterisation of viral genome,"Y Chen, W Liang, S Yang, N Wu, H Gao, J Sheng, H Yao, J Wo, Q Fang, ...","The Lancet 381 (9881), 1916-1925",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=993066131293873444,878,2013
Alterations of the human gut microbiome in liver cirrhosis,"N Qin, F Yang, A Li, E Prifti, Y Chen, L Shao, J Guo, E Le Chatelier, J Yao, ...","Nature 513 (7516), 59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9809609419662827724,802,2014
Altered fecal microbiota composition in patients with major depressive disorder,"H Jiang, Z Ling, Y Zhang, H Mao, Z Ma, Y Yin, W Wang, W Tang, Z Tan, ...","Brain, behavior, and immunity 48, 186-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12046624841317244578,592,2015
Characterization of fecal microbial communities in patients with liver cirrhosis,"Y Chen, F Yang, H Lu, B Wang, Y Chen, D Lei, Y Wang, B Zhu, L Li","Hepatology 54 (2), 562-572",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1659704319358364516,539,2011
Self-assembled cationic peptide nanoparticles as an efficient antimicrobial agent,"L Liu, K Xu, H Wang, PKJ Tan, W Fan, SS Venkatraman, L Li, YY Yang","Nature nanotechnology 4 (7), 457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3573891086830724296,451,2009
Rare genetic variation at ,"J Yan, CB Kandianis, CE Harjes, L Bai, EH Kim, X Yang, DJ Skinner, Z Fu, ...","Nature genetics 42 (4), 322",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=550487831240520791,387,2010
Biodegradable nanostructures with selective lysis of microbial membranes,"F Nederberg, Y Zhang, JPK Tan, K Xu, H Wang, C Yang, S Gao, XD Guo, ...","Nature chemistry 3 (5), 409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17113899605057204221,348,2011
Soft power: China's emerging strategy in international politics,"G Chen, J Chen, XCX Deng, Y Deng, J Kurlantzick, Z Pang, I Wibowo, ...",Lexington Books,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11459260695835303049,1769273170381826850",348,2009
Metagenome-wide analysis of antibiotic resistance genes in a large cohort of human gut microbiota,"Y Hu, X Yang, J Qin, N Lu, G Cheng, N Wu, Y Pan, J Li, L Zhu, X Wang, ...","Nature communications 4, 2151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6656857190726823415,344,2013
Molecular analysis of the diversity of vaginal microbiota associated with bacterial vaginosis,"Z Ling, J Kong, F Liu, H Zhu, X Chen, Y Wang, L Li, KE Nelson, Y Xia, ...","BMC genomics 11 (1), 488",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12337683073562433146,319,2010
"Infectivity, transmission, and pathology of human-isolated H7N9 influenza virus in ferrets and pigs","H Zhu, D Wang, DJ Kelvin, L Li, Z Zheng, SW Yoon, SS Wong, A Farooqui, ...","Science 341 (6142), 183-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18394263920784099209,308,2013
Definitions of terms relating to mass spectrometry (IUPAC Recommendations 2013),"KK Murray, RK Boyd, MN Eberlin, GJ Langley, L Li, Y Naito","Pure and Applied Chemistry 85 (7), 1515-1609",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16833767497142822782,288,2013
The association of measured breast tissue characteristics with mammographic density and other risk factors for breast cancer,"T Li, L Sun, N Miller, T Nicklee, J Woo, L Hulse-Smith, MS Tsao, R Khokha, ...","Cancer Epidemiology and Prevention Biomarkers 14 (2), 343-349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14905677369819005487,277,2005
Resistance of strains producing extended-spectrum β-lactamases and genotype distribution in China,"Y Yu, S Ji, Y Chen, W Zhou, Z Wei, L Li, Y Ma","Journal of Infection 54 (1), 53-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11707355877428651952,253,2007
Dysbiosis signature of fecal microbiota in colorectal cancer patients,"N Wu, X Yang, R Zhang, J Li, X Xiao, Y Hu, Y Chen, F Yang, N Lu, ...","Microbial ecology 66 (2), 462-470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10177898529430269431,240,2013
China Debates Soft Power,M Li,Chinese Journal of International Politics 2 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7145119438882903049,224,2008
Analysis of oral microbiota in children with dental caries by PCR-DGGE and barcoded pyrosequencing,"Z Ling, J Kong, P Jia, C Wei, Y Wang, Z Pan, W Huang, L Li, H Chen, ...","Microbial ecology 60 (3), 677-690",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1351108132261497790,218,2010
Combination therapy of prednisone and ACE inhibitor versus ACE-inhibitor therapy alone in patients with IgA nephropathy: a randomized controlled trial,"J Lv, H Zhang, Y Chen, G Li, L Jiang, AK Singh, H Wang","American Journal of Kidney Diseases 53 (1), 26-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3700322341187324090,197,2009
