Title,Authors,Platform,Cited_url,Cited_count,Year
Algorithms for allocating wavelength converters in all-optical networks,"G Xiao, YW Leung","IEEE/ACM Transactions on networking 7 (4), 545-557",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=988920370095241620,139,1999
Analysis of blocking probability for distributed lightpath establishment in WDM optical networks,"K Lu, G Xiao, I Chlamtac","IEEE/ACM Transactions on networking 13 (1), 187-197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4474641694016203182,137,2005
Clustering algorithms for maximizing the lifetime of wireless sensor networks with energy-harvesting sensors,"P Zhang, G Xiao, HP Tan","Computer Networks 57 (14), 2689-2704",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8822844598830977072,125,2013
"False data injection on state estimation in power systems—Attacks, impacts, and defense: A survey","R Deng, G Xiao, R Lu, H Liang, AV Vasilakos","IEEE Transactions on Industrial Informatics 13 (2), 411-423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14571777129472445772,117,2016
Defending against false data injection attacks on power system state estimation,"R Deng, G Xiao, R Lu","IEEE Transactions on Industrial Informatics 13 (1), 198-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2890845015701532426,111,2015
An adaptive routing algorithm for wavelength-routed optical networks with a distributed control scheme,"JP Jue, G Xiao",Proceedings Ninth International Conference on Computer Communications and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=413105475981870682,89,2000
A robust optimization approach for energy generation scheduling in microgrids,"R Wang, P Wang, G Xiao","Energy Conversion and Management 106, 597-607",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11688630435484356574,76,2015
Intermediate-node initiated reservation (IIR): a new signaling scheme for wavelength-routed networks,"K Lu, JP Jue, G Xiao, I Chlamtac, T Ozugur","IEEE Journal on Selected Areas in Communications 21 (8), 1285-1294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1600947027822273796,70,2003
Power demand and supply management in microgrids with uncertainties of renewable energies,"R Wang, P Wang, G Xiao, S Gong","International Journal of Electrical Power & Energy Systems 63, 260-269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5075507105300045698,64,2014
Fast distributed demand response with spatially and temporally coupled constraints in smart grid,"R Deng, G Xiao, R Lu, J Chen","IEEE Transactions on Industrial informatics 11 (6), 1597-1606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=178094331437187487,62,2015
System crash as dynamics of complex networks,"Y Yu, G Xiao, J Zhou, Y Wang, Z Wang, J Kurths, HJ Schellnhuber","Proceedings of the National Academy of Sciences 113 (42), 11726-11731",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13211134045465622883,61,2016
Two-stage mechanism for massive electric vehicle charging involving renewable energy,"R Wang, P Wang, G Xiao","IEEE Transactions on Vehicular Technology 65 (6), 4159-4171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4539273170210388769,57,2016
Blocking analysis of dynamic lightpath establishment in wavelength-routed networks,"K Lu, G Xiao, I Chlamtac",2002 IEEE International Conference on Communications. Conference Proceedings …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17875303384519929505,56,2002
Tolerance of intentional attacks in complex communication networks,"S Xiao, G Xiao, TH Cheng","IEEE Communications Magazine 46 (1), 146-152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15320314968094064021,53,2008
Epidemic reemergence in adaptive complex networks,"J Zhou, G Xiao, SA Cheong, X Fu, L Wong, S Ma, TH Cheng","Physical Review E 85 (3), 036107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16922441810585953384,52,2012
Analysis of blocking probability for connection management schemes in optical networks,"JP Jue, G Xiao",GLOBECOM'01. IEEE Global Telecommunications Conference (Cat. No. 01CH37270 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12672326229332521278,51,2001
Minimum-cost control of complex networks,"G Li, W Hu, G Xiao, L Deng, P Tang, J Pei, L Shi","New Journal of Physics 18 (1), 013012",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13307664456713811700,49,2015
Dynamics of competing ideas in complex social systems,"Y Wang, G Xiao, J Liu","New Journal of Physics 14 (1), 013015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8295062191356371854,48,2012
An analytical method for PID controller tuning with specified gain and phase margins for integral plus time delay processes,"W Hu, G Xiao, X Li","ISA transactions 50 (2), 268-276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1948844593278687044,46,2011
Evolutionary algorithms refining a heuristic: A hybrid method for shared-path protections in WDM networks under SRLG constraints,"Q Zhang, J Sun, G Xiao, E Tsang","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 37 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10276464285119608979,45,2007
Imperfect targeted immunization in scale-free networks,"Y Wang, G Xiao, J Hu, TH Cheng, L Wang","Physica A: Statistical Mechanics and its Applications 388 (12), 2535-2546",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8578551981810277469,39,2009
Two-stage cut saturation algorithm for designing all-optical networks,"G Xiao, YW Leung, KW Hung","IEEE Transactions on Communications 49 (6), 1102-1115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9448581594347545537,37,2001
Epidemics spreading in interconnected complex networks,"Y Wang, G Xiao","Physics Letters A 376 (42-43), 2689-2696",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17291104999764983720,29,2012
Performance comparison of using SOA and HNLF as FWM medium in a wavelength multicasting scheme with reduced polarization sensitivity,"D Wang, TH Cheng, YK Yeo, Z Xu, Y Wang, G Xiao, J Liu","Journal of Lightwave Technology 28 (24), 3497-3505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3663228195789844872,29,2010
Algorithms for finding best locations of cluster heads for minimizing energy consumption in wireless sensor networks,"Y Li, G Xiao, G Singh, R Gupta","Wireless Networks 19 (7), 1755-1768",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8799746330027710938,26,2013
Local self-optimizing control of constrained processes,"W Hu, LM Umar, G Xiao, V Kariwala","Journal of Process Control 22 (2), 488-493",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13042648689252852394,25,2012
Robustness of scale-free networks under rewiring operations,"S Xiao, G Xiao, TH Cheng, S Ma, X Fu, H Soh","EPL (Europhysics Letters) 89 (3), 38002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13928806734825851707,24,2010
Decentralized control system design for MIMO processes with integrators/differentiators,"W Hu, WJ Cai, G Xiao","Industrial & Engineering Chemistry Research 49 (24), 12521-12528",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=88450791285340275,23,2010
A preliminary study on lifetime maximization in clustered wireless sensor networks with energy harvesting nodes,"P Zhang, G Xiao, HP Tan","2011 8th International Conference on Information, Communications & Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1132527223543819868,22,2011
Benefits of advertising wavelength availability in distributed lightpath establishment,"S Shen, G Xiao, TH Cheng","Computer Networks 50 (13), 2364-2379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4864883582340707213,22,2006
An adaptive routing algorithm with a distributed control scheme for wavelength-routed optical networks,JP Jue,"Proc., 9th lnt'l. Conf. CompCommun. Net., Las Vegas, NV, Oct. 2000",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9009442441606108794,22,2000
Evaluating temporal factors in combined interventions of workforce shift and school closure for mitigating the spread of influenza,"T Zhang, X Fu, S Ma, G Xiao, L Wong, CK Kwoh, M Lees, GKK Lee, ...","PloS one 7 (3), e32203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16332854429827320612,21,2012
On the benefits of multifiber optical packet switch,"Y Li, G Xiao, H Ghafouri‐Shiraz","Microwave and Optical Technology Letters 43 (5), 376-378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4303673407422090831,21,2004
PID controller design based on two-degrees-of-freedom direct synthesis,"W Hu, G Xiao, WJ Cai","2011 Chinese Control and Decision Conference (CCDC), 629-634",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16336717726984515647,20,2011
Evaluating the impact of the link-state update period on the blocking performance of wavelength-routed networks,"S Shen, G Xiao, TH Cheng","Optical Fiber Communication Conference, 2004. OFC 2004 2, 3 pp. vol. 2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5074981627695032190,20,2004
Design of node configuration for all-optical multi-fiber networks,"YW Leung, G Xiao, KW Hung","IEEE Transactions on communications 50 (1), 135-145","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1043226498179844824,7936681459290385735",20,2002
Effects of interconnections on epidemics in network of networks,"Y Wang, G Xiao","2011 7th International Conference on Wireless Communications, Networking and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1701435112700533491,19,2011
Key node selection for containing infectious disease spread using particle swarm optimization,"X Fu, S Lim, L Wang, G Lee, S Ma, L Wong, G Xiao","2009 IEEE Swarm Intelligence Symposium, 109-113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2032602793929438969,19,2009
"Virus Propagation and Patch Distribution in Multiplex Networks: Modeling, Analysis, and Optimal Allocation","D Zhao, L Wang, Z Wang, G Xiao","IEEE Transactions on Information Forensics and Security 14 (7), 1755-1767",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8859053885020213160,18,2018
Hybrid centralized-decentralized (HCD) charging control of electric vehicles,"R Wang, G Xiao, P Wang","IEEE Transactions on Vehicular Technology 66 (8), 6728-6741",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=370629720396933385,18,2017
The robustness of interdependent networks under the interplay between cascading failures and virus propagation,"D Zhao, Z Wang, G Xiao, B Gao, L Wang","EPL (Europhysics Letters) 115 (5), 58004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17309489976811073853,18,2016
Event detection in wireless sensor networks in random spatial sensors deployments,"P Zhang, I Nevat, GW Peters, G Xiao, HP Tan","IEEE Transactions on Signal Processing 63 (22), 6122-6135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6561802635309542618,18,2015
Evaluating link-state update triggers in wavelength-routed networks,"S Shen, G Xiao, TH Cheng","Network Architectures, Management, and Applications II 5626, 244-248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4677482467179694321,18,2005
Link-based formalism for time evolution of adaptive networks,"J Zhou, G Xiao, G Chen","Physical Review E 88 (3), 032808",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15885190728450209697,17,2013
All-optical modulation-transparent wavelength multicasting in a highly nonlinear fiber Sagnac loop mirror,"D Wang, TH Cheng, YK Yeo, J Liu, Z Xu, Y Wang, G Xiao","Optics express 18 (10), 10343-10353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4351251735973106270,17,2010
Relative gain array for MIMO processes containing integrators and/or differentiators,"W Hu, WJ Cai, G Xiao",2010 11th International Conference on Control Automation Robotics & Vision …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12842160154194837229,16,2010
Design of congestion control based on instantaneous queue sizes in the routers,"W Hu, G Xiao","GLOBECOM 2009-2009 IEEE Global Telecommunications Conference, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15797887481961501537,16,2009
A novel method of link-state update in wavelength-routed networks,"S Shen, G Xiao, TH Cheng","Journal of lightwave technology 24 (3), 1112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10238289129454721187,16,2006
Behavior of distributed wavelength provisioning in wavelength-routed networks with partial wavelength conversion,"K Lu, G Xiao, I Chlamtac",IEEE INFOCOM 2003. Twenty-second Annual Joint Conference of the IEEE …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7262657384283431186,16,2003
Temporal factors in school closure policy for mitigating the spread of influenza,"T Zhang, X Fu, CK Kwoh, G Xiao, L Wong, S Ma, H Soh, GKK Lee, T Hung, ...","Journal of public health policy 32 (2), 180-197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4617898164934736827,15,2011
An evaluation of distributed parallel reservations in wavelength-routed networks,"J Liu, G Xiao, K Lu, I Chlamtac","IEEE Journal on Selected Areas in Communications 25 (9), 27-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14550951738372933221,15,2007
An evaluation of distributed wavelength provisioning in WDM optical networks with sparse wavelength conversion,"G Xiao, K Lu, I Chlamtac","Journal of lightwave technology 22 (7), 1668",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3543887109025569831,14,2004
Dynamic multicast traffic grooming in optical WDM mesh networks: Lightpath versus light-tree,"X Yu, G Xiao, TH Cheng","IEEE/OSA Journal of Optical Communications and Networking 5 (8), 870-880",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16300112289083319212,13,2013
Hpcgen a fast generator of contact networks of large urban cities for epidemiological studies,"T Zhang, SH Soh, X Fu, KK Lee, L Wong, S Ma, G Xiao, CK Kwoh","2009 International Conference on Computational Intelligence, Modelling and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8138216834471030075,13,2009
Simple analytic formulas for PID tuning,"W Hu, G Xiao, WJ Cai",2010 11th International Conference on Control Automation Robotics & Vision …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15833771799706221547,12,2010
Heuristic for the maximum disjoint paths problem in wavelength-routed networks with shared-risk link groups,"G Xiao, X Pan","Journal of Optical Networking 3 (1), 38-49",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10716070952278524289,12,2004
