Title,Authors,Platform,Cited_url,Cited_count,Year
Relationship between space-vector modulation and three-phase carrier-based PWM: a comprehensive analysis [three-phase inverters],"K Zhou, D Wang","IEEE transactions on industrial electronics 49 (1), 186-196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16029082477121385368,1125,2002
Feedback stabilization and tracking of constrained robots,"NH McClamroch, D Wang","IEEE Transactions on Automatic Control 33 (5), 419-426",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14177616890253090511,851,1988
Digital repetitive controlled three-phase PWM rectifier,"K Zhou, D Wang","IEEE transactions on power electronics 18 (1), 309-316",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3518787782192280866,259,2003
Linear phase lead compensation repetitive control of a CVCF PWM inverter,"B Zhang, D Wang, K Zhou, Y Wang","IEEE Transactions on Industrial Electronics 55 (4), 1595-1602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3956179356109052114,251,2008
Digital repetitive learning controller for three-phase CVCF PWM inverter,"K Zhou, D Wang","IEEE Transactions on Industrial Electronics 48 (4), 820-830",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11352317243960278493,234,2001
Iterative learning control with initial rectifying action,"M Sun, D Wang","Automatica 38 (7), 1177-1182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5562126083752925333,210,2002
Dynamic surface control of constrained hypersonic flight models with parameter estimation and actuator compensation,"B Xu, X Huang, D Wang, F Sun","Asian Journal of Control 16 (1), 162-174",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1391852981413969538,200,2014
A fuzzy controller with supervised learning assisted reinforcement learning algorithm for obstacle avoidance,"C Ye, NHC Yung, D Wang","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 33 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=955348046352125209,188,2003
Modeling and analysis of skidding and slipping in wheeled mobile robots: Control design perspective,"D Wang, CB Low","IEEE Transactions on Robotics 24 (3), 676-687",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1535006112839900621,183,2008
Zero-phase odd-harmonic repetitive controller for a single-phase PWM inverter,"K Zhou, KS Low, D Wang, FL Luo, B Zhang, Y Wang","IEEE Transactions on Power Electronics 21 (1), 193-201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2195864241990709426,182,2006
Sparse extreme learning machine for classification,"Z Bai, GB Huang, D Wang, H Wang, MB Westover","IEEE transactions on cybernetics 44 (10), 1858-1870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13580714037887348501,171,2014
Learning impedance control for robotic manipulators,"CC Cheah, D Wang","IEEE Transactions on Robotics and Automation 14 (3), 452-465",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18124288375963040354,168,1998
Convergence and robustness of discrete time nonlinear systems with iterative learning control,D Wang,"Automatica 34 (11), 1445-1448",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4342648599608793638,149,1998
Plug-in dual-mode-structure repetitive controller for CVCF PWM inverters,"K Zhou, D Wang, B Zhang, Y Wang","IEEE Transactions on Industrial Electronics 56 (3), 784-791",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6516472138884795965,143,2008
Initial shift issues on discrete-time iterative learning control with system relative degree,"M Sun, D Wang","IEEE Transactions on Automatic Control 48 (1), 144-148",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13271581525438125141,140,2003
Trajectory planning for a four-wheel-steering vehicle,"D Wang, F Qi",Proceedings 2001 ICRA. IEEE International Conference on Robotics and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13308914617875375474,138,2001
Distributed traffic signal control for maximum network throughput,"T Wongpiromsarn, T Uthaicharoenpong, Y Wang, E Frazzoli, D Wang",2012 15th international IEEE conference on intelligent transportation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=296168204706599482,124,2012
CPG-inspired workspace trajectory generation and adaptive locomotion control for quadruped robots,"C Liu, Q Chen, D Wang","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 41 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11257556518991911710,124,2011
On D-type and P-type ILC designs and anticipatory approach,D Wang,"International Journal of Control 73 (10), 890-901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18130010346539599029,122,2000
GPS-based path following control for a car-like wheeled mobile robot with skidding and slipping,"CB Low, D Wang","IEEE Transactions on control systems technology 16 (2), 340-347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13290621001841872043,120,2008
Full-state tracking and internal dynamics of nonholonomic wheeled mobile robots,"D Wang, G Xu","IEEE/ASME Transactions on mechatronics 8 (2), 203-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15764767578214769029,116,2003
