Title,Authors,Platform,Cited_url,Cited_count,Year
Low‐Symmetry Monoclinic Phases and Polarization Rotation Path Mediated by Epitaxial Strain in Multiferroic BiFeO,"Z Chen, Z Luo, C Huang, Y Qi, P Yang, L You, C Hu, T Wu, J Wang, ...","Advanced Functional Materials 21 (1), 133-138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=837710322039263790,207,2011
Interface reaction between copper and molten tin–lead solders,"KH Prakash, T Sritharan","Acta Materialia 49 (13), 2481-2489",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=870938288632583751,187,2001
Chemically and uniformly grafting carbon nanotubes onto carbon fibers by poly (amidoamine) for enhancing interfacial strength in carbon fiber composites,"Q Peng, X He, Y Li, C Wang, R Wang, PA Hu, Y Yan, T Sritharan","Journal of Materials Chemistry 22 (13), 5928-5931",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9714485932049736807,147,2012
Large strain and high energy storage density in orthorhombic perovskite (Pb0. 97La0. 02)(Zr1− x− ySnxTiy) O3 antiferroelectric thin films,"MS Mirshekarloo, K Yao, T Sritharan",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12501833118720817322,144,2010
Investigating the multiple roles of polyvinylpyrrolidone for a general methodology of oxide encapsulation,"H Sun, J He, J Wang, SY Zhang, C Liu, T Sritharan, S Mhaisalkar, MY Han, ...","Journal of the American Chemical Society 135 (24), 9099-9110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16164262153671657768,142,2013
Interfacial enhancement of carbon fiber composites by poly (amido amine) functionalization,"Q Peng, Y Li, X He, H Lv, P Hu, Y Shang, C Wang, R Wang, T Sritharan, ...","Composites Science and Technology 74, 37-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3600535313690624813,126,2013
Nonlinear dielectric thin films for high-power electric storage with energy density comparable with electrochemical supercapacitors,"K Yao, S Chen, M Rahimabady, MS Mirshekarloo, S Yu, FEH Tay, ...","IEEE transactions on ultrasonics, ferroelectrics, and frequency control 58 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14499657491539982265,124,2011
Iron pyrite thin film counter electrodes for dye-sensitized solar cells: high efficiency for iodine and cobalt redox electrolyte cells,"S Shukla, NH Loc, PP Boix, TM Koh, RR Prabhakar, HK Mulmudi, J Zhang, ...","ACS nano 8 (10), 10597-10605",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4058773418634115766,120,2014
Kinetic analysis of matrix metalloproteinase activity using fluorogenic triple-helical substrates,"JL Lauer-Fields, T Broder, T Sritharan, L Chung, H Nagase, GB Fields","Biochemistry 40 (19), 5795-5803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2312365380085513119,102,2001
Selective hydrolysis of triple-helical substrates by matrix metalloproteinase-2 and-9,"JL Lauer-Fields, T Sritharan, MS Stack, H Nagase, GB Fields","Journal of Biological Chemistry 278 (20), 18140-18145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5085010175549911171,101,2003
Coexistence of ferroelectric triclinic phases in highly strained BiFeO 3 films,"Z Chen, S Prosandeev, ZL Luo, W Ren, Y Qi, CW Huang, L You, C Gao, ...","Physical Review B 84 (9), 094116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2993523394375276630,96,2011
Influence of titanium to boron ratio on the ability to grain refine aluminium-silicon alloys,"T Sritharan, H Li","Journal of Materials Processing Technology 63 (1-3), 585-589",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7619283492904148396,93,1997
Ultrathin MnO 2 nanoflakes as efficient catalysts for oxygen reduction reaction,"C Wei, L Yu, C Cui, J Lin, C Wei, N Mathews, F Huo, T Sritharan, Z Xu","Chemical Communications 50 (58), 7885-7888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=974067013409741482,88,2014
Production and annealing of nanocrystalline Fe–Si and Fe–Si–Al alloy powders,"B Zuo, N Saraswati, T Sritharan, HH Hng","Materials Science and Engineering: A 371 (1-2), 210-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1898913719771776593,81,2004
Microstructural phase evaluation of high-nitrogen Fe–Cr–Mn alloy powders synthesized by the mechanical alloying process,"R Amini, MJ Hadianfard, E Salahinejad, M Marasi, T Sritharan","Journal of materials science 44 (1), 136-148",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12440177077423007485,78,2009
Multiferroic properties of sputtered ,"Y Li, T Sritharan, S Zhang, X He, Y Liu, T Chen","Applied Physics Letters 92 (13), 132908",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6357369836804948811,72,2008
Effects of dissolved nitrogen in improving barrier properties of ruthenium,"M Damayanti, T Sritharan, SG Mhaisalkar, ZH Gan","Applied physics letters 88 (4), 044101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18292829304935776144,72,2006
Nanoscale domains in strained epitaxial ,"Z Chen, L You, C Huang, Y Qi, J Wang, T Sritharan, L Chen","Applied Physics Letters 96 (25), 252903",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5429952263583929795,71,2010
"Ruthenium barrier/seed layer for Cu/low-κ metallization crystallographic texture, roughness, diffusion, and adhesion","M Damayanti, T Sritharan, ZH Gan, SG Mhaisalkar, N Jiang, L Chan","Journal of The Electrochemical Society 153 (6), J41-J45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17933458306578842372,65,2006
Ordering and grain growth in nanocrystalline Fe75Si25 alloy,"B Zuo, T Sritharan","Acta Materialia 53 (4), 1233-1239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1381036293607117271,62,2005
Pulsed laser ablation of preferentially orientated ZnO: Co diluted magnetic semiconducting thin films on Si substrates,"YB Zhang, Q Liu, T Sritharan, CL Gan, S Li","Applied physics letters 89 (4), 042510",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=79544983844956270,61,2006
Effects of processing parameters on the performance of Al grain refinement master alloys Al Ti and Al B in small ingots,"H Li, T Sritharan, YM Lam, NY Leng","Journal of Materials Processing Technology 66 (1-3), 253-257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1781086397242810401,60,1997
Low symmetry monoclinic ,"Z Chen, Z Luo, Y Qi, P Yang, S Wu, C Huang, T Wu, J Wang, C Gao, ...","Applied Physics Letters 97 (24), 242903",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17158964210628467261,57,2010
Study of strain effect on in-plane polarization in epitaxial BiFeO 3 thin films using planar electrodes,"Z Chen, X Zou, W Ren, L You, C Huang, Y Yang, P Yang, J Wang, ...","Physical Review B 86 (23), 235125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4392892414238875648,55,2012
Adhesion study of low-k/Si system using 4-point bending and nanoscratch test,"M Damayanti, J Widodo, T Sritharan, SG Mhaisalkar, W Lu, ZH Gan, ...","Materials Science and Engineering: B 121 (3), 193-198",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5474651053549104331,55,2005
Tensile fracture of tin–lead solder joints in copper,"KH Prakash, T Sritharan","Materials Science and Engineering: A 379 (1-2), 277-285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2762838543777924666,55,2004
"Tuning the interfacial property of hierarchical composites by changing the grafting density of carbon nanotube using 1, 3-propodiamine","Y Li, Y Li, Y Ding, Q Peng, C Wang, R Wang, T Sritharan, X He, S Du","Composites Science and Technology 85, 36-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16526493034223965519,53,2013
