Title,Authors,Platform,Cited_url,Cited_count,Year
Hardware Trojan Horses in Cryptographic IP Cores,"S Bhasin, JL Danger, S Guilley, XT Ngo, L Sauvage","Fault Diagnosis and Tolerance in Cryptography (FDTC), 2013 Workshop on, 15-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9600560060957457075,92,2013
BCDL: a high speed balanced DPL for FPGA with global precharge and no early evaluation,"M Nassar, S Bhasin, JL Danger, G Duc, S Guilley","Proceedings of the Conference on Design, Automation and Test in Europe, 849-854",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8810039117426283743,78,2010
WDDL is protected against setup time violation attacks,"N Selmane, S Bhasin, S Guilley, T Graba, JL Danger","Fault Diagnosis and Tolerance in Cryptography (FDTC), 2009 Workshop on, 73-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3813425932192394398,55,2009
A survey on hardware trojan detection techniques,"S Bhasin, F Regazzoni","Circuits and Systems (ISCAS), 2015 IEEE International Symposium on, 2021-2024",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=492970215008407348,53,2015
NICV: Normalized Inter-Class Variance for Detection of Side-Channel Leakage.,"S Bhasin, JL Danger, S Guilley, Z Najm","IACR Cryptology ePrint Archive 2013, 717",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5987842944050711786,49,2013
Overview of dual rail with precharge logic styles to thwart implementation-level attacks on hardware cryptoprocessors,"JL Danger, S Guilley, S Bhasin, M Nassar","Signals, Circuits and Systems (SCS), 2009 3rd International Conference on, 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17504670755725682950,42,2009
Linear complementary dual code improvement to strengthen encoded circuit against hardware Trojan horses,"XT Ngo, S Bhasin, JL Danger, S Guilley, Z Najm","Hardware Oriented Security and Trust (HOST), 2015 IEEE International …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15314532563371260982,40,2015
Countering early evaluation: an approach towards robust dual-rail precharge logic,"S Bhasin, S Guilley, F Flament, N Selmane, JL Danger","Proceedings of the 5th Workshop on Embedded Systems Security, 6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5769879137478819733,35,2010
The curse of class imbalance and conflicting metrics with machine learning for side-channel evaluations,"S Picek, A Heuser, A Jovic, S Bhasin, F Regazzoni",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10120593477936271234,29,2018
Side-channel leakage and trace compression using normalized inter-class variance,"S Bhasin, JL Danger, S Guilley, Z Najm",Proceedings of the Third Workshop on Hardware and Architectural Support for …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=115191906449162850,29,2014
