Title,Authors,Platform,Cited_url,Cited_count,Year
Kinematics and dynamics of machinery,"CE Wilson, JP Sadler, WJ Michels",Pearson Education,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=729810320331114985,327,2003
Force-closure workspace analysis of cable-driven parallel mechanisms,"CB Pham, SH Yeo, G Yang, MS Kurbanhusen, IM Chen","Mechanism and Machine Theory 41 (1), 53-69",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5936755829802869347,203,2006
Stiffness modeling of flexure parallel mechanism,"HH Pham, IM Chen","Precision Engineering 29 (4), 467-478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1186873656880475911,162,2005
Determining task optimal modular robot assembly configurations,"IM Chen, JW Burdick",proceedings of 1995 IEEE International Conference on Robotics and Automation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1480093921575278058,162,1995
Analytical and experimental investigation on the magnetic field and torque of a permanent magnet spherical actuator,"L Yan, IM Chen, G Yang, KM Lee","IEEE/ASME Transactions on Mechatronics 11 (4), 409-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6326948299792615859,152,2006
Local POE model for robot kinematic calibration,"IM Chen, G Yang, CT Tan, SH Yeo","Mechanism and Machine Theory 36 (11-12), 1215-1239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16194599022205790396,150,2001
Design and analysis of a permanent magnet spherical actuator,"L Yan, IM Chen, CK Lim, G Yang, W Lin, KM Lee","IEEE/ASME Transactions on mechatronics 13 (2), 239-248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8173817149301370519,146,2008
Workspace generation and planning singularity-free path for parallel manipulators,"AK Dash, IM Chen, SH Yeo, G Yang","Mechanism and Machine Theory 40 (7), 776-805",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12607980403106329533,134,2005
A wearable sensing system for tracking and monitoring of functional arm movement,"KD Nguyen, IM Chen, Z Luo, SH Yeo, HBL Duh","IEEE/ASME Transactions on mechatronics 16 (2), 213-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=191529158244124652,126,2010
A review on the use of robots in education and young children,"LPE Toh, A Causo, PW Tzuo, IM Chen, SH Yeo","Journal of Educational Technology & Society 19 (2), 148-163",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3643536604332301825,122,2016
