Title,Authors,Platform,Cited_url,Cited_count,Year
"Synthesis, functionalization, and biomedical applications of multifunctional magnetic nanoparticles","R Hao, R Xing, Z Xu, Y Hou, S Gao, S Sun","Advanced Materials 22 (25), 2729-2742",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18376350363536943229,1216,2010
Platinum− gold nanoparticles: a highly active bifunctional electrocatalyst for rechargeable lithium− air batteries,"YC Lu, Z Xu, HA Gasteiger, S Chen, K Hamad-Schifferli, Y Shao-Horn","Journal of the American Chemical Society 132 (35), 12170-12171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13149533664194961085,1081,2010
Magnetic Core/Shell Fe,"Z Xu, Y Hou, S Sun","Journal of the American Chemical Society 129 (28), 8698-8699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14353154739813139952,825,2007
Recent development of molybdenum sulfides as advanced electrocatalysts for hydrogen evolution reaction,"Y Yan, BY Xia, Z Xu, X Wang","Acs Catalysis 4 (6), 1693-1705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5062077482138683673,521,2014
Oleylamine as both reducing agent and stabilizer in a facile synthesis of magnetite nanoparticles,"Z Xu, C Shen, Y Hou, H Gao, S Sun","Chemistry of Materials 21 (9), 1778-1780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3579076218392433867,509,2009
Black phosphorus quantum dots,"X Zhang, H Xie, Z Liu, C Tan, Z Luo, H Li, J Lin, L Sun, W Chen, Z Xu, ...","Angewandte chemie international edition 54 (12), 3653-3657",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17636940201119207573,384,2015
Well-dispersed single-walled carbon nanotube/polyaniline composite films,"JE Huang, XH Li, JC Xu, HL Li","Carbon 41 (14), 2731-2736",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6408555290420575598,344,2003
Controlled synthesis and chemical conversions of FeO nanoparticles,"Y Hou, Z Xu, S Sun","Angewandte Chemie International Edition 46 (33), 6329-6332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7586033143260547796,308,2007
Recent developments in electrode materials for sodium-ion batteries,"LP Wang, L Yu, X Wang, M Srinivasan, ZJ Xu","Journal of Materials Chemistry A 3 (18), 9353-9378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7420846777706124295,295,2015
Formation of uniform Fe3O4 hollow spheres organized by ultrathin nanosheets and their excellent lithium storage properties,"FX Ma, H Hu, HB Wu, CY Xu, Z Xu, L Zhen","Advanced Materials 27 (27), 4097-4101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7176793849089905626,274,2015
Core/shell nanoparticles as electrocatalysts for fuel cell reactions,"J Luo, L Wang, D Mott, PN Njoki, Y Lin, T He, Z Xu, BN Wanjana, I Lim, ...","Advanced Materials 20 (22), 4342-4347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15723217285890401837,266,2008
Encapsulating MWNTs into Hollow Porous Carbon Nanotubes: A Tube‐in‐Tube Carbon Nanostructure for High‐Performance Lithium‐Sulfur Batteries,"Y Zhao, W Wu, J Li, Z Xu, L Guan","Advanced materials 26 (30), 5113-5118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1118405615626769445,256,2014
Highly Ordered Self-Assembly with Large Area of Fe,"T Yang, C Shen, Z Li, H Zhang, C Xiao, S Chen, Z Xu, D Shi, J Li, H Gao","The Journal of Physical Chemistry B 109 (49), 23233-23236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15593119810650644334,230,2005
A review on design strategies for carbon based metal oxides and sulfides nanocomposites for high performance Li and Na ion battery anodes,"Y Zhao, LP Wang, MT Sougrati, Z Feng, Y Leconte, A Fisher, M Srinivasan, ...",Advanced Energy Materials 7 (9),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=250438934826599338,228,2017
Recent progress in layered transition metal carbides and/or nitrides (MXenes) and their composites: synthesis and applications,"VMH Ng, H Huang, K Zhou, PS Lee, W Que, JZ Xu, LB Kong","Journal of Materials Chemistry A 5 (7), 3039-3068",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13640549310510780543,228,2017
Linking Hydrophilic Macromolecules to Monodisperse Magnetite (Fe,"J Xie, C Xu, Z Xu, Y Hou, KL Young, SX Wang, N Pourmand, S Sun","Chemistry of Materials 19 (5), 1202-1202","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12709892605613884778,14909378435780296287",226,2007
Linking Hydrophilic Macromolecules to Monodisperse Magnetite (Fe,"J Xie, C Xu, Z Xu, Y Hou, KL Young, SX Wang, N Pourmand, S Sun","Chemistry of Materials 18 (23), 5401-5403",,215,2006
Surface composition tuning of Au–Pt bimetallic nanoparticles for enhanced carbon monoxide and methanol electro-oxidation,"J Suntivich, Z Xu, CE Carlton, J Kim, B Han, SW Lee, N Bonnet, N Marzari, ...","Journal of the American Chemical Society 135 (21), 7985-7991",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6726540880439547049,199,2013
"A Voltage‐Boosting Strategy Enabling a Low‐Frequency, Flexible Electromagnetic Wave Absorption Device","H Lv, Z Yang, PL Wang, G Ji, J Song, L Zheng, H Zeng, ZJ Xu","Advanced Materials, 1706343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2471218615718496326,188,2018
Vertically oriented MoS 2 and WS 2 nanosheets directly grown on carbon cloth as efficient and stable 3-dimensional hydrogen-evolving cathodes,"Y Yan, BY Xia, N Li, Z Xu, A Fisher, X Wang","Journal of Materials Chemistry A 3 (1), 131-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=155398597505247225,186,2015
