Title,Authors,Platform,Cited_url,Cited_count,Year
Tunneling and propping: A justification for pyramidal ownership,"YE Riyanto, LA Toolsema","Journal of Banking & Finance 32 (10), 2178-2187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16701325184103045408,239,2008
Finance and trade: A cross-country empirical analysis on the impact of financial development and asset tangibility on international trade,"J Hur, M Raj, YE Riyanto","World Development 34 (10), 1728-1741",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13647182523495916596,198,2006
The strategic use of corporate venture financing for securing demand,"YE Riyanto, A Schwienbacher","Journal of Banking & Finance 30 (10), 2809-2833","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1681223373512502865,17800223710036735798,12411651401386543419",82,2006
Would you pay for transparently useless advice? A test of boundaries of beliefs in the folly of predictions,"N Powdthavee, YE Riyanto","Review of Economics and Statistics 97 (2), 257-272","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12444860600922307557,16375785270694652575,4000726237339899287,8269390659610957728,12045433852651108306",46,2015
Information as a regulatory instrument to price biodiversity benefits: certification and ecolabeling policy practices,"PALD Nunes, YE Riyanto","Biodiversity & Conservation 14 (8), 2009-2027","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11070838846194092472,4009695918281957925,8707256635942864916,14000773773238556356,15176498764623118484",41,2005
Cross‐Border M&A Inflows And Quality Of Country Governance: Developing Versus Developed Countries,"J Hur, RA Parinduri, YE Riyanto","Pacific Economic Review 16 (5), 638-655","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16336991082066387273,735569049320964137,1632862457078856146",38,2011
Corporate Social Responsibility in a Corporate Governance Framework,"YE Riyanto, LA Toolsema",Available at SSRN 987962,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7063406478358266644,10308707060746262081,9489800256734299401",35,0
Exchange rate pass‐through in vertically related markets,"Y Aksoy, YE Riyanto","Review of International Economics 8 (2), 235-251",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5176993371156159771,33,2000
"Outsourcing types, relative wages, and the demand for skilled workers: New evidence from US manufacturing","A Chongvilaivan, J Hur, YE Riyanto","Economic Inquiry 47 (1), 18-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9256716088605049147,30,2009
Gain and loss domains and the choice of welfare measure of positive and negative changes,"JL Knetsch, YE Riyanto, J Zong","Journal of Benefit-Cost Analysis 3 (4), 1-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6210953521163776625,26,2012
How does voice matter? Evidence from the ultimatum game,"Q Ong, YE Riyanto, SM Sheffrin","Experimental Economics 15 (4), 604-621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10709046898487550781,25,2012
Essays on the internal and external delegation of authority in firms,Y Riyanto,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4480310180135616839,24,2000
"Corporate takeovers, bargaining and managers' incentives to invest","M Canoy, YE Riyanto, P Van Cayseele","Managerial and Decision Economics 21 (1), 1-18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7419587899696318137,4106619443467082681",22,2000
The effects of takeover threats on shareholders and firm value,"MA Haan, Y Riyanto","Journal of Economic Behavior & Organization 59 (1), 45-68","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3679685405552966801,11736106422962179598",17,2006
Category reporting in charitable giving: an experimental analysis,"J Li, YE Riyanto","Economic Inquiry 55 (1), 397-408","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16269962022113796939,9087528073986979272",15,2017
Signaling strength? An analysis of decision making in ,"MA Haan, B Los, YE Riyanto","Theory and decision 71 (4), 519-537","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12846766523075337017,15637462398602960845,5861361589026862883,4801349753070353378",14,2011
Riding along a bumpy road: Indonesian economy in an emerging democratic era,"A Ananta, YE Riyanto","ASEAN Economic Bulletin 23 (1), 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2040767791637245376,14,2006
