Title,Authors,Platform,Cited_url,Cited_count,Year
Neuroanatomical and neurochemical substrates of timing,"JT Coull, RK Cheng, WH Meck","Neuropsychopharmacology 36 (1), 3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17141932293977525760,617,2011
Differential effects of cocaine and ketamine on time estimation: implications for neurobiological models of interval timing,"RK Cheng, CJ MacDonald, WH Meck","Pharmacology Biochemistry and Behavior 85 (1), 114-122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11585176784950671470,126,2006
Ketamine “unlocks” the reduced clock-speed effects of cocaine following extended training: evidence for dopamine–glutamate interactions in timing and time perception,"RK Cheng, YM Ali, WH Meck","Neurobiology of learning and memory 88 (2), 149-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17457013499725837806,89,2007
Gene-dose dependent effects of methamphetamine on interval timing in dopamine-transporter knockout mice,"WH Meck, RK Cheng, CJ MacDonald, RR Gainetdinov, MG Caron, ...","Neuropharmacology 62 (3), 1221-1229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3087154343812308415,73,2012
Habit formation and the loss of control of an internal clock: inverse relationship between the level of baseline training and the clock-speed enhancing effects of methamphetamine,"RK Cheng, OL Hakak, WH Meck","Psychopharmacology 193 (3), 351-362",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2889651367347644920,69,2007
"Prenatal choline supplementation alters the timing, emotion, and memory performance (TEMP) of adult male and female rats as indexed by differential reinforcement of low-rate …","RK Cheng, CJ MacDonald, CL Williams, WH Meck","Learning & memory 15 (3), 153-162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6899427332259637185,59,2008
Acquisition of “Start” and “Stop” response thresholds in peak-interval timing is differentially sensitive to protein synthesis inhibition in the dorsal and ventral striatum,"WHM CJ MacDonald, RK Cheng",Frontiers in integrative neuroscience 6 (10),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16604376733956423932,57,2012
Prenatal choline supplementation increases sensitivity to time by reducing non-scalar sources of variance in adult temporal processing,"RK Cheng, WH Meck","Brain research 1186, 242-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5409273764408391258,54,2007
""" Speed"" warps time: methamphetamine's interactive roles in drug abuse, habit formation, and the biological clocks of circadian and interval timing.","LL Williamson, RK Cheng, M Etchegaray, WH Meck","Current drug abuse reviews 1 (2), 203-212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18265222585268603651,46,2008
α7 nicotinic acetylcholine receptors and temporal memory: synergistic effects of combining prenatal choline and nicotine on reinforcement-induced resetting of an interval clock,"RK Cheng, WH Meck, CL Williams","Learning & Memory 13 (2), 127-134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17323069947927540120,45,2006
Clock speed as a window into dopaminergic control of emotion and time perception,"RK Cheng, J Tipples, NS Narayanan, WH Meck","Timing & Time Perception 4 (1), 99-122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2069219350796613189,44,2016
Quinpirole-induced sensitization to noisy/sparse periodic input: temporal synchronization as a component of obsessive-compulsive disorder,"BM Gu, RK Cheng, B Yin, WH Meck","Neuroscience 179, 143-150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11496170809075431390,44,2011
"Impairments in timing, temporal memory, and reversal learning linked to neurotoxic regimens of methamphetamine intoxication","RK Cheng, M Etchegaray, WH Meck","Brain research 1186, 255-266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17636952303664955079,43,2007
Prenatal-choline supplementation differentially modulates timing of auditory and visual stimuli in aged rats,"RK Cheng, AC Scott, TB Penney, CL Williams, WH Meck","Brain research 1237, 167-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6966420362534274226,37,2008
Zebrafish forebrain and temporal conditioning,"RK Cheng, SJ Jesuthasan, TB Penney",Philosophical Transactions of the Royal Society B: Biological Sciences 369 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9596860742809808251,31,2014
