Title,Authors,Platform,Cited_url,Cited_count,Year
"Investment options, assets in place, and the risk of stocks","KH Chung, C Charoenwong","Financial Management, 21-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4626589427278327846,345,1991
Investment opportunities and market reaction to capital expenditure decisions,"KH Chung, P Wright, C Charoenwong","Journal of Banking & Finance 22 (1), 41-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18307695303710106843,266,1998
Investor reaction to women directors,"E Kang, DK Ding, C Charoenwong","Journal of Business Research 63 (8), 888-894",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4357862527095597378,178,2010
Insider trading and the bid‐ask spread,"KH Chung, C Charoenwong","Financial Review 33 (3), 1-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15079776672362623040,125,1998
"Prospect theory, analyst forecasts, and stock returns","DK Ding, C Charoenwong, R Seetoh","Journal of Multinational Financial Management 14 (4-5), 425-442",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17787454147187631250,71,2004
Earnings management to exceed thresholds: Evidence from Singapore and Thailand,"C Charoenwong, P Jiraporn","Journal of Multinational Financial Management 19 (3), 221-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12976353759214106701,64,2009
Penny pricing and the components of spread and depth changes,"KH Chung, C Charoenwong, DK Ding","Journal of Banking & Finance 28 (12), 2981-3007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15074068167230063337,46,2004
"Non-audit fees, institutional monitoring, and audit quality","CY Lim, DK Ding, C Charoenwong","Review of Quantitative Finance and Accounting 41 (2), 343-384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10011811929496438490,31,2013
Adverse selection and corporate governance,"C Charoenwong, DK Ding, V Siraprapasiri","International Review of Economics & Finance 20 (3), 406-420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9860844895876730723,21,2011
Women on board: is it boon or bane?,"DK Ding, C Charoenwong",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18149035222550007751,19,2004
Asset liquidity and stock liquidity: international evidence,"C Charoenwong, BS Chong, YC Yang","Journal of Business Finance & Accounting 41 (3-4), 435-468",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5006764639665310990,18,2014
Stock market reaction when listed companies in Singapore appoint female directors,"DK Ding, C Charoenwong","International Journal of Management 30 (1), 285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11360057930104884218,18,2013
"Bid‐ask spreads, volatility, quote revisions, and trades of thinly traded futures contracts","DK Ding, C Charoenwong","Journal of Futures Markets: Futures, Options, and Other Derivative Products …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7386120564661081949,18,2003
