Title,Authors,Platform,Cited_url,Cited_count,Year
Islam embedded,FA Noor,The historical development of the Pan-Malaysian Islamic Party PAS (1951-2003) 2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15564471188239688281,128,2004
The madrasa in Asia: Political activism and transnational linkages,"FA Noor, Y Sikand, M Bruinessen",Amsterdam University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18057843288212183750,101,2008
The Madrasa in Asia,"FA Noor, Y Sikand, M van Bruinessen",Amsterdam: Amsterdam University Press,,101,1999
The Other Malaysia,FA Noor,"Kuala Lumpur, Silverfishbooks",,95,2002
The other Malaysia: Writings on Malaysia's subaltern history,"FA Noor, ANA Noor",Silverfishbooks,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5038749239069717374,95,2002
"Blood, sweat and jihad: The radicalization of the political discourse of the Pan-Malaysian Islamic Party (PAS) from 1982 onwards",FA Noor,"Contemporary Southeast Asia, 200-232",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14414567305971570882,75,2003
Spirit of wood: the art of Malay woodcarving,"F Noor, E Khoo",Tuttle Publishing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3577388898968790438,71,2013
Islam on the Move: The Tablighi Jama'at in Southeast Asia,FA Noor,Amsterdam University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13121453760343386830,46,2012
New Voices of Islam,FA Noor,Leiden: Institute for the Study of Islam in the Modern World,,45,2002
New voices of Islam,FA Noor,"ISIM paper, 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7700366492220690886,45,2002
The Malaysian Islamic party PAS 1951-2013: Islamism in a mottled nation,F Noor,Amsterdam University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15160871466954940944,44,2014
"The Localization of Islamist Discourse in the Tasfir of Tuan Guru Nik Aziz Mat, Murshid'ul Am of PAS",FA Noor,"Malaysia: Islam, Society and Politics, Institute of Southeast Asian Studies …",,35,2003
"The localization of Islamist discourse in the tafsīr of Tuan Guru Nik Aziz Nik Mat, Murshid'ul Am of PAS",FA Noor,Institute of South Asian Studies (ISEAS),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4823291717837906749,35,2003
Looking for reformasi: The discursive dynamics of the reformasi movement and its prospects as a political project,FA Noor,"Indonesia and the Malay world 27 (77), 5-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6498966255157759759,32,1999
PAS post-Fadzil Noor: Future directions and prospects,FA Noor,Institute of Southeast Asian Studies,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11391720087042466877,29,2002
What is the victory of Islam?: towards a different understanding of the ummah and political success in the contemporary world,FA Noor,Oneworld,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16149809338527179083,28,2003
What Your Teacher Didn't Tell You: The Annexe Lectures,"FA Noor, FA Noor",Matahari Books,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=150507278888294461,26,2010
The Evolution of Jihad in Islamist Political Discourse: How a Plastic Concept Became Harder,FA Noor,"Social Science Research Council. Electronic document, http://www. ssrc. org …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13107974604016054442,17,2001
Values in the Dynamics of Malaysia’s Internal and External Political Relations,FA Noor,Changing Values in Asia: Their Impact on Governance and Development. Tokyo …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2010781778709331006,17,1999
Reaping the bitter harvest after twenty years of state Islamization: the Malaysian experience post-September 11',FA Noor,"Gunaratna, Terrorism in the Asia-Pacific, 178-201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17226893722790402550,16,2003
The Partai Keadilan Sejahtera (PKS) in the landscape of Indonesian Islamist politics: cadre-training as mode of preventive radicalisation?,FA Noor,"S. Rajaratnam School of International Studies, Nanyang Technological University",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14844081485396541291,15,2011
The Hindu Rights Action Force (HINDRAF) of Malaysia: communitarianism across borders?,"FA Noor, FA Noor","S. Rajaratnam School of International Studies, Nanyang Technological University",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8722559998695892484,15,2008
"Globalization, resistance and the discursive politics of terror, post-September 11",FA Noor,"The New Terrorism: Anatomy, Trends and Counter-Strategies, 171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6625515520745763294,13,2002
The Caliphate: Coming Soon To a Country Near You?,FA Noor,The Globalisation of Islamic Discourse and its Impact in Malaysia and Beyond,,13,2000
The Caliphate: Coming Soon To A Country Near You? The Globalisation of Islamic Discourse and its Impact in Malaysia and Beyond.,FA Noor,"Institut fur Islamwissenschaft, Freie Universitat of Berlin",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=992136906273351712,13,2000
The Malaysian General Elections of 2013: the last attempt at secular-inclusive nation-building?,FA Noor,"Journal of Current Southeast Asian Affairs 32 (2), 89-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3245708880582043537,12,2014
The spread of the Tablighi Jama'at across Western,FA Noor,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8108011888415990485,12,2009
How Washington's' War on Terror'Became Everyone's: Islamophobia and the Impact of September 11 on the Political Terrain of South and Southeast Asia,FA Noor,"Human Architecture 5 (1), 29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8028637968464860260,12,2006
From Inderapura to Darul Makmur: A Deconstructive History of Pahang,FA Noor,Silverfish Books,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18209229685908100388,11,2011
The arrival and spread of the Tablighi Jama’at in West,FA Noor,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12692550148166388611,11,2010
"Islam Progresif: Peluang, Tantangan, dan Masa Depannya di Asia Tenggara",FA Noor,Terj. Moch. Nur Ichwan dan Imron Rosyadi. Yogyakarta: SAMHA,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10614102809875263909,10,2006
"Modernity, Islam and tradition: The struggle for the heart and soul of art and culture in Malaysia",FA Noor,"Contemporary Art from the Islamic World 9 (940), 527-545",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2062131243509676366,10,2004
"Ngruki revisited: modernity and its discontents at the Pondok Pesantren al-Mukmin of Ngruki, Surakarta.",FA Noor,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10466804111828553579,9,2009
From Majapahit to Putrajaya: the kris as a symptom of civilizational development and decline,FA Noor,"South East Asia Research, 239-279",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5225673811043881069,9,2000
"Terrorising the truth: The shaping of contemporary images of Islam and Muslims in media, politics, and culture: A report on the international workshop",FA Noor,Just World Trust,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13974705243836067342,9,1997
The forum Betawi Rempug (FBR) of Jakarta: An ethnic-cultural solidarity movement in a globalising Indonesia,FA Noor,Working paper 242. Singapore: S. Rajaratnam School of International Studies,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7345455745770472694,8,2012
From pondok to parliament: the role played by the religious schools of Malaysia in the development of the Pan-Malaysian Islamic Party (PAS),FA Noor,The Madrasa in Asia: Political Activism and Transnational Linkages …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6503420507719147120,8,2008
When Osama and friends came a-calling: the political deployment of the overdetermined image of Osama ben Laden in the contestation for Islamic symbols in Malaysia,FA Noor,RoutledgeCurzon,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15981267173435312530,8,2004
El terror y la política de contención: análisis del discurso de la guerra contra el terror y los mecanismos del poder,FA Noor,"La islamofobia a debate, 75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16551988639335718896,7,2012
Analysing the Discourse of the'War on Terror'and its Workings of Power,FA Noor,"Human Architecture 8 (2), 47","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=788785848283892732,44816622055972598",7,2010
