Title,Authors,Platform,Cited_url,Cited_count,Year
Complex network clustering by multiobjective discrete particle swarm optimization based on decomposition,"M Gong, Q Cai, X Chen, L Ma","IEEE Transactions on Evolutionary Computation 18 (1), 82-97",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8151695282396683623,244,2013
Community detection in networks by using multiobjective evolutionary algorithm with decomposition,"M Gong, L Ma, Q Zhang, L Jiao","Physica A: Statistical Mechanics and its Applications 391 (15), 4050-4060",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11955260292384075861,166,2012
Greedy discrete particle swarm optimization for large-scale social network clustering,"Q Cai, M Gong, L Ma, S Ruan, F Yuan, L Jiao","Information Sciences 316, 503-516",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4127140993683732368,86,2015
Multi-level learning based memetic algorithm for community detection,"L Ma, M Gong, J Liu, Q Cai, L Jiao","Applied Soft Computing 19, 121-133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18306903227939658225,78,2014
Personalized recommendation based on evolutionary multi-objective optimization [research frontier],"Y Zuo, M Gong, J Zeng, L Ma, L Jiao","IEEE Computational Intelligence Magazine 10 (1), 52-62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1951213947598514306,59,2015
Influence maximization in social networks based on discrete particle swarm optimization,"M Gong, J Yan, B Shen, L Ma, Q Cai","Information Sciences 367, 600-614",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6429121974343519969,58,2016
A survey on network community detection based on evolutionary computation,"Q Cai, L Ma, M Gong, D Tian","International Journal of Bio-Inspired Computation 8 (2), 84-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4473209013257689957,56,2016
Discrete particle swarm optimization for identifying community structures in signed social networks,"Q Cai, M Gong, B Shen, L Ma, L Jiao","Neural Networks 58, 4-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5659869073751159569,55,2014
Enhancing robustness of coupled networks under targeted recoveries,"M Gong, L Ma, Q Cai, L Jiao","Scientific reports 5, 8439",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3924967330386994861,48,2015
An efficient memetic algorithm for influence maximization in social networks,"M Gong, C Song, C Duan, L Ma, B Shen","IEEE Computational Intelligence Magazine 11 (3), 22-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14232100799511119556,36,2016
