Title,Authors,Platform,Cited_url,Cited_count,Year
Sustained release of proteins from electrospun biodegradable fibers,"SY Chew, J Wen, EKF Yim, KW Leong","Biomacromolecules 6 (4), 2017-2024",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8210437085014622043,615,2005
The effect of the alignment of electrospun fibrous scaffolds on Schwann cell maturation,"SY Chew, R Mi, A Hoke, KW Leong","Biomaterials 29 (6), 653-661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1933315803962890727,474,2008
Aligned protein–polymer composite fibers enhance nerve regeneration: A potential tissue‐engineering platform,"SY Chew, R Mi, A Hoke, KW Leong","Advanced functional materials 17 (8), 1288-1296",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4809012108621267501,374,2007
Current applications and future perspectives of artificial nerve conduits,"X Jiang, SH Lim, HQ Mao, SY Chew","Experimental neurology 223 (1), 86-101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8984018765602637707,337,2010
The application of nanofibrous scaffolds in neural tissue engineering,"H Cao, T Liu, SY Chew","Advanced drug delivery reviews 61 (12), 1055-1064",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3233646951457245590,298,2009
The role of electrospinning in the emerging field of nanomedicine,"SY Chew, Y Wen, Y Dzenis, KW Leong","Current pharmaceutical design 12 (36), 4751-4770",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14801556372230117296,268,2006
The topographical effect of electrospun nanofibrous scaffolds on the ,"H Cao, K Mchugh, SY Chew, JM Anderson",Journal of Biomedical Materials Research Part A: An Official Journal of The …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6425636302713746477,208,2010
Aligned core–shell nanofibers delivering bioactive proteins,"IC Liao, SY Chew, KW Leong","Future Medicine Ltd 1 (4), 465-471",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2059128960238874565,199,2006
Mechanical properties of single electrospun drug-encapsulated nanofibres,"SY Chew, TC Hufnagel, CT Lim, KW Leong","Nanotechnology 17 (15), 3880",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17937703997139067968,159,2006
RNA interference by nanofiber-based siRNA delivery system,"H Cao, X Jiang, C Chai, SY Chew","Journal of Controlled Release 144 (2), 203-212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6509638293544368480,125,2010
