Title,Authors,Platform,Cited_url,Cited_count,Year
"A survey of mobile cloud computing: architecture, applications, and approaches","HT Dinh, C Lee, D Niyato, P Wang","Wireless communications and mobile computing 13 (18), 1587-1611",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7945736044310366686,2252,2013
Wireless networks with RF energy harvesting: A contemporary survey,"X Lu, P Wang, D Niyato, DI Kim, Z Han","IEEE Communications Surveys & Tutorials 17 (2), 757-789",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6811606372756766939,1506,2014
"Game theory in wireless and communication networks: theory, models, and applications","Z Han, D Niyato, W Saad, T Başar, A Hjørungnes",Cambridge university press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4831061511469244570,1049,2012
Dynamic spectrum access and management in cognitive radio networks,"E Hossain, D Niyato, Z Han",Cambridge university press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1049509457378938731,739,2009
A survey on software-defined networking,"W Xia, Y Wen, CH Foh, D Niyato, H Xie","IEEE Communications Surveys & Tutorials 17 (1), 27-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2390280869727212507,653,2014
"Competitive pricing for spectrum sharing in cognitive radio networks: Dynamic game, inefficiency of nash equilibrium, and collusion","D Niyato, E Hossain","IEEE journal on selected areas in communications 26 (1), 192-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2776806134146375775,631,2008
Optimization of resource provisioning cost in cloud computing,"S Chaisiri, BS Lee, D Niyato","IEEE transactions on services Computing 5 (2), 164-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3955987247311786975,613,2011
Random access for machine-to-machine communication in LTE-advanced networks: Issues and approaches,"M Hasan, E Hossain, D Niyato","IEEE communications Magazine 51 (6), 86-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4638629376257631158,451,2013
Dynamics of network selection in heterogeneous wireless networks: An evolutionary game approach,"D Niyato, E Hossain",IEEE transactions on vehicular technology 58 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2956378445895400308,445,2008
"Wireless charging technologies: Fundamentals, standards, and network applications","X Lu, P Wang, D Niyato, DI Kim, Z Han","IEEE Communications Surveys & Tutorials 18 (2), 1413-1452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7726836438713101645,442,2015
"Machine learning in wireless sensor networks: Algorithms, strategies, and applications","MA Alsheikh, S Lin, D Niyato, HP Tan","IEEE Communications Surveys & Tutorials 16 (4), 1996-2018",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13120702276497767700,436,2014
Machine-to-machine communications for home energy management system in smart grid,"D Niyato, X Lu, P Wang",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5655908930073833822,425,2011
Dynamics of multiple-seller and multiple-buyer spectrum trading in cognitive radio networks: A game-theoretic modeling approach,"D Niyato, E Hossain, Z Han","IEEE Transactions on Mobile Computing 8 (8), 1009-1022",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14844165552471969088,385,2008
Competitive spectrum sharing in cognitive radio networks: a dynamic game approach,"D Niyato, E Hossain","IEEE Transactions on wireless communications 7 (7), 2651-2660",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7698322228949845698,381,2008
Optimal virtual machine placement across multiple cloud providers,"S Chaisiri, BS Lee, D Niyato","2009 IEEE Asia-Pacific Services Computing Conference (APSCC), 103-110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3723577167337822026,347,2009
A dynamic offloading algorithm for mobile computing,"D Huang, P Wang, D Niyato","IEEE Transactions on Wireless Communications 11 (6), 1991-1995",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18225879122862542608,336,2012
"Applications, architectures, and protocol design issues for mobile social networks: A survey",H Falk,"Proceedings of the IEEE 99 (12), 2125-2129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6174668437623747794,278,2011
Wireless sensor networks with energy harvesting technologies: A game-theoretic approach to optimal energy management,"D Niyato, E Hossain, MM Rashid, VK Bhargava","IEEE Wireless Communications 14 (4), 90-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6952616306113947597,274,2007
A survey of trust and reputation management systems in wireless communications,"H Yu, Z Shen, C Miao, C Leung, D Niyato","Proceedings of the IEEE 98 (10), 1755-1772",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8973002393061240910,272,2010
Game-theoretic resource allocation methods for device-to-device communication,"L Song, D Niyato, Z Han, E Hossain","IEEE Wireless Communications 21 (3), 136-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12897366148478597463,271,2014
Sleep and wakeup strategies in solar-powered wireless sensor/mesh networks: Performance analysis and optimization,"D Niyato, E Hossain, A Fallahi","IEEE Transactions on Mobile Computing 6 (2), 221-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3125094129862348734,240,2006
A game-theoretic approach to competitive spectrum sharing in cognitive radio networks,"D Niyato, E Hossain","2007 IEEE Wireless Communications and Networking Conference, 16-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15606990258761962348,238,2007
"Market-equilibrium, competitive, and cooperative pricing for spectrum sharing in cognitive radio networks: Analysis and comparison","D Niyato, E Hossain","IEEE Transactions on Wireless Communications 7 (11), 4273-4283",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10300562244649770091,217,2008
A noncooperative game-theoretic framework for radio resource management in 4G heterogeneous wireless access networks,"D Niyato, E Hossain","IEEE Transactions on Mobile Computing 7 (3), 332-345",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9944768682067901262,214,2008
Call admission control for QoS provisioning in 4G wireless networks: issues and approaches,"D Niyato, E Hossain","IEEE network 19 (5), 5-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14440827080766991037,209,2005
Wireless broadband access: Wimax and beyond-integration of wimax and wifi: Optimal pricing for bandwidth sharing,"D Niyato, E Hossain","IEEE communications Magazine 45 (5), 140-146","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2648354103785597955,17610277124439311251",208,2007
Game theoretic approaches for multiple access in wireless networks: A survey,"K Akkarajitsakul, E Hossain, D Niyato, DI Kim","IEEE Communications Surveys & Tutorials 13 (3), 372-395",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2893213149273774128,207,2011
A neural network based spectrum prediction scheme for cognitive radio,"VK Tumuluru, P Wang, D Niyato","2010 IEEE International Conference on Communications, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10900531306202842351,199,2010
Queue-aware uplink bandwidth allocation and rate control for polling service in IEEE 802.16 broadband wireless networks,"D Niyato, E Hossain","IEEE Transactions on Mobile Computing 5 (6), 668-679",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16266157738504229068,189,2006
Auction approaches for resource allocation in wireless systems: A survey,"Y Zhang, C Lee, D Niyato, P Wang","IEEE Communications surveys & tutorials 15 (3), 1020-1041",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10277505285730051264,186,2012
Spectrum trading in cognitive radio networks: A market-equilibrium-based approach,"D Niyato, E Hossain","IEEE Wireless Communications 15 (6), 71-80",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12930038716792642010,172,2008
A cooperative game framework for bandwidth allocation in 4G heterogeneous wireless networks,"D Niyato, E Hossain","2006 IEEE international conference on communications 9, 4357-4362",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13313573060976475327,166,2006
A framework for cooperative resource management in mobile cloud computing,"R Kaewpuang, D Niyato, P Wang, E Hossain","IEEE Journal on Selected Areas in Communications 31 (12), 2685-2700",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8603951137858231301,165,2013
Offloading in mobile cloudlet systems with intermittent connectivity,"Y Zhang, D Niyato, P Wang","IEEE Transactions on Mobile Computing 14 (12), 2516-2529",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4216611270701107075,160,2015
Dynamic spectrum access in cognitive radio networks with RF energy harvesting,"X Lu, P Wang, D Niyato, E Hossain","IEEE Wireless Communications 21 (3), 102-110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1577733870265723342,155,2014
Dynamic spectrum access in IEEE 802.22-based cognitive wireless networks: a game theoretic model for competitive spectrum bidding and pricing,"D Niyato, E Hossain, Z Han","IEEE Wireless Communications 16 (2), 16-23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16217288426374692028,153,2009
