Title,Authors,Platform,Cited_url,Cited_count,Year
"Facebook use, envy, and depression among college students: Is facebooking depressing?","EC Tandoc Jr, P Ferrucci, M Duffy","Computers in Human Behavior 43, 139-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11734980329396968324,417,2015
Defining “Fake News” A typology of scholarly definitions,"EC Tandoc Jr, ZW Lim, R Ling","Digital Journalism 6 (2), 137-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1565344027948690447,352,2018
Journalism is twerking? How web analytics is changing the process of gatekeeping,EC Tandoc Jr,"New Media & Society 16 (4), 559-575",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2049573616640669304,303,2014
Communicating on Twitter during a disaster: An analysis of tweets during Typhoon Haiyan in the Philippines,"B Takahashi, EC Tandoc, C Carmichael","Computers in Human Behavior 50, 392-398",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1336878738171049916,187,2015
MIND THE GAP: Between journalistic role conception and role enactment,"EC Tandoc Jr, L Hellmueller, TP Vos","Journalism Practice 7 (5), 539-554",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8397671754063935680,133,2013
The Ethics of Web Analytics: Implications of using audience metrics in news construction,"EC Tandoc Jr, RJ Thomas","Digital Journalism 3 (2), 243-258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13873626762028657638,120,2015
The journalist is marketing the news: Social media in the gatekeeping process,"EC Tandoc Jr, TP Vos","Journalism Practice 10 (8), 950-966",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17573604854496307220,115,2016
Why web analytics click: Factors affecting the ways journalists use audience metrics,EC Tandoc Jr,"Journalism Studies 16 (6), 782-799",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17388050450934245586,89,2015
The real you? The role of visual cues and comment congruence in perceptions of social attractiveness from Facebook profiles,"S Hong, E Tandoc Jr, EA Kim, B Kim, K Wise","Cyberpsychology, Behavior, and Social Networking 15 (7), 339-344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4499130013125535759,67,2012
When news meets the audience: How audience feedback online affects news production and consumption,"EJ Lee, EC Tandoc Jr","Human Communication Research 43 (4), 436-449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16992065642916458282,61,2017
Playing a crusader role or just playing by the rules? Role conceptions and role inconsistencies among environmental journalists,"EC Tandoc Jr, B Takahashi","Journalism 15 (7), 889-907",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2819755262054735025,49,2014
The Buzzfeedication of journalism? How traditional news organizations are talking about a new entrant to the journalistic field will surprise you!,"EC Tandoc, J Jenkins","Journalism, 1464884915620269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12177074822636999900,48,2015
"Media sources, credibility, and perceptions of science: Learning about how people learn about science","B Takahashi, EC Tandoc Jr","Public Understanding of Science 25 (6), 674-690",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13887736330970599882,47,2016
Audiences’ acts of authentication in the age of fake news: ,"EC Tandoc Jr, R Ling, O Westlund, A Duffy, D Goh, L Zheng Wei","New Media & Society 20 (8), 2745-2763",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15170268438776292334,46,2018
The Audience-Oriented Editor: Making sense of the audience in the newsroom,"R Ferrer-Conill, EC Tandoc Jr","Digital Journalism 6 (4), 436-453",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13796563493096734726,42,2018
