Title,Authors,Platform,Cited_url,Cited_count,Year
A floating-gate-based field-programmable analog array,"A Basu, S Brink, C Schlottmann, S Ramakrishnan, C Petre, S Koziol, ...","IEEE Journal of Solid-State Circuits 45 (9), 1781-1794",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15822361292014780601,137,2010
A Learning-Enabled Neuron Array IC Based Upon Transistor Channel Models of Biological Phenomena,"S Brink, S Nease, P Hasler, S Ramakrishnan, R Wunderlich, A Basu, ...",IEEE,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8228904378935148019,92,0
Neural dynamics in reconfigurable silicon,"A Basu, S Ramakrishnan, C Petre, S Koziol, S Brink, PE Hasler","IEEE transactions on biomedical circuits and systems 4 (5), 311-319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1749201317043263312,69,2010
A charge-based low-power high-SNR capacitive sensing interface circuit,"SY Peng, MS Qureshi, PE Hasler, A Basu, FL Degertekin","IEEE Transactions on Circuits and Systems I: Regular Papers 55 (7), 1863-1872",,69,2008
A charge-based low-power high-SNR capacitive sensing interface circuit,"SY Peng, MS Qureshi, PE Hasler, A Basu, FL Degertekin","IEEE Transactions on Circuits and Systems I: Regular Papers 55 (7), 1863-1872",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=170406577262257706,69,2008
Synergistic Gating of Electro‐Iono‐Photoactive 2D Chalcogenide Neuristors: Coexistence of Hebbian and Homeostatic Synaptic Metaplasticity,"RA John, F Liu, NA Chien, MR Kulkarni, C Zhu, Q Fu, A Basu, Z Liu, ...","Advanced Materials 30 (25), 1800220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9793481428304427977,62,2018
Silicon spiking neurons for hardware implementation of extreme learning machines,"A Basu, S Shuo, H Zhou, MH Lim, GB Huang","Neurocomputing 102, 125-134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13429297635898645988,60,2013
Nullcline-based design of a silicon neuron,"A Basu, PE Hasler","IEEE Transactions on Circuits and Systems I: Regular Papers 57 (11), 2938-2947",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12057691936710695873,52,2010
A 128-channel extreme learning machine-based neural decoder for brain machine interfaces,"Y Chen, E Yao, A Basu","IEEE transactions on biomedical circuits and systems 10 (3), 679-692",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3575615967824473496,48,2015
RASP 2.8: A new generation of floating-gate based field programmable analog array,"A Basu, CM Twigg, S Brink, P Hasler, C Petre, S Ramakrishnan, S Koziol, ...","2008 IEEE Custom Integrated Circuits Conference, 213-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4031554551786762018,47,2008
Hardware and software infrastructure for a family of floating-gate based FPAAs,"S Koziol, C Schlottmann, A Basu, S Brink, C Petre, B Degnan, ...",Proceedings of 2010 IEEE international symposium on circuits and systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=151634361620631609,43,2010
"A low-power, compact, adaptive logarithmic transimpedance amplifier operating over seven decades of current","A Basu, RW Robucci, PE Hasler","IEEE Transactions on Circuits and Systems I: Regular Papers 54 (10), 2167-2177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11613616995469292100,42,2007
Low-power discrete Fourier transform for OFDM: A programmable analog approach,"S Suh, A Basu, C Schlottmann, PE Hasler, JR Barry","IEEE Transactions on Circuits and Systems I: Regular Papers 58 (2), 290-298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16561961510153310487,38,2010
Transistor channel dendrites implementing HMM classifiers,"P Hasler, S Kozoil, E Farquhar, A Basu","2007 IEEE International Symposium on Circuits and Systems, 3359-3362",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1633923491864592232,34,2007
Improved margin multi-class classification using dendritic neurons with morphological learning,"S Hussain, SC Liu, A Basu","2014 IEEE International Symposium on Circuits and Systems (ISCAS), 2640-2643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16981842286958121552,31,2014
"A digitally assisted, signal folding neural recording amplifier","Y Chen, A Basu, L Liu, X Zou, R Rajkumar, GS Dawe, M Je","IEEE transactions on biomedical circuits and systems 8 (4), 528-542",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9789977644809885144,31,2014
A fully integrated architecture for fast and accurate programming of floating gates over six decades of current,"A Basu, PE Hasler","IEEE Transactions on Very Large Scale Integration (VLSI) Systems 19 (6), 953-962",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17452061711125292743,31,2010
"Liquid state machine with dendritically enhanced readout for low-power, neuromorphic VLSI implementations","S Roy, A Banerjee, A Basu","IEEE transactions on biomedical circuits and systems 8 (5), 681-695",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5634898107649804341,30,2014
Above threshold pfet injectionmodeling intended for programmingfloating-gate systems,"P Hasler, A Basu, S Koziol","2007 IEEE International Symposium on Circuits and Systems, 1557-1560",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12357048810041549572,26,2007
Low power probabilistic floating point multiplier design,"A Gupta, S Mandavalli, VJ Mooney, KV Ling, A Basu, H Johan, ...","2011 IEEE Computer Society Annual Symposium on VLSI, 182-187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4713628959670275889,25,2011
Front-end CMOS electronics for monolithic integration with CMUT arrays: Circuit design and initial experimental results,"G Gurun, MS Qureshi, M Balantekin, R Guldiken, J Zahorian, SY Peng, ...","2008 IEEE Ultrasonics Symposium, 390-393",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3797305591432637606,25,2008
VLSI extreme learning machine: A design space exploration,"E Yao, A Basu","IEEE Transactions on Very Large Scale Integration (VLSI) Systems 25 (1), 60-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=685115299345626625,24,2016
"Low-power, adaptive neuromorphic systems: Recent progress and future directions","A Basu, J Acharya, T Karnik, H Liu, H Li, JS Seo, C Song","IEEE Journal on Emerging and Selected Topics in Circuits and Systems 8 (1), 6-27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7046026451134210077,23,2018
A 128 channel 290 GMACs/W machine learning based co-processor for intention decoding in brain machine interfaces,"Y Chen, E Yao, A Basu","2015 IEEE International Symposium on Circuits and Systems (ISCAS), 3004-3007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5321130709437425000,20,2015
