Title,Authors,Platform,Cited_url,Cited_count,Year
Polarization-controlled tunable directional coupling of surface plasmon polaritons,"J Lin, JPB Mueller, Q Wang, G Yuan, N Antoniou, XC Yuan, F Capasso","Science 340 (6130), 331-334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1605450350067416223,754,2013
Optically reconfigurable metasurfaces and photonic devices based on phase change materials,"Q Wang, ETF Rogers, B Gholipour, CM Wang, G Yuan, J Teng, ...","Nature Photonics 10 (1), 60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14916101621410653509,431,2016
Focused plasmonic trapping of metallic particles,"C Min, Z Shen, J Shen, Y Zhang, H Fang, G Yuan, L Du, S Zhu, T Lei, ...","Nature communications 4, 2891",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12874811411193517121,209,2013
Nondiffracting transversally polarized beam,"GH Yuan, SB Wei, XC Yuan","Optics Letters 36 (17), 3479-3481",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5665701400815337752,92,2011
Planar super-oscillatory lens for sub-diffraction optical needles at violet wavelengths,"G Yuan, ETF Rogers, T Roy, G Adamo, Z Shen, NI Zheludev","Scientific Reports 4, 6333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10756451912362355649,81,2014
Mapping plasmonic near-field profiles and interferences by surface-enhanced Raman scattering,"L Du, DY Lei, G Yuan, H Fang, X Zhang, Q Wang, D Tang, C Min, ...","Scientific reports 3, 3064",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17609315375071728779,50,2013
Plasmonic hybridization induced trapping and manipulation of a single Au nanowire on a metallic surface,"Y Zhang, J Wang, J Shen, Z Man, W Shi, C Min, G Yuan, S Zhu, ...","Nano letters 14 (11), 6430-6436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3530599409673409822,44,2014
Achromatic super-oscillatory lenses with sub-wavelength focusing,"GH Yuan, ETF Rogers, NI Zheludev","Light: Science & Applications 6 (9), e17036",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5101729898420345600,40,2017
Point spread function of the optical needle super-oscillatory lens,"NIN T Roy, ETF Rogers, GH Yuan",Applied Physics Letters,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12599016257863756383,38,2014
Visualizing orbital angular momentum of plasmonic vortices,"Z Shen, ZJ Hu, GH Yuan, CJ Min, H Fang, XC Yuan","Optics Letters 37, 4627",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=734876053239939219,38,2012
Flat super-oscillatory lens for heat-assisted magnetic recording with sub-50nm resolution,"G Yuan, ETF Rogers, T Roy, Z Shen, NI Zheludev","Optics express 22 (6), 6428-6437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10712564858741768127,34,2014
High-resolution wide-field standing-wave surface plasmon resonance fluorescence microscopy with optical vortices,"PS Tan, XC Yuan, GH Yuan, Q Wang","Applied Physics Letters 97 (24), 241109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13068552525692026681,32,2010
Manipulation of surface plasmon polaritons by phase modulation of incident light,"GH Yuan, XC Yuan, J Bu, PS Tan, Q Wang","Optics Express 19 (1), 224-229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14801105285374898943,30,2011
Multimode interference splitter based on dielectric-loaded surface plasmon polariton waveguides,"G Yuan, P Wang, Y Lu, H Ming","Optics express 17 (15), 12594-12600",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=881122214343155462,28,2009
On-chip photonic Fourier transform with surface plasmon polaritons,"SS Kou, G Yuan, Q Wang, L Du, E Balaur, D Zhang, D Tang, B Abbey, ...","Light: Science & Applications 5 (2), e16034",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3591083380866504428,27,2016
Directional fluorescence emission characterized with leakage radiation microscopy,"DG Zhang, XC Yuan, GH Yuan, P Wang, H Ming","Journal of Optics 12, 035002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17897330860888021034,27,2010
Generation of nondiffracting quasi-circular polarization beams using an amplitude modulated phase hologram,"GH Yuan, SB Wei, XC Yuan","JOSA A 28 (8), 1716-1720",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14837015002299041369,26,2011
Polarization properties of subwavelength metallic gratings in visible light band,"D Zhang, P Wang, X Jiao, C Min, G Yuan, Y Deng, H Ming, L Zhang, ...","Applied Physics B: Lasers and Optics 85 (1), 139-143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7138096482773640946,25,2006
Phase singularity of surface plasmon polaritons generated by optical vortices,"PS Tan, GH Yuan, Q Wang, N Zhang, DH Zhang, XC Yuan","Optics letters 36 (16), 3287-3289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8338772327510808022,24,2011
