Title,Authors,Platform,Cited_url,Cited_count,Year
Long-Range Balanced Electron- and Hole-Transport Lengths in Organic-Inorganic CH3NH3PbI3,"G Xing, N Mathews, S Sun, SS Lim, YM Lam, S Mhaisalkar, TC Sum","Science 342 (6156), 344-347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11735580022978273449,4296,2013
Low-temperature solution-processed wavelength-tunable perovskites for lasing,"G Xing, N Mathews, SS Lim, N Yantara, X Liu, D Sabba, S Mhaisalkar, ...","Nature Materials 13, 476–480",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6821655486928881801,1812,2014
The origin of high efficiency in low-temperature solution-processable bilayer organometal halide hybrid solar cells,"S Sun, T Salim, N Mathews, M Duchamp, C Boothroyd, G Xing, TC Sum, ...",Energy & Environmental Science,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12039503307887746671,771,2013
Advancements in Perovskite Solar Cells: Photophysics behind the Photovoltaics,"TC Sum, N Mathews","Energy & Environmental Science 7, 2518-2534",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=533961773021694032,584,2014
Perovskite Materials for Light‐Emitting Diodes and Lasers,"SA Veldhuis, PP Boix, N Yantara, M Li, TC Sum, N Mathews, ...","Advanced Materials 28 (32), 6804–6834",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4282817775607796969,578,2016
Formamidinium-containing metal-halide: an alternative material for near-IR absorption perovskite solar cells,"TM Koh, K Fu, Y Fang, S Chen, TC Sum, N Mathews, SG Mhaisalkar, ...","The Journal of Physical Chemistry C 118 (30), 16458-16462",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2874503631978647010,457,2013
Room-Temperature Near-Infrared High-Q Perovskite Whispering-Gallery Planar Nanolasers,"Q Zhang, ST Ha, X Liu, TC Sum, Q Xiong","Nano Letters 14 ((10)), 5995–6001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9749429922563753127,424,2014
The physics of ultrafast saturable absorption in graphene.,"G Xing, H Guo, X Zhang, TC Sum, ACH Huan","Optics Express 18, 4564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8899147822326226037,282,2010
Vapor phase synthesis of organometal halide perovskite nanowires for tunable room-temperature nanolasers,"J Xing, XF Liu, Q Zhang, ST Ha, YW Yuan, C Shen, TC Sum, Q Xiong","Nano letters 15 (7), 4571-4577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7351269695514308092,279,2015
Comparative Study of Room‐Temperature Ferromagnetism in Cu‐Doped ZnO Nanowires Enhanced by Structural Inhomogeneity,"GZ Xing, JB Yi, JG Tao, T Liu, LM Wong, Z Zhang, GP Li, SJ Wang, J Ding, ...","Advanced Materials 20 (18), 3521-3527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10982871285867496293,261,2008
Surface plasmon enhanced band edge luminescence of ZnO nanorods by capping Au nanoparticles,"CW Cheng, EJ Sie, B Liu, CHA Huan, TC Sum, HD Sun, HJ Fan","Applied Physics Letters 96 (7), 071107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8643861816853360263,260,2010
Synthesis of Organic–Inorganic Lead Halide Perovskite Nanoplatelets: Towards High‐Performance Perovskite Solar Cells and Optoelectronic Devices,"ST Ha, X Liu, Q Zhang, D Giovanni, TC Sum, Q Xiong","Advanced Optical Materials 2 (9), 838-844",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5567750196327523724,258,2014
