Title,Authors,Platform,Cited_url,Cited_count,Year
Managerial concerns in knowledge management,J Chinying Lang,"Journal of knowledge management 5 (1), 43-59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3196298912693237677,400,2001
Social context and social capital as enablers of knowledge integration,J Chinying Lang,"Journal of knowledge management 8 (3), 89-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3933165192638732719,174,2004
Workplace humor and organizational creativity,"JC Lang, CH Lee","The International Journal of Human Resource Management 21 (1), 46-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18273831958651943432,123,2010
Managing in knowledge-based competition,J Chinying Lang,"Journal of Organizational Change Management 14 (6), 539-553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8932228967333504498,81,2001
Management of intellectual property rights: Strategic patenting,J Chinying Lang,"Journal of Intellectual Capital 2 (1), 8-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5495638082930987260,76,2001
"Identity accumulation, others' acceptance, job‐search self‐efficacy, and stress","JC Lang, CH Lee",Journal of Organizational Behavior: The International Journal of Industrial …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2452812355109528689,43,2005
"Zero landfill, zero waste: the greening of industry in Singapore",JC Lang,LEAPFROGGING IDEVELOPMENT IN EMERGING ASIA: CAUGHT BETWEEN GREENING AND …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18350673189143855024,37,2008
Managing green teams: environmental change in organisations and networks,"J Moxen, P Strachan",Routledge,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4685531258289157393,31,2017
Cluster Competitiveness: The Six Negative Forces.,JC Lang,Journal of Business & Management 15 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3492926105501244260,21,2009
"Legislative, regulatory and juridical dilemmas in environmental auditing",JC Lang,Eco‐Management and Auditing: The Journal of Corporate Environmental …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6399674558329565078,17,1999
Conceptualizing a corporate environmentalism model,JC Lang,"Sustainable Development 3 (1), 20-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5575935749069380896,9,1995
Corporate environmentalism and regulatory interventions,JC Lang,Boston University,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7987915727429753964,5,1996
Environmentalism and the multinational corporation: a viewpoint‐part II,"JC Lang, AC Ho","International journal of environmental studies 57 (4), 373-385",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6969426295231690074,4,2000
Virtual Teams for Corporate Environmental Excellence,"JC Lang, AC Ho","Managing Green teams: Environmental Change in Organisations and Networks, 9-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5964568303095815585,2,1998
"Trade, national competitiveness and the environment‐part II: the institutional story","JC Lang, AC Ho","International journal of environmental studies 53 (4), 247-264",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2951299900666393993,2,1997
The Flipped Classroom for Teaching Millennials: A Competency-Based Pedagogical Approach,JC Lang,"Creative Education 8 (10), 1571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9876306915569628022,1,2017
"Trade, national competitiveness and the environment‐part i: the empirical story","JC Lang, AC Ho","International journal of environmental studies 53 (3), 183-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7512100534260647317,1,1997
Teaching Leadership Better: A Framework or Developing Contextually-Intelligent Leadership,JC Lang,"Creative Education 10 (02), 443",,0,2019
"Zero Landfill, Zero Waste",JC Lang,"Greening Industries, 189",,0,2014
Letters to JMG,"SV Hodgson, I Longo, SGM Frints, JP Fryns, I Meloni, C Pescucci, F Ariani, ...",,,0,2003
Environmentalism and the multinational corporation: a viewpoint—part I,"JC Lang, AC Ho","The International Journal of Environmental Studies 57 (3), 253-263",,0,2000
