Title,Authors,Platform,Cited_url,Cited_count,Year
Graphene for electrochemical sensing and biosensing,"M Pumera, A Ambrosi, A Bonanni, ELK Chng, HL Poh","TrAC Trends in Analytical Chemistry 29 (9), 954-965",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12117495324732381363,1003,2010
Electrochemistry of graphene and related materials,"A Ambrosi, CK Chua, A Bonanni, M Pumera","Chemical reviews 114 (14), 7150-7188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10485109487649911498,664,2014
Electrochemistry at chemically modified graphenes,"A Ambrosi, A Bonanni, Z Sofer, JS Cross, M Pumera","Chemistry–A European Journal 17 (38), 10763-10770",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15357996494040665743,278,2011
Graphene platform for hairpin-DNA-based impedimetric genosensing,"A Bonanni, M Pumera","ACS nano 5 (3), 2356-2361",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4853977063515568555,246,2011
Graphene and its electrochemistry–an update,"A Ambrosi, CK Chua, NM Latiff, AH Loo, CHA Wong, AYS Eng, A Bonanni, ...","Chemical Society Reviews 45 (9), 2458-2493",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12278668827890978223,183,2016
Use of nanomaterials for impedimetric DNA sensors: a review,"A Bonanni, M Del Valle","Analytica chimica acta 678 (1), 7-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15258690374268833729,153,2010
Lithium aluminum hydride as reducing agent for chemically reduced graphene oxides,"A Ambrosi, CK Chua, A Bonanni, M Pumera","Chemistry of Materials 24 (12), 2292-2298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2741186023295193263,146,2012
Carboxylic carbon quantum dots as a fluorescent sensing platform for DNA detection,"AH Loo, Z Sofer, D Bouša, P Ulbrich, A Bonanni, M Pumera","ACS applied materials & interfaces 8 (3), 1951-1957",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9174833615554693574,141,2016
Graphene for impedimetric biosensing,"A Bonanni, AH Loo, M Pumera","TrAC Trends in Analytical Chemistry 37, 12-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6014810992357648504,126,2012
Inherently electroactive graphene oxide nanoplatelets as labels for single nucleotide polymorphism detection,"A Bonanni, CK Chua, G Zhao, Z Sofer, M Pumera","ACS nano 6 (10), 8546-8551",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6384511333352334247,88,2012
