Title,Authors,Platform,Cited_url,Cited_count,Year
Measuring design complexity of semantic web ontologies,"H Zhang, YF Li, HBK Tan","Journal of Systems and Software 83 (5), 803-814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3571534862441261292,117,2010
Detection of mobile malware in the wild,"M Chandramohan, HBK Tan","Computer, 65-71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15250227881058166652,87,2012
Mining SQL injection and cross site scripting vulnerabilities using hybrid program analysis,"LK Shar, HBK Tan, LC Briand",Proceedings of the 2013 International Conference on Software Engineering …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2189329537761152038,86,2013
Defeating SQL injection,"LK Shar, HBK Tan","Computer 46 (3), 69-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7425697399756577193,86,2012
Automated removal of cross site scripting vulnerabilities in web applications,"LK Shar, HBK Tan","Information and Software Technology 54 (5), 467-478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6895060381120663757,77,2012
Defending against cross-site scripting attacks,"LK Shar, HBK Tan","Computer 45 (3), 55-62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17531986762878478928,70,2011
Detecting large number of infeasible paths through recognizing their patterns,"MN Ngo, HBK Tan",Proceedings of the the 6th joint meeting of the European software …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2003761638203753031,66,2007
Predicting common web application vulnerabilities from input validation and sanitization code patterns,"LK Shar, HBK Tan",2012 Proceedings of the 27th IEEE/ACM International Conference on Automated …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11046465129080341996,63,2012
Heuristics-based infeasible path detection for dynamic test data generation,"MN Ngo, HBK Tan","Information and Software Technology 50 (7-8), 641-655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3795977708834904028,58,2008
Mining input sanitization patterns for predicting SQL injection and cross site scripting vulnerabilities,"LK Shar, HBK Tan",Proceedings of the 34th International Conference on Software Engineering …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14102983528168995795,52,2012
Web application vulnerability prediction using hybrid program analysis and machine learning,"LK Shar, LC Briand, HBK Tan","IEEE Transactions on dependable and secure computing 12 (6), 688-707",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12210231111952332874,46,2014
Covering code behavior on input validation in functional testing,"H Liu, HBK Tan","Information and Software Technology 51 (2), 546-553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10763851272515456325,45,2009
Bingo: Cross-architecture cross-os binary search,"M Chandramohan, Y Xue, Z Xu, Y Liu, CY Cho, HBK Tan",Proceedings of the 2016 24th ACM SIGSOFT International Symposium on …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3370271151667990159,44,2016
Predicting SQL injection and cross site scripting vulnerabilities through mining input sanitization patterns,"LK Shar, HBK Tan","Information and Software Technology 55 (10), 1767-1780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8284689954053770897,43,2013
Conceptual data model-based software size estimation for information systems,"HBK Tan, Y Zhao, H Zhang","ACM Transactions on Software Engineering and Methodology (TOSEM) 19 (2), 4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12736443338037718081,41,2009
Auditing the XSS defence features implemented in web application programs,"LK Shar, HBK Tan","IET software 6 (4), 377-390",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8814460075352933551,39,2012
Testing input validation in Web applications through automated model recovery,"H Liu, HBK Tan","Journal of Systems and Software 81 (2), 222-233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10728999722813142147,38,2008
Detecting clones in android applications through analyzing user interfaces,"C Soh, HBK Tan, YL Arnatovich, L Wang",Proceedings of the 2015 IEEE 23rd International Conference on Program …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4806589403108138844,37,2015
Software cost estimation through conceptual requirement,"Y Zhao, HBK Tan, W Zhang","Third International Conference on Quality Software, 2003. Proceedings., 141-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14605388227381112955,31,2003
Applying static analysis for automated extraction of database interactions in web applications,"MN Ngo, HBK Tan","Information and software technology 50 (3), 160-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=250739374151606829,30,2008
Estimating LOC for information systems from their conceptual data models,"HBK Tan, Y Zhao, H Zhang",Proceedings of the 28th international conference on Software engineering …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18026665313025622028,27,2006
A scalable approach for malware detection through bounded feature space behavior modeling,"M Chandramohan, HBK Tan, LC Briand, LK Shar, BM Padmanabhuni",2013 28th IEEE/ACM International Conference on Automated Software …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9374855938699832432,26,2013
Binary code analysis,"K Liu, HBK Tan, X Chen","Computer 46 (8), 60-68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3865160807815445406,24,2013
An empirical study of class sizes for large java systems,"H Zhang, HBK Tan","14th Asia-Pacific Software Engineering Conference (APSEC'07), 230-237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11753404191958810782,23,2007
Has this bug been reported?,"K Liu, HBK Tan, H Zhang","2013 20th Working Conference on Reverse Engineering (WCRE), 82-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16967831932563788088,22,2013
Systematic transformation of functional analysis model into OO design and implementation,"HBK Tan, Y Yang, L Bian","IEEE Transactions on Software Engineering 32 (2), 111-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12661801467289365560,20,2006
Method for using a data flow net to specify and assemble computer software,HBK Tan,"US Patent 6,694,505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17019413118542891604,20,2004
Scalable malware clustering through coarse-grained behavior modeling,"M Chandramohan, HBK Tan, LK Shar",Proceedings of the ACM SIGSOFT 20th International Symposium on the …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18389835458036332689,18,2012
Automated verification and test case generation for input validation,"H Liu, HBK Tan",Proceedings of the 2006 international workshop on Automation of software …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1565888186135865061,18,2006
Checking enforcement of integrity constraints in database applications based on code patterns,"H Zhang, HBK Tan, L Zhang, X Lin, X Wang, C Zhang, H Mei","Journal of Systems and Software 84 (12), 2253-2264",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4952913601303675516,17,2011
Mixing behaviors of wet granular materials in gas fluidized bed systems,"EW Chuan Lim, RB Hee Tan, Z Xiao","AIChE Journal 59 (11), 4058-4067",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12133126854125573662,16,2013
Recovery of object-oriented design from existing data-intensive business programs,"HBK Tan, TW Ling","Information and Software Technology 37 (2), 67-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1558322316793675144,16,1995
Auditing the defense against cross site scripting in web applications,"LK Shar, HBK Tan","2010 International Conference on Security and Cryptography (SECRYPT), 1-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13225639584470748639,15,2010
Automated elicitation of functional dependencies from source codes of database transactions,"HBK Tan, Y Zhao","Information and Software Technology 46 (2), 109-117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15891097258712984320,15,2004
Control of nondeterminism in testing distributed multithreaded programs,"X Cai, J Chen","Proceedings First Asia-Pacific Conference on Quality Software, 29-38",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9767734128000736305,15,2000
Defending against buffer-overflow vulnerabilities,"B Padmanabhuni, HBK Tan","Computer 44 (11), 53-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13356877488178780957,13,2011
Correct program slicing of database operations,"HBK Tan, TW Ling","IEEE software 15 (2), 105-112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2413067425046965065,13,1998
Auditing buffer overflow vulnerabilities using hybrid static–dynamic analysis,"BM Padmanabhuni, HBK Tan","IET Software 10 (2), 54-61",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13952853828785250406,12,2016
Exploring into programs for the recovery of data dependencies designed,"HBK Tan, TW Ling, CH Goh","IEEE Transactions on Knowledge and Data Engineering 14 (4), 825-835",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13537599810419567530,11,2002
An approach for extracting code fragments that implement functionality from source programs,"HBK Tan, JT Kow",Journal of Software Maintenance and Evolution: Research and Practice 13 (1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14853309786687495754,11,2001
Recovery of PTUIE handling from source codes through recognizing its probable properties,"HBK Tan, NL Thein","IEEE Transactions on Knowledge and Data Engineering 16 (10), 1217-1231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2918548557498179409,10,2004
Buffer overflow vulnerability prediction from x86 executables using static analysis and machine learning,"BM Padmanabhuni, HBK Tan","2015 IEEE 39th Annual Computer Software and Applications Conference 2, 450-459",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17312637771806571959,9,2015
Predicting buffer overflow vulnerabilities through mining light-weight static code attributes,"BM Padmanabhuni, HBK Tan",2014 IEEE International Symposium on Software Reliability Engineering …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7965605421601983859,9,2014
Detecting infeasible branches based on code patterns,"S Ding, H Zhang, HBK Tan",2014 Software Evolution Week-IEEE Conference on Software Maintenance …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12948340599133619015,9,2014
An approach for the maintenance of input validation,"H Liu, HBK Tan","Information and Software Technology 50 (5), 449-461",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7716901676012365875,9,2008
An approach to aid the understanding and maintenance of input validation,"H Liu, HBK Tan","2006 22nd IEEE International Conference on Software Maintenance, 370-379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4977185319186798849,9,2006
Automated elicitation of inclusion dependencies from the source code for database transactions,"HBK Tan, Y Zhao",Journal of Software Maintenance and Evolution: Research and Practice 15 (6 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7551201977022572339,9,2003
Detection of infeasible paths: Approaches and challenges,"S Ding, HBK Tan",International Conference on Evaluation of Novel Approaches to Software …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11656401963613902729,8,2012
On formalization of the whole-part relationship in the unified modeling language,"HBK Tan, L Hao, Y Yang","IEEE Transactions on Software Engineering 29 (11), 1054-1055",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6293616774970698889,8,2003
Integrated design patterns for database applications,"HBK Tan, TW Ling","journal of Systems and Software 47 (2-3), 159-172",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13911155133013973890,7,1999
Open transnational system for digital currency payments,"SF Mjolsnes, R Michelsen",Proceedings of the Thirtieth Hawaii International Conference on System …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13224202863585098008,14505472526716025005",7,1997
LibSift: Automated detection of third-party libraries in Android applications,"C Soh, HBK Tan, YL Arnatovich, A Narayanan, L Wang","2016 23rd Asia-Pacific Software Engineering Conference (APSEC), 41-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9367530132468425842,6,2016
Aiding maintenance of database applications through extracting attribute dependency graph,"K Liu, HBK Tan, X Chen","Journal of Database Management (JDM) 24 (1), 20-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6494830744886126916,6,2013
Automated Extraction of Data Lifecycle Support from Database Applications.,"K Liu, HBK Tan, X Chen, H Zhang, B Padmanabhuni","SEKE, 432-437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11829787560950348099,6,2011
The distribution of program sizes and its implications: An eclipse case study,"H Zhang, HBK Tan, M Marchesi","1st International Symposium on Emerging Trends in Software Metrics, 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6450198977794219080,6,2009
Automated Extraction of database interactions in web applications,"MN Ngo, HBK Tan, D Trinh","14th IEEE International Conference on Program Comprehension (ICPC'06), 117-126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3136805089068006707,6,2006
Sizing data-intensive systems from ER model,"HBK Tan, Y Zhao","IEICE transactions on information and systems 89 (4), 1321-1326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8712414914327503658,6,2006
Extraction of attribute dependency graph from database applications,"K Liu, HBK Tan, X Chen","2011 18th Asia-Pacific Software Engineering Conference, 138-145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=960782586652750201,5,2011
Techniques for defending from buffer overflow vulnerability security exploits,"B Padmanabhuni, HBK Tan",IEEE Internet Computing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11918192219728208749,5,2011
Method and system for detecting infeasible paths,"HBK Tan, H Zhang","US Patent App. 12/479,641",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13793799758880697082,5,2010
ER-based software sizing for data-intensive systems,"HBK Tan, Y Zhao","International Conference on Conceptual Modeling, 180-190",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8691757344341338965,5,2004
Empirical Comparison of Intermediate Representations for Android Applications.,"Y Arnatovich, HBK Tan, S Ding, K Liu, LK Shar","SEKE, 205-210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8552293131648000591,4,2014
Introduction to fine copper wire development,"QH Pan, HB Tan, WP Yang, XZ Dai, H Anderson, J Quah",2006 Thirty-First IEEE/CPMT International Electronics Manufacturing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=677859447515516657,4,2007
Improving the Use of Multiplicity in UML Association.,"HBK Tan, Y Yang, L Bian","Journal of Object Technology 5 (6), 127-132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12070935507019019453,4,2006
Systematic bridging the gap between requirements and OO design,"HBK Tan, W Li",Proceedings 17th IEEE International Conference on Automated Software …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6608870250671492440,4,2002
